name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-24-12-35,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-02-24-14-19,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-24-14-07,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-02-24-09-12,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,11,0,11,Central Government,2021-02-24-17-33,,,,,,,4,14,108,75,33,,,
"AIIMS, Trauma Delhi",265,17,248,Central Government,2021-02-24-16-52,,,,71,10,61,,,,,,71,10,61
"Akash Healthcare, Dwarka",79,3,76,Private,2021-02-24-13-37,14,3,11,24,3,21,0,16,44,43,1,10,0,10
Alshifa Hospital,18,0,18,Private,2021-02-24-09-49,4,0,4,6,0,6,4,0,11,1,10,2,0,2
Ambedkar Nagar hospital,300,0,300,Delhi Government,2021-02-25-05-24,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-24-10-08,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-24-13-52,5,0,5,5,0,5,1,23,5,5,0,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-24-09-42,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-02-24-09-52,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-02-24-09-28,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-02-24-11-17,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",41,2,39,Private,2021-02-25-04-15,8,2,6,10,2,8,0,18,20,20,0,2,0,2
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-02-25-03-25,1,0,1,2,0,2,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-02-24-11-12,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-02-24-07-14,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-02-24-09-39,,,,14,0,14,5,18,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,28,472,Central Government,2021-02-24-06-48,,,,50,6,44,2,12,,,,50,6,44
Batra Hospital,50,1,49,Private,2021-02-24-09-44,9,1,8,11,1,10,0,23,99,46,53,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-02-24-10-40,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-02-24-08-45,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,0,34,Private,2021-02-24-18-05,6,0,6,7,0,7,2,13,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-02-24-09-03,1,0,1,1,0,1,0,20,10,2,8,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-02-24-14-43,2,0,2,3,0,3,0,10,17,14,3,1,0,1
"Bhatia Global Hospital, Paschim Vihar",20,0,20,Private,2021-02-24-17-43,2,0,2,2,0,2,6,12,4,2,2,,,
