name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-01-10-25,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,19,1,18,Private,2021-02-01-14-23,4,0,4,5,0,5,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-01-09-02,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,1,9,Private,2021-02-01-08-46,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,100,39,61,Central Government,2021-02-01-16-46,,,,15,15,0,4,7,93,67,26,15,15,0
"AIIMS, Trauma Delhi",265,167,98,Central Government,2021-02-01-16-34,,,,71,52,19,,,,,,71,52,19
"Akash Healthcare, Dwarka",79,12,67,Private,2021-02-01-17-25,14,3,11,24,3,21,0,16,44,31,13,10,0,10
Alshifa Hospital,18,0,18,Private,2021-02-01-09-42,4,0,4,6,0,6,7,0,11,4,7,2,0,2
Ambedkar Nagar hospital,300,4,296,Delhi Government,2021-02-01-15-57,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-01-12-17,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-01-07-20,5,0,5,5,0,5,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-01-09-24,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arogya Hospital,4,0,4,Private,2021-02-01-11-42,,,,,,,0,21,4,4,0,,,
Arya Hospital,24,0,24,Private,2021-02-01-10-48,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-02-01-13-30,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-02-01-11-38,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",41,16,25,Private,2021-02-01-12-44,8,2,6,10,3,7,0,18,20,15,5,2,1,1
"B.M. Gupta Hospital, Uttam Nagar",40,2,38,Private,2021-02-01-16-39,2,0,2,3,0,3,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-02-01-11-46,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-02-01-07-04,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,1,249,Central Government,2021-02-01-09-40,,,,14,0,14,3,6,8,5,3,14,0,14
