name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,8,14,Private,2021-05-26-17-22,3,0,3,2,2,0,5,2,3,0,8,,,
AASTHA HOSPITAL,40,5,35,Private,2021-05-26-16-00,8,0,8,2,0,2,10,0,10,0,7,2,1,1
Ace Hospital,20,0,20,Private,2021-05-26-13-04,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,18,132,Delhi Government,2021-05-26-17-34,,,,30,8,22,30,8,22,2,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-05-26-14-14,,,,,,,,,,1,0,,,
AIIMS Jhajjar,400,172,228,Central Government,2021-05-26-10-45,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,133,169,Central Government,2021-05-26-13-54,29,23,6,43,37,6,72,60,12,0,9,72,40,32
"AIIMS, Trauma Delhi",294,239,55,Central Government,2021-05-26-16-12,,,,71,62,9,71,62,9,,,,,
"Akash Healthcare, Dwarka",133,118,15,Private,2021-05-26-17-04,14,14,0,40,40,0,54,54,0,1,2,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-05-26-11-08,,,,,,,,,,2,0,,,
Alshifa Hospital,50,19,31,Private,2021-05-26-12-44,15,12,3,4,3,1,19,15,4,1,19,,,
Ambedkar Nagar hospital,600,41,559,Delhi Government,2021-05-26-17-10,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-05-26-16-42,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,10,30,Private,2021-05-26-15-23,3,3,0,2,2,0,5,5,0,0,23,,,
"Apex City Hospital, West Vinod Nagar",28,2,26,Private,2021-05-26-00-35,4,0,4,,,,4,0,4,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-26-17-24,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,3,28,Private,2021-05-26-16-48,7,3,4,,,,7,3,4,,,,,
ARK Hospital,30,0,30,Private,2021-05-26-15-01,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,20,7,13,Private,2021-05-26-13-19,6,5,1,,,,6,5,1,0,20,4,2,2
Arya Hospital,24,0,24,Private,2021-05-26-16-25,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-05-26-15-29,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-26-09-27,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-05-26-09-46,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",60,37,23,Private,2021-05-26-16-46,27,17,10,3,3,0,30,20,10,0,12,,,
"B.M. Gupta Hospital, Uttam Nagar",70,12,58,Private,2021-05-26-17-23,19,10,9,1,0,1,20,10,10,0,12,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-05-26-08-04,,,,,,,,,,2,0,,,
"Bansal Global Hospital, Jahangirpuri",60,8,52,Private,2021-05-26-12-47,9,3,6,1,0,1,10,3,7,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,12,28,Private,2021-05-26-07-11,8,1,7,2,2,0,10,3,7,,,,,
Bara Hindurao Hospital,250,63,187,Central Government,2021-05-26-11-26,,,,10,6,4,10,6,4,5,15,,,
Base Hospital Delhi Cantt,500,211,289,Central Government,2021-05-26-07-32,,,,50,47,3,50,47,3,2,12,,,
Batra Hospital,300,63,237,Private,2021-05-26-14-29,18,4,14,15,11,4,33,15,18,0,23,12,12,0
"Bensups Hospital, Dwarka",30,7,23,Private,2021-05-26-16-36,12,2,10,3,1,2,15,3,12,0,20,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-05-26-08-35,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,20,61,Private,2021-05-26-16-05,23,12,11,5,3,2,28,15,13,0,16,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,9,31,Private,2021-05-26-16-31,10,6,4,1,0,1,11,6,5,0,8,,,
"Bhagwati Hospital, Rohini",130,9,121,Private,2021-05-26-17-02,13,1,12,2,2,0,15,3,12,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",36,8,28,Private,2021-05-26-17-34,6,4,2,,,,6,4,2,0,8,,,
Bimla Devi Hospital,27,0,27,Private,2021-05-26-17-24,,,,,,,,,,4,0,3,2,1
"BLK Hospital, Pusa Road",317,99,218,Private,2021-05-26-17-30,62,54,8,13,13,0,75,67,8,1,0,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,6,74,Private,2021-05-26-17-13,9,2,7,2,0,2,11,2,9,0,7,2,0,2
Burari Hospital,700,92,608,Delhi Government,2021-05-26-17-20,85,62,23,30,30,0,115,92,23,1,7,,,
C M PATEL HOSPITAL,15,1,14,Private,2021-05-26-14-14,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,2,25,Central Government,2021-05-26-09-07,,,,,,,,,,7,0,,,
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-26-08-52,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-05-26-11-57,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,1,39,Private,2021-05-26-16-06,4,1,3,1,0,1,5,1,4,0,18,3,0,3
Central Hospital,31,24,7,Private,2021-05-26-15-43,4,3,1,4,2,2,8,5,3,0,3,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,74,326,Delhi Government,2021-05-26-13-14,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,20,780,Delhi Government,2021-05-26-09-29,,,,,,,,,,25,0,,,
"Covid Care Center- Sardar Patel, Chattrpur",565,98,467,Delhi Government,2021-05-26-17-06,,,,,,,,,,1,12,,,
Covid Care Center -CWG AKSHARDHAM,460,37,423,Delhi Government,2021-05-26-08-46,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,10,6,4,Private,2021-05-26-15-01,5,2,3,,,,5,2,3,1,23,,,
"Cygnus MLS, Rama Vihar",60,24,36,Private,2021-05-26-17-11,19,13,6,5,5,0,24,18,6,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,11,57,Private,2021-05-26-17-26,26,3,23,5,3,2,31,6,25,0,17,,,
Deen Dayal Upadhyay hospital,500,211,289,Delhi Government,2021-05-26-15-44,120,44,76,130,107,23,250,151,99,0,17,33,22,11
Deep Chand Bandhu,250,87,163,Delhi Government,2021-05-26-16-01,95,45,50,25,20,5,120,65,55,0,6,,,
Delhi global hospital,14,1,13,Private,2021-05-26-17-31,,,,,,,,,,1,16,,,
Delhi Golden Hospital,15,0,15,Private,2021-05-26-17-18,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,55,18,Private,2021-05-26-16-08,22,18,4,5,4,1,27,22,5,1,6,12,12,0
Delhi multi speciality hospital,11,0,11,Private,2021-05-26-16-25,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,20,140,Private,2021-05-26-15-58,13,5,8,5,5,0,18,10,8,1,0,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,10,24,Private,2021-05-26-14-28,9,3,6,2,2,0,11,5,6,0,15,,,
Divine Multispeciality Hospital and Cancer Centre,35,7,28,Private,2021-05-26-14-31,23,3,20,7,4,3,30,7,23,0,17,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",65,39,26,Private,2021-05-26-11-50,10,10,0,2,2,0,12,12,0,1,20,,,
Dr Baba Saheb Ambedkar Hospital,400,210,190,Delhi Government,2021-05-26-14-21,58,40,18,142,95,47,200,135,65,1,5,,,
Dr Rakesh Multispeciality Hospital,15,2,13,Private,2021-05-26-09-42,5,2,3,1,0,1,6,2,4,1,0,,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,0,36,Private,2021-05-26-16-41,,,,,,,,,,3,0,,,
East Delhi Medical Centre Mansarover Park,30,6,24,Private,2021-05-26-16-15,6,1,5,,,,6,1,5,1,12,4,3,1
Eden Hospital,8,3,5,Private,2021-05-26-14-22,,,,,,,,,,0,23,,,
Ekansh Hospital,8,2,6,Private,2021-05-26-16-14,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,65,11,54,Central Government,2021-05-26-15-08,,,,5,5,0,5,5,0,3,0,,,
ESIC hospital Okhla,230,45,185,Central Government,2021-05-26-13-49,5,2,3,10,10,0,15,12,3,1,2,,,
"Fortis Escorts Heart Institute, Okhla",112,25,87,Private,2021-05-26-16-06,55,20,35,5,5,0,60,25,35,2,2,16,12,4
"Fortis Hospital, Shalimar Bagh",205,90,115,Private,2021-05-26-15-54,33,30,3,27,27,0,60,57,3,1,23,8,8,0
"Fortis SS Hospital, Vasant Kunj",106,44,62,Private,2021-05-26-17-35,20,20,0,12,12,0,32,32,0,1,23,,,
"Gandhi Nursing Home, Uttam Nagar",50,15,35,Private,2021-05-26-17-00,17,9,8,1,0,1,18,9,9,1,9,27,22,5
"Garg Hospital, Karkardooma",36,4,32,Private,2021-05-26-16-39,4,0,4,,,,4,0,4,0,12,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",70,32,38,Private,2021-05-26-16-37,12,12,0,5,5,0,17,17,0,1,15,8,8,0
"Goyal Hospital, Paschim Vihar",24,3,21,Private,2021-05-26-14-08,7,1,6,,,,7,1,6,0,8,,,
GTB Hospital,1800,356,1444,Delhi Government,2021-05-26-16-06,692,228,464,208,128,80,900,356,544,0,18,,,
Gupta Multispecialty Hospital,14,3,11,Private,2021-05-26-16-28,,,,,,,,,,1,0,,,
"Gupta Multispecialty Hospital, Vivek Vihar",40,4,36,Private,2021-05-26-16-19,6,0,6,,,,6,0,6,0,12,,,
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,0,198,Delhi Government,2021-05-26-17-02,,,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,26,350,Private,2021-05-26-16-55,9,4,5,16,9,7,25,13,12,1,0,6,1,5
HANDA NURSING HOME,12,0,12,Private,2021-05-26-16-19,,,,,,,,,,1,16,,,
Hardik Hospital,10,0,10,Private,2021-05-26-12-36,,,,,,,,,,1,20,,,
Highland Care Multispeciality Hospital,30,3,27,Private,2021-05-26-16-12,3,0,3,2,0,2,5,0,5,0,18,,,
Hira’s Multispeciality Hospital,15,1,14,Private,2021-05-26-09-25,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",300,165,135,Private,2021-05-26-16-28,10,10,0,44,44,0,54,54,0,0,6,18,18,0
"IBS Hospital, Lajpat Nagar",39,8,31,Private,2021-05-26-15-50,10,5,5,3,3,0,13,8,5,0,6,,,
"Indian spinal injury centre,Vasant Kunj",160,75,85,Private,2021-05-26-17-25,20,12,8,19,19,0,39,31,8,0,15,12,8,4
"Indira Gandhi Hospital, Dwarka",250,10,240,Delhi Government,2021-05-26-12-35,,,,,,,,,,7,0,,,
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",470,200,270,Private,2021-05-26-15-25,88,88,0,12,12,0,100,100,0,1,17,65,65,0
"Irene Hospital, Kalkaji",34,2,32,Private,2021-05-26-14-30,3,2,1,2,0,2,5,2,3,3,2,,,
"Ishan Hospital, Rohini",13,2,11,Private,2021-05-26-17-32,5,0,5,,,,5,0,5,0,15,,,
"Jain Hospital, Vikas Marg Extn.",42,7,35,Private,2021-05-26-16-59,13,8,5,,,,13,8,5,0,8,2,2,0
"Jaipur Golden Hospital, Rohini",200,94,106,Private,2021-05-26-17-12,50,34,16,15,15,0,65,49,16,0,14,10,10,0
Janakpuri Super Speciality Hospital Society,100,12,88,Delhi Government,2021-05-26-16-57,50,9,41,,,,50,9,41,2,19,,,
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,12,48,Private,2021-05-26-16-18,8,4,4,2,2,0,10,6,4,0,18,,,
"Jeewan Mala Hospital, Rohtak Road",60,23,37,Private,2021-05-26-17-28,28,5,23,8,4,4,36,9,27,0,12,6,6,0
"Jeewan Moti Khera Hospital, Nangloi",30,5,25,Private,2021-05-26-17-28,4,0,4,1,1,0,5,1,4,1,23,,,
"Jeewan Nursing Home, Pusa Road",37,6,31,Private,2021-05-26-16-57,7,2,5,,,,7,2,5,0,6,7,7,0
Jivisha Advanced Medical Centre,22,0,22,Private,2021-05-26-16-35,,,,,,,,,,1,23,,,
Jivodaya Hospital,20,0,20,Private,2021-05-26-16-22,,,,,,,,,,1,23,20,0,20
Jyoti Nursing Home,22,3,19,Private,2021-05-26-13-13,,,,,,,,,,1,11,,,
