name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-02-12-43,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-02-14-01,8,0,8,2,2,0,2,0,2,10,0,10,,
Ace Hospital,30,0,30,Private,2021-07-02-11-11,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-02-15-54,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-02-10-52,,,,,,,,,,,,,5,0
AIIMS Jhajjar,400,49,351,Central Government,2021-07-02-09-59,,,,,,,100,49,51,100,49,51,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-02-16-54,,,,87,64,23,,,,,,,3,4
"AIIMS, Trauma Delhi",294,76,218,Central Government,2021-07-02-16-37,,,,,,,71,35,36,71,35,36,,
"Akash Healthcare, Dwarka",133,0,133,Private,2021-07-02-17-28,14,0,14,17,17,0,40,0,40,54,0,54,0,12
All India Institute of Ayurveda,47,0,47, ,2021-07-02-07-25,,,,,,,,,,,,,7,0
Alshifa Hospital,49,32,17,Private,2021-07-02-09-43,23,4,19,,,,4,0,4,27,4,23,3,4
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-02-16-49,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-02-16-29,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-02-12-51,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",15,0,15,Private,2021-07-02-07-32,2,0,2,,,,,,,2,0,2,1,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-07-02-10-14,,,,,,,3,0,3,3,0,3,1,20
Ardent Ganpati,31,0,31,Private,2021-07-02-17-30,7,0,7,,,,,,,7,0,7,,
ARK Hospital,30,0,30,Private,2021-07-02-10-18,5,0,5,,,,,,,5,0,5,0,6
Arogya Hospital,6,0,6,Private,2021-07-02-11-06,6,0,6,4,4,0,,,,6,0,6,0,20
Arya Hospital,24,0,24,Private,2021-07-02-15-20,8,0,8,14,0,14,2,0,2,10,0,10,4,0
Ashray Medical Centre,12,0,12,Private,2021-07-02-11-01,2,0,2,,,,,,,2,0,2,1,23
Asian Multispeciality Hospital,15,0,15,Private,2021-07-02-08-31,,,,,,,,,,,,,4,0
Astha Hospital,30,0,30,Private,2021-07-02-14-50,,,,,,,,,,,,,2,18
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-02-15-18,18,0,18,20,20,0,2,0,2,20,0,20,0,23
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-02-16-20,7,0,7,,,,1,0,1,8,0,8,0,23
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-02-08-12,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-02-16-55,9,0,9,1,0,1,1,0,1,10,0,10,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-07-02-09-06,8,0,8,,,,2,0,2,10,0,10,,
Bara Hindurao Hospital,250,3,247,Central Government,2021-07-02-10-11,,,,4,0,4,10,1,9,10,1,9,10,12
Base Hospital Delhi Cantt,500,16,484,Central Government,2021-07-02-07-01,,,,,,,50,4,46,50,4,46,2,12
Batra Hospital,300,0,300,Private,2021-07-02-13-09,18,0,18,12,12,0,15,0,15,33,0,33,0,23
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-02-13-35,12,0,12,,,,3,0,3,15,0,15,5,10
BH SALVAS HOSPITAL,40,30,10,Private,2021-07-02-14-37,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-07-02-09-10,13,0,13,,,,2,0,2,15,0,15,0,10
"Bhatia Global Hospital, Paschim Vihar",33,0,33,Private,2021-07-02-15-30,3,0,3,3,1,2,,,,3,0,3,5,12
Bimla Devi Hospital,10,0,10,Private,2021-07-02-14-03,,,,6,1,5,,,,,,,4,0
"BLK Hospital, Pusa Road",140,4,136,Private,2021-07-02-17-30,21,0,21,90,90,0,7,2,5,28,2,26,5,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-07-02-07-31,1,0,1,8,6,2,2,0,2,3,0,3,2,2
Burari Hospital,300,3,297,Delhi Government,2021-07-02-17-09,70,3,67,,,,30,0,30,100,3,97,3,14
C M PATEL HOSPITAL,15,0,15,Private,2021-07-02-10-11,,,,,,,,,,,,,2,23
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,,,,7,0
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-07-02-12-01,,,,,,,,,,,,,0,12
CBR Hospital,25,10,15,Private,2021-07-02-12-05,3,3,0,,,,,,,3,3,0,1,7
"CD Global Hospital, Najafgarh Road",40,1,39,Private,2021-07-02-13-34,4,1,3,3,0,3,1,0,1,5,1,4,0,20
Central Hospital,16,0,16,Private,2021-07-02-17-19,,,,4,4,0,4,0,4,4,0,4,0,3
Covid care and treatment centre Gurdwara Rakab ganj,400,6,394,Delhi Government,2021-06-25-04-23,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,0,800,Delhi Government,2021-06-26-10-42,,,,,,,,,,,,,21,9
"Covid Care Center- Sardar Patel, Chattrpur",596,6,590,Delhi Government,2021-07-02-12-45,,,,,,,,,,,,,1,8
Covid Care Center -CWG AKSHARDHAM,460,4,456,Delhi Government,2021-07-02-08-36,,,,,,,,,,,,,5,23
Cronus Multi speciality Hospital,10,0,10,Private,2021-06-28-21-05,5,0,5,,,,,,,5,0,5,1,8
"Cygnus MLS, Rama Vihar",60,0,60,Private,2021-07-02-11-11,19,0,19,,,,5,0,5,24,0,24,0,3
"Cygnus Sonia Hospital, Nangloi",68,0,68,Private,2021-07-02-17-26,26,0,26,,,,5,0,5,31,0,31,0,17
Deen Dayal Upadhyay hospital,100,13,87,Delhi Government,2021-07-02-16-40,,,,43,0,43,25,9,16,25,9,16,0,18
Deep Chand Bandhu,100,21,79,Delhi Government,2021-07-02-16-00,5,0,5,10,1,9,20,10,10,25,10,15,5,2
Delhi global hospital,14,3,11,Private,2021-07-02-14-16,3,0,3,3,0,3,,,,3,0,3,1,23
Delhi Golden Hospital,15,0,15,Private,2021-07-02-16-55,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-07-02-10-45,3,0,3,34,17,17,2,0,2,5,0,5,3,0
Delhi multi speciality hospital,11,0,11,Private,2021-07-02-17-01,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-07-02-16-05,13,0,13,5,5,0,5,0,5,18,0,18,1,8
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-07-02-10-24,4,0,4,5,3,2,1,0,1,5,0,5,0,20
Divine Multispeciality Hospital and Cancer Centre,35,10,25,Private,2021-07-01-10-02,16,2,14,9,3,6,10,1,9,26,3,23,0,22
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,1,19,Private,2021-07-02-12-08,,,,8,8,0,2,1,1,2,1,1,1,20
Dr Baba Saheb Ambedkar Hospital,100,29,71,Delhi Government,2021-07-02-11-14,,,,12,0,12,25,20,5,25,20,5,0,17
Dr Rakesh Multispeciality Hospital,15,0,15,Private,2021-07-02-09-50,5,0,5,,,,1,0,1,6,0,6,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,0,36,Private,2021-07-02-17-22,,,,,,,,,,,,,0,12
East Delhi Medical Centre Mansarover Park,13,0,13,Private,2021-07-02-14-15,3,0,3,7,3,4,,,,3,0,3,1,20
Eden Hospital,8,0,8,Private,2021-07-02-08-19,,,,,,,,,,,,,0,23
Ekansh Hospital,8,0,8,Private,2021-07-02-09-43,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,76,0,76,Central Government,2021-07-02-11-00,,,,5,5,0,5,0,5,5,0,5,4,3
ESIC hospital Okhla,20,0,20,Central Government,2021-07-01-17-46,,,,27,8,19,2,0,2,2,0,2,4,4
"Fortis Escorts Heart Institute, Okhla",112,0,112,Private,2021-07-02-16-21,55,0,55,16,12,4,5,0,5,60,0,60,2,1
"Fortis Hospital, Shalimar Bagh",78,0,78,Private,2021-07-02-16-03,15,0,15,48,43,5,5,0,5,20,0,20,0,8
"Fortis SS Hospital, Vasant Kunj",106,1,105,Private,2021-07-02-12-10,20,1,19,,,,12,0,12,32,1,31,2,23
Galaxy Hospital,8,0,8,Private,2021-07-02-09-06,2,0,2,1,0,1,,,,2,0,2,5,0
"Gandhi Nursing Home, Uttam Nagar",25,1,24,Private,2021-07-02-09-09,8,1,7,15,15,0,2,0,2,10,1,9,1,12
"Garg Hospital, Karkardooma",36,0,36,Private,2021-07-02-17-03,4,0,4,,,,,,,4,0,4,0,12
"Goyal Hospital & Urology Centre, Krishna Nagar",24,0,24,Private,2021-07-02-14-11,2,0,2,8,2,6,2,0,2,4,0,4,1,23
"Goyal Hospital, Paschim Vihar",24,0,24,Private,2021-07-02-13-40,7,0,7,,,,,,,7,0,7,0,12
GTB Hospital,600,18,582,Delhi Government,2021-07-02-16-02,410,0,410,,,,140,18,122,550,18,532,2,16
Gupta Multispecialty Hospital,14,0,14,Private,2021-07-02-14-46,,,,4,0,4,,,,,,,2,0
"Gupta Multispecialty Hospital, Vivek Vihar",40,0,40,Private,2021-07-02-15-21,6,0,6,,,,,,,6,0,6,2,20
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,0,198,Delhi Government,2021-07-01-10-44,,,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,1,375,Private,2021-07-02-07-07,13,0,13,6,6,0,22,0,22,35,0,35,1,4
HANDA NURSING HOME,12,0,12,Private,2021-07-01-13-20,,,,6,0,6,,,,,,,1,18
Hardik Hospital,10,0,10,Private,2021-07-02-15-31,4,0,4,,,,,,,4,0,4,1,20
Highland Care Multispeciality Hospital,30,1,29,Private,2021-07-02-10-31,5,0,5,,,,,,,5,0,5,0,15
Hira’s Multispeciality Hospital,15,0,15,Private,2021-07-02-11-17,,,,,,,,,,,,,0,12
"Holy Family Hospital, Okhla",100,1,99,Private,2021-07-02-08-47,,,,18,18,0,14,1,13,14,1,13,0,20
"IBS Hospital, Lajpat Nagar",7,0,7,Private,2021-07-02-10-42,,,,10,4,6,,,,,,,0,6
"Indian spinal injury centre,Vasant Kunj",60,12,48,Private,2021-07-02-16-52,,,,10,6,4,9,4,5,9,4,5,0,22
"Indira Gandhi Hospital, Dwarka",250,1,249,Delhi Government,2021-07-02-09-55,,,,73,0,73,15,0,15,15,0,15,8,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",215,2,213,Private,2021-07-02-15-38,36,1,35,117,99,18,12,1,11,48,2,46,4,0
"Irene Hospital, Kalkaji",34,0,34,Private,2021-07-02-15-35,3,0,3,,,,2,0,2,5,0,5,1,0
"Ishan Hospital, Rohini",13,0,13,Private,2021-07-02-17-18,5,0,5,,,,,,,5,0,5,0,15
"Jaipur Golden Hospital, Rohini",72,16,56,Private,2021-07-02-16-59,8,8,0,11,11,0,4,0,4,12,8,4,0,16
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,0,60,Private,2021-07-02-14-36,,,,10,3,7,,,,,,,0,23
