name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-10-10-27,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,19,1,18,Private,2021-02-10-17-17,4,0,4,5,0,5,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-10-05-53,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-02-10-07-53,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,56,12,44,Central Government,2021-02-10-16-34,,,,15,10,5,2,21,93,68,25,15,10,5
"AIIMS, Trauma Delhi",265,110,155,Central Government,2021-02-11-05-35,,,,71,58,13,,,,,,71,58,13
"Akash Healthcare, Dwarka",79,7,72,Private,2021-02-10-19-27,14,5,9,24,6,18,0,16,44,43,1,10,1,9
Alshifa Hospital,18,0,18,Private,2021-02-10-09-59,4,0,4,6,0,6,6,0,11,2,9,2,0,2
Ambedkar Nagar hospital,300,1,299,Delhi Government,2021-02-11-05-01,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-10-10-28,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-10-15-43,5,0,5,5,0,5,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-10-09-48,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arogya Hospital,4,0,4,Private,2021-02-10-10-09,,,,,,,0,21,4,0,4,,,
Arya Hospital,24,1,23,Private,2021-02-10-09-48,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-02-10-09-09,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-02-10-11-33,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",41,16,25,Private,2021-02-11-00-54,8,2,6,10,3,7,0,18,20,15,5,2,1,1
"B.M. Gupta Hospital, Uttam Nagar",40,0,40,Private,2021-02-11-04-40,2,0,2,3,0,3,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,1,19,Private,2021-02-10-10-55,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-02-10-07-24,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,6,244,Central Government,2021-02-10-09-36,,,,14,1,13,2,5,8,5,3,14,1,13
Base Hospital Delhi Cantt,500,91,409,Central Government,2021-02-10-06-52,,,,50,6,44,2,12,,,,50,6,44
Batra Hospital,200,4,196,Private,2021-02-10-10-32,39,2,37,44,3,41,0,23,66,48,18,5,1,4
"Bensups Hospital, Dwarka",25,0,25,Private,2021-02-10-11-16,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-02-10-09-43,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,1,33,Private,2021-02-10-16-04,6,0,6,7,0,7,2,15,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",20,0,20,Private,2021-02-10-09-00,5,0,5,5,0,5,0,20,6,0,6,,,
"Bhagwati Hospital, Rohini",40,3,37,Private,2021-02-10-16-43,7,3,4,8,3,5,0,10,10,10,0,1,0,1
"Bhatia Global Hospital, Paschim Vihar",20,0,20,Private,2021-02-11-01-54,2,0,2,2,0,2,6,12,4,4,0,,,
Bimla Devi Hospital,10,0,10,Private,2021-02-10-09-42,5,0,5,7,0,7,4,0,7,0,7,2,0,2
"BLK Hospital, Pusa Road",186,19,167,Private,2021-02-11-05-31,43,9,34,47,13,34,3,0,80,80,0,4,4,0
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-02-10-12-31,4,0,4,5,0,5,2,12,7,4,3,1,0,1
Burari Hospital,800,2,798,Delhi Government,2021-02-10-08-01,145,1,144,195,1,194,7,12,,,,50,0,50
C M PATEL HOSPITAL,3,0,3,Private,2021-02-10-12-20,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-02-10-14-26,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,10,1,9,Private,2021-02-11-01-03,2,1,1,4,1,3,0,3,4,2,2,2,0,2
"Cygnus MLS, Rama Vihar",34,5,29,Private,2021-02-10-17-21,8,2,6,9,2,7,15,0,15,6,9,1,0,1
"Cygnus Sonia Hospital, Nangloi",28,1,27,Private,2021-02-11-01-53,7,1,6,8,1,7,0,17,18,8,10,1,0,1
Deen Dayal Upadhyay hospital,150,7,143,Delhi Government,2021-02-11-04-03,50,0,50,100,4,96,2,3,43,43,0,50,4,46
Deep Chand Bandhu,150,3,147,Delhi Government,2021-02-10-21-14,50,1,49,75,2,73,3,15,10,2,8,25,1,24
Delhi global hospital,3,0,3,Private,2021-02-10-06-31,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",42,2,40,Private,2021-02-10-11-53,13,0,13,15,0,15,5,5,24,19,5,2,0,2
Delhi multi speciality hospital,2,0,2,Private,2021-02-10-08-56,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",80,9,71,Private,2021-02-11-04-01,13,6,7,18,6,12,1,8,8,0,8,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,1,20,Private,2021-02-10-10-58,4,1,3,5,1,4,3,16,5,0,5,1,0,1
