name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,3,19,Private,2021-05-30-11-33,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,2,38,Private,2021-06-02-11-44,8,1,7,2,0,2,10,1,9,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-01-13-08,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,11,139,Delhi Government,2021-06-02-11-50,,,,30,7,23,30,7,23,1,16,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-02-10-20,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,122,278,Central Government,2021-06-02-10-04,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,82,220,Central Government,2021-06-02-11-53,29,12,17,43,37,6,72,49,23,3,0,72,48,24
"AIIMS, Trauma Delhi",294,202,92,Central Government,2021-06-02-05-53,,,,71,58,13,71,58,13,,,,,
"Akash Healthcare, Dwarka",133,71,62,Private,2021-06-02-10-28,14,14,0,40,40,0,54,54,0,0,8,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-02-08-33,,,,,,,,,,7,0,,,
Alshifa Hospital,50,17,33,Private,2021-06-02-09-04,15,6,9,4,3,1,19,9,10,1,10,,,
Ambedkar Nagar hospital,600,16,584,Delhi Government,2021-06-02-11-36,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-02-11-53,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,5,35,Private,2021-06-02-11-53,3,3,0,2,2,0,5,5,0,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,1,27,Private,2021-06-02-11-52,4,0,4,,,,4,0,4,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-02-10-19,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-02-12-04,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-01-12-07,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-02-10-48,6,0,6,,,,6,0,6,0,20,4,1,3
Arya Hospital,24,0,24,Private,2021-06-02-10-32,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-01-23-08,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-02-09-39,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-01-09-50,,,,,,,,,,,,10,0,10
