name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,1,21,Private,2021-06-09-09-48,3,0,3,2,0,2,5,0,5,0,15,,,
AASTHA HOSPITAL,40,0,40,Private,2021-06-11-16-06,8,0,8,2,0,2,10,0,10,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-11-11-15,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,0,150,Delhi Government,2021-06-11-15-49,,,,30,0,30,30,0,30,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-11-13-33,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,84,316,Central Government,2021-06-11-09-29,,,,100,84,16,100,84,16,0,23,,,
AIIMS Main Delhi,70,22,48,Central Government,2021-06-11-15-47,14,-16,30,43,37,6,57,21,36,2,14,87,61,26
"AIIMS, Trauma Delhi",294,139,155,Central Government,2021-06-11-16-59,,,,71,46,25,71,46,25,,,,,
"Akash Healthcare, Dwarka",133,11,122,Private,2021-06-11-17-18,14,3,11,40,5,35,54,8,46,0,10,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-11-13-46,,,,,,,,,,7,0,,,
Alshifa Hospital,50,8,42,Private,2021-06-11-08-55,15,4,11,4,0,4,19,4,15,1,4,,,
Ambedkar Nagar hospital,600,4,596,Delhi Government,2021-06-11-17-15,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-11-17-27,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-06-11-15-29,3,0,3,2,0,2,5,0,5,1,23,6,1,5
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-06-11-15-29,4,4,0,,,,4,4,0,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-11-09-37,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-11-15-35,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-11-14-04,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-11-12-24,6,0,6,,,,6,0,6,0,23,4,2,2
Arya Hospital,24,1,23,Private,2021-06-11-17-07,8,0,8,2,0,2,10,0,10,4,0,10,0,10
Ashray Medical Centre,12,0,12,Private,2021-06-11-11-12,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-11-11-05,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-11-09-48,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,5,45,Private,2021-06-11-16-27,28,5,23,2,0,2,30,5,25,3,12,,,
"B.M. Gupta Hospital, Uttam Nagar",70,0,70,Private,2021-06-11-16-36,19,0,19,1,0,1,20,0,20,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-11-08-10,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-06-11-08-45,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-06-11-08-57,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,15,235,Central Government,2021-06-11-10-14,,,,10,4,6,10,4,6,6,7,,,
Base Hospital Delhi Cantt,500,183,317,Central Government,2021-05-27-06-42,,,,50,48,2,50,48,2,2,12,,,
Batra Hospital,300,5,295,Private,2021-06-11-11-00,18,0,18,15,0,15,33,0,33,0,23,12,12,0
"Bensups Hospital, Dwarka",30,2,28,Private,2021-06-11-16-51,12,1,11,3,0,3,15,1,14,1,10,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-06-11-10-03,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",10,2,8,Private,2021-06-11-16-10,5,0,5,2,0,2,7,0,7,1,1,10,3,7
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,4,36,Private,2021-06-11-16-17,10,4,6,1,0,1,11,4,7,0,14,,,
"Bhagwati Hospital, Rohini",130,4,126,Private,2021-06-11-12-09,13,3,10,2,0,2,15,3,12,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",33,2,31,Private,2021-06-11-17-30,3,2,1,,,,3,2,1,0,14,3,3,0
Bimla Devi Hospital,10,0,10,Private,2021-06-11-13-57,,,,,,,,,,4,0,,,
"BLK Hospital, Pusa Road",317,11,306,Private,2021-06-11-17-30,68,4,64,7,3,4,75,7,68,4,0,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,0,80,Private,2021-06-11-10-45,9,0,9,2,0,2,11,0,11,1,20,2,2,0
Burari Hospital,700,26,674,Delhi Government,2021-06-11-16-17,85,0,85,30,8,22,115,8,107,1,14,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-06-11-02-49,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,2,25,Central Government,2021-06-11-09-45,,,,,,,,,,7,0,,,
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-06-11-09-29,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-06-11-11-46,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-06-11-15-36,4,0,4,1,0,1,5,0,5,1,1,3,0,3
Central Hospital,16,2,14,Private,2021-06-11-16-54,,,,4,2,2,4,2,2,0,3,4,2,2
Covid care and treatment centre Gurdwara Rakab ganj,400,93,307,Delhi Government,2021-06-11-13-48,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,14,786,Delhi Government,2021-05-29-11-02,,,,,,,,,,19,0,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,30,566,Delhi Government,2021-06-11-15-51,,,,,,,,,,2,16,,,
Covid Care Center -CWG AKSHARDHAM,460,7,453,Delhi Government,2021-06-11-08-54,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,10,0,10,Private,2021-06-11-07-50,5,0,5,,,,5,0,5,1,17,,,
"Cygnus MLS, Rama Vihar",60,2,58,Private,2021-06-11-17-24,19,0,19,5,1,4,24,1,23,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,2,66,Private,2021-06-11-13-29,26,0,26,5,1,4,31,1,30,0,17,,,
Deen Dayal Upadhyay hospital,500,59,441,Delhi Government,2021-06-11-16-26,120,16,104,130,42,88,250,58,192,0,18,33,0,33
Deep Chand Bandhu,250,38,212,Delhi Government,2021-06-11-16-51,100,6,94,30,20,10,130,26,104,0,10,,,
Delhi global hospital,14,3,11,Private,2021-06-11-14-27,3,0,3,,,,3,0,3,1,23,3,0,3
Delhi Golden Hospital,15,0,15,Private,2021-06-11-17-07,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,23,50,Private,2021-06-11-16-51,22,11,11,5,1,4,27,12,15,3,0,12,12,0
Delhi multi speciality hospital,11,0,11,Private,2021-06-11-17-10,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,0,160,Private,2021-06-11-16-02,13,0,13,5,0,5,18,0,18,0,16,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,2,32,Private,2021-06-11-12-38,9,2,7,2,0,2,11,2,9,0,6,,,
Divine Multispeciality Hospital and Cancer Centre,35,9,26,Private,2021-06-11-08-17,17,7,10,9,2,7,26,9,17,0,20,9,4,5
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,0,20,Private,2021-06-11-14-19,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,400,73,327,Delhi Government,2021-06-11-15-38,58,6,52,142,30,112,200,36,164,0,22,,,
Dr Rakesh Multispeciality Hospital,15,0,15,Private,2021-06-11-09-38,5,0,5,1,0,1,6,0,6,,,,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,0,36,Private,2021-06-11-16-57,,,,,,,,,,1,8,,,
East Delhi Medical Centre Mansarover Park,30,0,30,Private,2021-06-11-11-17,6,0,6,,,,6,0,6,1,15,4,4,0
Eden Hospital,8,4,4,Private,2021-06-11-12-28,,,,,,,,,,0,23,,,
Ekansh Hospital,8,0,8,Private,2021-06-11-10-38,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,65,5,60,Central Government,2021-06-11-16-26,,,,5,3,2,5,3,2,7,22,,,
ESIC hospital Okhla,230,6,224,Central Government,2021-06-11-15-42,,,,15,2,13,15,2,13,1,22,,,
"Fortis Escorts Heart Institute, Okhla",112,2,110,Private,2021-06-11-16-25,55,0,55,5,1,4,60,1,59,2,1,16,12,4
"Fortis Hospital, Shalimar Bagh",200,10,190,Private,2021-06-11-14-32,30,3,27,20,5,15,50,8,42,3,23,18,18,0
"Fortis SS Hospital, Vasant Kunj",106,9,97,Private,2021-06-11-14-58,20,2,18,12,4,8,32,6,26,2,23,,,
Galaxy Hospital,8,0,8,Private,2021-06-11-09-16,2,0,2,,,,2,0,2,3,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",20,1,19,Private,2021-06-11-16-00,7,1,6,1,0,1,8,1,7,1,12,15,14,1
"Garg Hospital, Karkardooma",36,1,35,Private,2021-06-11-17-11,4,0,4,,,,4,0,4,0,12,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",70,0,70,Private,2021-06-11-17-07,12,0,12,5,0,5,17,0,17,1,23,8,8,0
"Goyal Hospital, Paschim Vihar",24,1,23,Private,2021-06-11-13-58,7,1,6,,,,7,1,6,0,12,,,
GTB Hospital,1800,244,1556,Delhi Government,2021-06-11-16-02,672,116,556,228,128,100,900,244,656,1,18,,,
Gupta Multispecialty Hospital,14,1,13,Private,2021-06-11-17-00,,,,,,,,,,1,0,,,
"Gupta Multispecialty Hospital, Vivek Vihar",40,0,40,Private,2021-06-11-17-02,6,0,6,,,,6,0,6,2,20,,,
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,0,198,Delhi Government,2021-06-11-10-54,,,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,2,374,Private,2021-06-11-14-24,13,0,13,22,0,22,35,0,35,1,4,6,1,5
HANDA NURSING HOME,12,0,12,Private,2021-06-11-15-01,,,,,,,,,,1,18,,,
Hardik Hospital,10,0,10,Private,2021-06-10-10-34,4,0,4,,,,4,0,4,1,20,6,0,6
Highland Care Multispeciality Hospital,30,2,28,Private,2021-06-11-14-05,5,0,5,,,,5,0,5,0,9,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-06-11-09-48,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",275,35,240,Private,2021-06-11-17-30,4,4,0,44,23,21,48,27,21,0,20,18,18,0
"IBS Hospital, Lajpat Nagar",39,0,39,Private,2021-06-11-11-53,9,0,9,4,0,4,13,0,13,0,6,3,3,0
"Indian spinal injury centre,Vasant Kunj",160,12,148,Private,2021-06-11-17-06,,,,19,9,10,19,9,10,1,4,10,10,0
"Indira Gandhi Hospital, Dwarka",320,1,319,Delhi Government,2021-06-11-13-32,,,,15,0,15,15,0,15,8,0,,,
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",470,40,430,Private,2021-06-11-16-12,88,18,70,12,12,0,100,30,70,2,0,65,57,8
"Irene Hospital, Kalkaji",34,0,34,Private,2021-06-11-15-47,3,0,3,2,0,2,5,0,5,3,6,,,
"Ishan Hospital, Rohini",13,0,13,Private,2021-06-11-17-17,5,0,5,,,,5,0,5,0,15,,,
