name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-09-05-09-24,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-09-05-09-26,1,0,1,1,0,1,2,0,5,2,3,,,
Ace Hospital,6,0,6,Private,2021-06-02-15-13,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-09-05-09-23,,,,,,,6,0,,,,,,
AIIMS Main Delhi,38,26,12,Central Government,2021-09-05-09-06,,,,,,,4,8,133,93,40,,,
"AIIMS, Trauma Delhi",21,0,21,Central Government,2021-09-05-16-48,,,,21,0,21,,,,,,21,0,21
"Akash Healthcare, Dwarka",20,0,20,Private,2021-09-05-16-35,5,0,5,7,0,7,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-09-05-10-39,6,0,6,8,0,8,15,0,14,4,10,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-09-05-16-24,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-09-05-11-07,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-09-05-07-53,3,0,3,3,0,3,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-09-05-12-54,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-09-05-09-51,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-09-05-08-28,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-09-05-10-21,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-09-05-02-28,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-09-05-10-20,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-09-05-10-48,,,,,,,0,7,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-09-05-09-53,,,,14,0,14,4,12,8,7,1,14,0,14
Base Hospital Delhi Cantt,500,4,496,Central Government,2021-09-05-08-45,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,0,50,Private,2021-09-05-06-42,9,0,9,11,0,11,0,23,99,49,50,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-09-05-07-10,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-09-05-09-30,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,0,9,Private,2021-09-05-16-01,2,0,2,3,0,3,2,15,7,5,2,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,2,8,Private,2021-09-05-09-15,2,0,2,3,0,3,0,10,17,12,5,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-09-05-09-13,1,0,1,1,0,1,6,12,5,0,5,,,
Bimla Devi Hospital,10,0,10,Private,2021-09-05-14-39,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,6,41,Private,2021-09-05-07-44,9,3,6,12,3,9,1,0,106,106,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",31,0,31,Private,2021-09-05-10-27,1,0,1,1,0,1,2,12,3,2,1,,,
Burari Hospital,600,1,599,Delhi Government,2021-09-05-09-26,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-09-05-09-06,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-09-05-14-36,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-09-05-17-27,,,,2,0,2,0,4,6,3,3,2,0,2
"Cygnus MLS, Rama Vihar",9,1,8,Private,2021-09-05-16-57,1,0,1,1,0,1,75,0,15,7,8,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-09-05-17-06,,,,1,0,1,0,17,18,13,5,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-09-05-15-57,,,,,,,8,22,61,61,0,,,
Deep Chand Bandhu,50,1,49,Delhi Government,2021-09-05-09-16,,,,,,,3,15,10,7,3,,,
Delhi global hospital,3,0,3,Private,2021-09-05-09-56,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-09-05-10-05,1,0,1,2,0,2,3,18,37,12,25,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-09-05-08-46,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-09-05-16-15,,,,5,0,5,1,8,21,20,1,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-09-05-09-25,4,0,4,5,0,5,3,16,5,0,5,1,0,1
Divine Multispeciality Hospital and Cancer Centre,10,0,10,Private,2021-09-05-09-20,,,,8,0,8,,,25,0,25,8,0,8
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",15,0,15,Private,2021-09-05-09-04,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,1,49,Delhi Government,2021-09-05-10-01,,,,12,1,11,4,0,19,12,7,12,1,11
Dr Rakesh Multispeciality Hospital,2,0,2,Private,2021-09-05-08-29,,,,1,0,1,1,0,,,,1,0,1
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",20,0,20,Private,2021-09-05-09-33,,,,,,,1,4,,,,,,
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-09-05-00-10,,,,,,,1,20,5,3,2,,,
ESIC Hospital Jhilmil,20,0,20,Central Government,2021-09-05-09-56,5,0,5,5,0,5,14,8,5,5,0,,,
ESIC hospital Okhla,22,0,22,Central Government,2021-09-05-09-46,,,,2,0,2,10,0,15,6,9,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,2,29,Private,2021-09-05-10-31,5,0,5,8,0,8,2,3,16,13,3,3,0,3
"Fortis Hospital, Shalimar Bagh",26,0,26,Private,2021-09-05-08-42,4,0,4,6,0,6,5,23,72,63,9,2,0,2
"Fortis SS Hospital, Vasant Kunj",64,1,63,Private,2021-09-05-09-31,18,1,17,22,1,21,2,23,33,30,3,4,0,4
"Gandhi Nursing Home, Uttam Nagar",6,0,6,Private,2021-09-05-06-32,1,0,1,2,0,2,1,12,15,0,15,1,0,1
