name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,20,2,Private,2021-05-18-15-50,3,3,0,2,2,0,5,5,0,0,8,,,
AASTHA HOSPITAL,40,22,18,Private,2021-05-18-16-08,8,6,2,2,1,1,10,7,3,0,7,2,1,1
Acharyashree Bhikshu Govt. Hospital,150,38,112,Delhi Government,2021-05-18-16-15,,,,30,14,16,30,14,16,0,18,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,2,10,Private,2021-05-18-10-31,,,,,,,,,,,,,,
AIIMS Jhajjar,400,255,145,Central Government,2021-05-18-09-52,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,173,129,Central Government,2021-05-18-13-20,29,25,4,43,43,0,72,68,4,0,10,72,38,34
"AIIMS, Trauma Delhi",294,278,16,Central Government,2021-05-18-16-55,,,,71,69,2,71,69,2,,,,,
"Akash Healthcare, Dwarka",200,200,0,Private,2021-05-18-17-29,14,14,0,40,40,0,54,54,0,0,14,17,17,0
Alshifa Hospital,50,47,3,Private,2021-05-18-17-18,16,11,5,3,3,0,19,14,5,1,9,,,
Ambedkar Nagar hospital,400,90,310,Delhi Government,2021-05-18-15-14,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,3,7,Private,2021-05-18-16-00,1,1,0,,,,1,1,0,0,13,,,
"Ansari Hospital, Sagarpur",40,23,17,Private,2021-05-18-15-00,3,3,0,2,2,0,5,5,0,0,23,,,
"Apex City Hospital, West Vinod Nagar",28,13,15,Private,2021-05-18-07-33,4,2,2,,,,4,2,2,0,3,4,2,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-18-07-58,,,,3,0,3,3,0,3,1,8,,,
Ardent Ganpati,31,4,27,Private,2021-05-18-13-50,7,4,3,,,,7,4,3,,,,,
ARK Hospital,30,5,25,Private,2021-05-18-11-51,5,3,2,,,,5,3,2,0,4,20,0,20
Arogya Hospital,30,17,13,Private,2021-05-18-10-51,10,7,3,,,,10,7,3,0,23,,,
Arya Hospital,24,7,17,Private,2021-05-18-09-56,8,3,5,2,0,2,10,3,7,1,23,,,
Ashray Medical Centre,12,3,9,Private,2021-05-18-10-52,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-18-09-13,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-05-18-15-53,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",118,100,18,Private,2021-05-18-16-53,23,23,0,7,7,0,30,30,0,0,6,,,
"B.M. Gupta Hospital, Uttam Nagar",70,40,30,Private,2021-05-18-15-32,19,19,0,1,1,0,20,20,0,0,8,,,
Balak Ram Hospital,100,1,99,Delhi Government,2021-05-18-08-03,,,,,,,,,,2,0,,,
"Bansal Global Hospital, Jahangirpuri",60,18,42,Private,2021-05-18-07-40,9,3,6,1,1,0,10,4,6,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,34,6,Private,2021-05-18-07-11,8,6,2,2,2,0,10,8,2,,,,,
Bara Hindurao Hospital,250,176,74,Central Government,2021-05-18-15-25,,,,10,10,0,10,10,0,1,18,,,
Base Hospital Delhi Cantt,500,430,70,Central Government,2021-05-18-10-19,,,,50,45,5,50,45,5,1,12,,,
Batra Hospital,300,163,137,Private,2021-05-18-09-20,18,18,0,20,20,0,38,38,0,0,23,12,12,0
"Bensups Hospital, Dwarka",40,18,22,Private,2021-05-18-16-49,12,12,0,3,1,2,15,13,2,1,5,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-05-18-08-44,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,77,4,Private,2021-05-18-16-00,23,23,0,5,5,0,28,28,0,0,16,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,30,10,Private,2021-05-18-15-32,10,10,0,1,1,0,11,11,0,0,7,,,
"Bhagwati Hospital, Rohini",130,44,86,Private,2021-05-18-14-03,13,13,0,2,2,0,15,15,0,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",36,22,14,Private,2021-05-18-16-44,6,5,1,,,,6,5,1,0,8,,,
Bimla Devi Hospital,27,6,21,Private,2021-05-18-10-55,,,,,,,,,,3,0,6,2,4
"BLK Hospital, Pusa Road",285,213,72,Private,2021-05-18-15-30,50,50,0,25,25,0,75,75,0,1,10,69,61,8
"Brahm Shakti Hospital, Budh Vihar",80,50,30,Private,2021-05-18-16-43,9,6,3,2,2,0,11,8,3,0,8,,,
Burari Hospital,400,139,261,Delhi Government,2021-05-18-17-06,85,85,0,30,30,0,115,115,0,1,3,,,
C M PATEL HOSPITAL,15,6,9,Private,2021-05-18-13-09,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,9,18,Central Government,2021-05-16-12-46,,,,,,,,,,3,23,,,
CAREWELL MEDICAL CENTRE,8,2,6,Private,2021-05-18-08-40,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-05-18-11-46,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,5,35,Private,2021-05-18-13-38,4,2,2,1,1,0,5,3,2,0,14,3,0,3
Central Hospital,31,25,6,Private,2021-05-18-16-46,5,5,0,3,3,0,8,8,0,0,3,,,
Covid care and treatment centre Gurdwara Rakab ganj,250,74,176,Delhi Government,2021-05-18-15-51,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,62,738,Delhi Government,2021-05-18-12-43,,,,,,,,,,16,7,,,
"Covid Care Center- Sardar Patel, Chattrpur",500,229,271,Delhi Government,2021-05-18-09-48,,,,,,,,,,1,16,,,
Covid Care Center -CWG AKSHARDHAM,460,61,399,Delhi Government,2021-05-18-09-01,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,18,13,5,Private,2021-05-18-17-28,5,5,0,,,,5,5,0,1,8,,,
"Cygnus MLS, Rama Vihar",60,41,19,Private,2021-05-18-16-28,19,19,0,5,5,0,24,24,0,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,45,23,Private,2021-05-18-13-34,26,18,8,5,4,1,31,22,9,0,12,8,8,0
Deen Dayal Upadhyay hospital,500,344,156,Delhi Government,2021-05-18-17-09,200,169,31,50,49,1,250,218,32,0,13,33,22,11
Deep Chand Bandhu,250,153,97,Delhi Government,2021-05-18-16-11,95,95,0,25,25,0,120,120,0,0,10,,,
Delhi global hospital,14,4,10,Private,2021-05-18-10-39,,,,,,,,,,1,23,,,
Delhi Golden Hospital,15,0,15,Private,2021-05-18-10-25,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,68,5,Private,2021-05-18-14-45,22,22,0,5,5,0,27,27,0,0,13,12,12,0
Delhi multi speciality hospital,11,1,10,Private,2021-05-18-09-06,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,63,97,Private,2021-05-18-16-14,13,13,0,5,5,0,18,18,0,0,23,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,19,15,Private,2021-05-18-17-01,9,8,1,2,2,0,11,10,1,0,8,,,
Divine Multispeciality Hospital and Cancer Centre,35,18,17,Private,2021-05-18-14-00,24,12,12,6,6,0,30,18,12,0,12,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",85,48,37,Private,2021-05-18-10-07,10,10,0,2,2,0,12,12,0,1,12,,,
Dr Baba Saheb Ambedkar Hospital,400,312,88,Delhi Government,2021-05-18-15-07,170,138,32,30,30,0,200,168,32,1,7,,,
Dr Rakesh Multispeciality Hospital,15,10,5,Private,2021-05-18-09-47,5,5,0,1,1,0,6,6,0,1,0,,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,3,33,Private,2021-05-18-17-10,,,,,,,,,,2,0,,,
East Delhi Medical Centre Mansarover Park,40,25,15,Private,2021-05-18-11-06,10,7,3,,,,10,7,3,0,12,,,
Eden Hospital,16,4,12,Private,2021-05-18-13-14,,,,,,,,,,0,23,,,
Ekansh Hospital,8,2,6,Private,2021-05-18-13-32,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,65,23,42,Central Government,2021-05-18-09-24,,,,5,5,0,5,5,0,3,0,,,
ESIC hospital Okhla,233,124,109,Central Government,2021-05-18-14-47,,,,10,10,0,10,10,0,1,0,,,
"Fortis Escorts Heart Institute, Okhla",112,84,28,Private,2021-05-18-16-03,55,55,0,5,5,0,60,60,0,2,10,16,11,5
"Fortis Hospital, Shalimar Bagh",230,165,65,Private,2021-05-18-13-15,33,33,0,27,27,0,60,60,0,0,23,8,8,0
"Fortis SS Hospital, Vasant Kunj",106,94,12,Private,2021-05-18-15-19,8,8,0,12,12,0,20,20,0,1,23,,,
"Gandhi Nursing Home, Uttam Nagar",80,60,20,Private,2021-05-18-17-14,24,22,2,1,1,0,25,23,2,1,9,8,8,0
"Garg Hospital, Karkardooma",36,14,22,Private,2021-05-18-16-26,4,3,1,,,,4,3,1,0,10,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",70,60,10,Private,2021-05-18-16-33,12,12,0,5,5,0,17,17,0,1,14,8,8,0
"Goyal Hospital, Paschim Vihar",24,12,12,Private,2021-05-18-13-48,7,4,3,,,,7,4,3,0,6,,,
GTB Hospital,1150,513,637,Delhi Government,2021-05-18-16-06,602,358,244,198,128,70,800,486,314,0,18,,,
