name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-11-20-10,8,8,0,2,2,0,2,2,0,10,10,0,0,7
Acharyashree Bhikshu Govt. Hospital,130,53,77,Delhi Government,2021-05-11-18-27,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,400,376,24,Central Government,2021-05-11-18-41,,,,,,,100,100,0,100,100,0,0,9
AIIMS Main Delhi,301,212,89,Central Government,2021-05-11-17-31,72,67,5,72,39,33,,,,72,67,5,0,13
"AIIMS, Trauma Delhi",294,290,4,Central Government,2021-05-11-16-45,,,,,,,71,69,2,71,69,2,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-11-17-07,14,14,0,17,17,0,40,40,0,54,54,0,0,14
Alshifa Hospital,47,46,1,Private,2021-05-11-11-31,16,16,0,,,,3,3,0,19,19,0,1,13
Ambedkar Nagar hospital,300,240,60,Delhi Government,2021-05-11-18-32,20,20,0,,,,,,,20,20,0,1,0
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-11-19-58,1,0,1,,,,,,,1,0,1,0,14
"Ansari Hospital, Sagarpur",40,24,16,Private,2021-05-11-19-45,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-11-11-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-11-16-36,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,14,17,Private,2021-05-11-17-42,7,7,0,,,,,,,7,7,0,,
ARK Hospital,30,8,22,Private,2021-05-11-14-40,5,2,3,20,0,20,,,,5,2,3,1,6
Arogya Hospital,30,24,6,Private,2021-05-11-10-18,10,10,0,,,,,,,10,10,0,0,15
Arya Hospital,24,24,0,Private,2021-05-11-18-54,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-11-17-50,,,,,,,,,,,,,,
Astha Hospital,10,2,8,Private,2021-05-11-15-19,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-11-18-56,23,23,0,,,,7,7,0,30,30,0,0,4
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-11-17-22,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",60,40,20,Private,2021-05-11-17-55,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-11-07-30,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,235,15,Central Government,2021-05-11-14-56,,,,,,,10,10,0,10,10,0,2,2
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-11-07-16,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,250,10,Private,2021-05-11-18-00,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,27,13,Private,2021-05-11-19-32,12,12,0,,,,3,3,0,15,15,0,0,20
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-11-10-59,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-11-18-02,23,23,0,,,,5,5,0,28,28,0,0,8
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-11-17-24,10,10,0,,,,1,1,0,11,11,0,0,10
"Bhagwati Hospital, Rohini",130,72,58,Private,2021-05-11-18-12,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,32,4,Private,2021-05-11-19-21,10,10,0,,,,,,,10,10,0,0,7
Bimla Devi Hospital,27,23,4,Private,2021-05-11-20-11,,,,6,6,0,,,,,,,1,0
"BLK Hospital, Pusa Road",285,240,45,Private,2021-05-11-19-25,68,68,0,69,60,9,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,73,7,Private,2021-05-11-17-22,10,10,0,,,,1,1,0,11,11,0,1,0
Burari Hospital,370,236,134,Delhi Government,2021-05-11-08-27,40,40,0,,,,30,30,0,70,70,0,0,20
C M PATEL HOSPITAL,15,7,8,Private,2021-05-11-17-16,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-11-10-31,,,,,,,,,,,,,0,10
CBR Hospital,25,18,7,Private,2021-05-11-14-24,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,19,21,Private,2021-05-11-20-32,8,8,0,,,,1,1,0,9,9,0,18,0
Central Hospital,31,31,0,Private,2021-05-11-18-42,4,4,0,,,,4,4,0,8,8,0,0,3
Cronus Multi speciality Hospital,12,11,1,Private,2021-05-11-19-03,2,2,0,,,,,,,2,2,0,1,4
"Cygnus MLS, Rama Vihar",70,70,0,Private,2021-05-11-14-22,19,19,0,,,,5,5,0,24,24,0,0,3
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-11-18-12,26,26,0,,,,5,5,0,31,31,0,0,3
Deen Dayal Upadhyay hospital,500,385,115,Delhi Government,2021-05-11-18-23,150,150,0,33,22,11,50,50,0,200,200,0,0,17
Deep Chand Bandhu,230,196,34,Delhi Government,2021-05-11-20-01,67,67,0,,,,14,14,0,81,81,0,0,10
Delhi global hospital,14,6,8,Private,2021-05-11-18-38,,,,,,,,,,,,,1,23
Delhi Golden Hospital,15,0,15,Private,2021-05-11-18-59,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-11-20-28,22,22,0,12,12,0,5,5,0,27,27,0,0,9
Delhi multi speciality hospital,11,3,8,Private,2021-05-11-19-07,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,100,60,Private,2021-05-11-19-22,15,15,0,5,5,0,3,3,0,18,18,0,0,22
"Dharamvir Solanki Hospital, Rohini",24,22,2,Private,2021-05-11-19-38,10,10,0,,,,1,1,0,11,11,0,0,6
Divine Multispeciality Hospital and Cancer Centre,35,29,6,Private,2021-05-11-13-41,23,22,1,,,,7,7,0,30,29,1,0,9
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-05-11-17-43,10,10,0,,,,2,2,0,12,12,0,1,10
Dr Baba Saheb Ambedkar Hospital,400,360,40,Delhi Government,2021-05-11-19-11,170,170,0,,,,30,30,0,200,200,0,1,6
Dr Rakesh Multispeciality Hospital,15,12,3,Private,2021-05-11-10-27,5,5,0,,,,1,1,0,6,6,0,1,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,22,14,Private,2021-05-11-20-15,,,,,,,,,,,,,0,22
East Delhi Medical Centre Mansarover Park,40,35,5,Private,2021-05-11-18-53,10,10,0,,,,,,,10,10,0,0,6
Ekansh Hospital,8,2,6,Private,2021-05-11-13-28,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,55,44,11,Central Government,2021-05-11-14-34,,,,,,,5,5,0,5,5,0,1,0
ESIC hospital Okhla,233,173,60,Central Government,2021-05-11-19-27,,,,,,,10,10,0,10,10,0,0,20
"Fortis Escorts Heart Institute, Okhla",112,112,0,Private,2021-05-11-18-47,55,55,0,16,11,5,5,5,0,60,60,0,1,16
"Fortis Hospital, Shalimar Bagh",230,230,0,Private,2021-05-11-17-38,33,33,0,8,8,0,27,27,0,60,60,0,0,18
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-05-11-18-56,8,8,0,,,,12,12,0,20,20,0,1,23
"Gandhi Nursing Home, Uttam Nagar",92,92,0,Private,2021-05-11-16-51,35,35,0,8,8,0,1,1,0,36,36,0,1,8
"Garg Hospital, Karkardooma",36,22,14,Private,2021-05-11-19-21,4,4,0,,,,,,,4,4,0,0,6
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-05-11-13-43,12,12,0,8,8,0,5,5,0,17,17,0,1,18
"Goyal Hospital, Paschim Vihar",24,22,2,Private,2021-05-11-17-40,7,7,0,,,,,,,7,7,0,0,4
GTB Hospital,750,615,135,Delhi Government,2021-05-11-20-22,272,272,0,,,,128,128,0,400,400,0,1,10
Gupta Multispecialty Hospital,14,5,9,Private,2021-05-11-12-47,,,,,,,,,,,,,1,0
"Gupta Multispecialty Hospital, Vivek Vihar",50,50,0,Private,2021-05-11-20-33,6,6,0,,,,,,,6,6,0,0,8
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,43,155,Delhi Government,2021-05-11-20-24,,,,,,,,,,,,,2,0
"HAHC Hospital, Hamdard Nagar",376,86,290,Private,2021-05-11-16-46,15,15,0,6,1,5,10,10,0,25,25,0,0,4
HANDA NURSING HOME,12,6,6,Private,2021-05-11-18-59,,,,,,,,,,,,,1,10
Hardik Hospital,10,2,8,Private,2021-05-11-15-00,,,,,,,,,,,,,2,8
Highland Care Multispeciality Hospital,30,14,16,Private,2021-05-11-17-38,3,3,0,,,,2,2,0,5,5,0,,
Hira’s Multispeciality Hospital,15,3,12,Private,2021-05-11-09-36,,,,,,,,,,,,,0,10
"Holy Family Hospital, Okhla",385,385,0,Private,2021-05-11-17-45,10,10,0,18,18,0,44,44,0,54,54,0,0,5
"IBS Hospital, Lajpat Nagar",39,37,2,Private,2021-05-11-18-09,10,10,0,,,,3,3,0,13,13,0,0,3
"Indian spinal injury centre,Vasant Kunj",177,177,0,Private,2021-05-11-17-49,10,10,0,12,12,0,4,4,0,14,14,0,0,7
"Indira Gandhi Hospital, Dwarka",150,4,146,Delhi Government,2021-05-11-17-57,,,,,,,,,,,,,1,23
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",470,470,0,Private,2021-05-11-20-11,88,88,0,65,65,0,12,12,0,100,100,0,0,20
"Irene Hospital, Kalkaji",35,35,0,Private,2021-05-11-11-28,5,5,0,,,,2,2,0,7,7,0,0,2
"Ishan Hospital, Rohini",13,13,0,Private,2021-05-11-19-31,5,5,0,,,,,,,5,5,0,0,12
"Jain Hospital, Vikas Marg Extn.",42,36,6,Private,2021-05-11-19-08,13,13,0,2,2,0,,,,13,13,0,0,10
"Jaipur Golden Hospital, Rohini",220,220,0,Private,2021-05-11-19-28,50,50,0,10,10,0,15,15,0,65,65,0,0,16
Janakpuri Super Speciality Hospital Society,35,35,0,Delhi Government,2021-05-11-17-54,18,18,0,,,,,,,18,18,0,1,6
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,46,14,Private,2021-05-11-18-50,8,8,0,,,,2,2,0,10,10,0,0,8
"Jeewan Mala Hospital, Rohtak Road",60,60,0,Private,2021-05-11-17-11,28,28,0,6,6,0,8,8,0,36,36,0,0,12
"Jeewan Moti Khera Hospital, Nangloi",30,9,21,Private,2021-05-11-20-30,4,4,0,,,,1,1,0,5,5,0,1,23
"Jeewan Nursing Home, Gate No. 2",16,16,0,Private,2021-05-05-11-04,,,,2,2,0,,,,,,,0,12
"Jeewan Nursing Home, Pusa Road",37,34,3,Private,2021-05-11-20-00,7,7,0,7,7,0,,,,7,7,0,0,4
Jyoti Nursing Home,22,12,10,Private,2021-05-11-18-05,,,,,,,,,,,,,1,14
K K Surgical & Maternity Centre,40,0,40,Private,2021-05-11-10-03,,,,,,,,,,,,,,
"Kalra Hospital, Dwarka",30,23,7,Private,2021-05-11-18-45,,,,6,0,6,,,,,,,0,7
"Kalra Hospital, Kirti Nagar",93,93,0,Private,2021-05-11-17-58,29,29,0,29,29,0,3,3,0,32,32,0,0,4
Kalyani Hospital,35,35,0,Private,2021-05-11-15-17,8,8,0,,,,1,1,0,9,9,0,2,6
"Kapil Multispecialty Hospital, Nathupura",40,32,8,Private,2021-05-11-18-16,4,4,0,,,,1,1,0,5,5,0,1,0
KAPOOR MEDICAL CENTRE,19,13,6,Private,2021-05-11-11-47,,,,,,,,,,,,,0,23
Khandelwal Hospital And Urology Center,30,21,9,Private,2021-05-11-17-19,6,6,0,,,,,,,6,6,0,0,8
khanna hospital,50,24,26,Private,2021-05-11-11-29,6,6,0,,,,1,1,0,7,7,0,0,6
"Konark Hospital, Nangloi",43,22,21,Private,2021-05-11-18-27,,,,16,16,0,,,,,,,1,4
"Kosmos Super Specialty Hospital, Vikas Marg Extn.",26,24,2,Private,2021-05-11-19-02,6,6,0,,,,,,,6,6,0,0,5
"Kukreja Hospital and Heart Centre, Rajouri Garden",96,72,24,Private,2021-05-11-17-48,26,26,0,10,10,0,,,,26,26,0,0,18
"Kukreja Hospital, Mayur Vihar",27,16,11,Private,2021-05-11-12-36,5,4,1,,,,,,,5,4,1,0,7
"Lalita Hospital, Begumpur",40,39,1,Private,2021-05-11-10-41,3,3,0,,,,1,1,0,4,4,0,,
LHMC,370,323,47,Central Government,2021-05-11-16-05,34,34,0,27,22,5,16,16,0,50,50,0,1,0
Life RAYS HOSPITAL,12,4,8,Private,2021-05-11-11-58,,,,,,,,,,,,,2,20
Lifeline Hospital,50,33,17,Private,2021-05-11-17-57,5,3,2,,,,2,1,1,7,4,3,0,18
Lok Nayak Hospital,1500,971,529,Delhi Government,2021-05-11-19-39,250,250,0,,,,250,250,0,500,500,0,0,11
"Madhukar Rainbow Children Hosp., Malviya Nagar",71,32,39,Private,2021-05-11-19-37,24,18,6,26,14,12,2,2,0,26,20,6,0,2
Maha Durga Charitable Trust Hospital,160,130,30,Private,2021-05-11-10-21,24,24,0,,,,6,6,0,30,30,0,1,0
"Maharaja Agarsain Multispecialty Hospital, Narela",35,24,11,Private,2021-05-11-16-45,4,4,0,,,,,,,4,4,0,2,5
"Maharaja Agrasen Hospital, Dwarka",47,47,0,Private,2021-05-11-18-54,,,,4,4,0,12,12,0,12,12,0,0,16
