name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-06-22-09-03,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,1,4,Private,2021-06-23-09-21,1,1,0,1,1,0,2,0,5,2,3,,,
Ace Hospital,6,0,6,Private,2021-06-02-15-13,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-06-23-09-18,,,,,,,6,0,,,,,,
AIIMS Main Delhi,26,13,13,Central Government,2021-06-23-10-02,,,,,,,4,8,108,92,16,,,
"AIIMS, Trauma Delhi",21,1,20,Central Government,2021-06-23-16-49,,,,21,1,20,,,,,,21,1,20
"Akash Healthcare, Dwarka",20,0,20,Private,2021-06-23-09-33,8,0,8,10,0,10,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-06-23-10-28,3,0,3,5,0,5,12,0,11,3,8,2,0,2
Ambedkar Nagar hospital,200,2,198,Delhi Government,2021-06-23-16-45,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-06-23-09-32,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-06-23-07-40,3,0,3,3,0,3,1,23,5,2,3,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-06-23-09-29,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-06-23-13-28,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-06-23-15-34,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-06-23-12-02,,,,,,,,,,,,,,
