name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-08-09-22,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,19,1,18,Private,2021-02-08-17-27,4,0,4,5,0,5,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-08-06-16,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-02-08-09-21,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,90,15,75,Central Government,2021-02-08-16-37,,,,15,10,5,5,12,93,74,19,15,10,5
"AIIMS, Trauma Delhi",265,134,131,Central Government,2021-02-08-16-54,,,,71,67,4,,,,,,71,67,4
"Akash Healthcare, Dwarka",79,7,72,Private,2021-02-08-17-31,14,2,12,24,4,20,0,16,44,39,5,10,2,8
Alshifa Hospital,18,0,18,Private,2021-02-08-10-01,4,0,4,6,0,6,7,0,11,4,7,2,0,2
Ambedkar Nagar hospital,300,1,299,Delhi Government,2021-02-08-17-27,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-08-10-21,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-08-16-30,5,0,5,5,0,5,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-08-09-44,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arogya Hospital,4,0,4,Private,2021-02-08-10-26,,,,,,,0,21,4,2,2,,,
Arya Hospital,24,1,23,Private,2021-02-08-07-12,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-02-08-13-10,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-02-08-10-40,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",41,16,25,Private,2021-02-08-01-15,8,2,6,10,3,7,0,18,20,15,5,2,1,1
"B.M. Gupta Hospital, Uttam Nagar",40,1,39,Private,2021-02-08-16-44,2,0,2,3,0,3,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,2,18,Private,2021-02-08-11-00,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-02-08-07-09,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,4,246,Central Government,2021-02-08-09-52,,,,14,1,13,5,5,8,5,3,14,1,13
Base Hospital Delhi Cantt,500,129,371,Central Government,2021-02-08-06-52,,,,50,8,42,2,12,,,,50,8,42
Batra Hospital,200,6,194,Private,2021-02-08-09-47,39,5,34,44,6,38,0,23,66,50,16,5,1,4
