name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-05-10-42,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,104,4,Delhi Government,2021-05-05-08-20,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,489,489,0,Central Government,2021-05-05-08-57,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,241,193,48,Central Government,2021-05-05-11-02,57,53,4,86,45,41,,,,57,53,4
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-05-05-06-04,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-05-12-11,16,16,0,17,17,0,38,38,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-05-09-56,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-05-07-36,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-05-07-07,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-05-07-29,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,12,29,Private,2021-05-05-12-16,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-05-11-34,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-05-07-03,23,23,0,,,,7,7,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-05-07-34,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,28,15,Private,2021-05-05-11-25,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-05-12-30,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-05-09-29,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-05-04-07-30,,,,,,,50,50,0,50,50,0
Batra Hospital,265,265,0,Private,2021-05-05-09-48,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,24,16,Private,2021-05-05-08-23,12,12,0,,,,3,3,0,15,15,0
BH SALVAS HOSPITAL,40,16,24,Private,2021-05-03-19-12,7,4,3,5,0,5,1,1,0,8,5,3
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-05-07-19,23,23,0,,,,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",45,45,0,Private,2021-05-05-07-52,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",105,75,30,Private,2021-05-05-10-06,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",36,36,0,Private,2021-05-05-07-23,8,8,0,,,,,,,8,8,0
Bimla Devi Hospital,27,25,2,Private,2021-05-05-09-54,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",270,219,51,Private,2021-05-05-07-42,68,68,0,69,43,26,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-05-05-10-25,10,10,0,,,,1,1,0,11,11,0
Burari Hospital,370,370,0,Delhi Government,2021-05-05-08-43,40,40,0,,,,30,30,0,70,70,0
C M PATEL HOSPITAL,15,15,0,Private,2021-05-05-11-41,,,,,,,,,,,,
CBR Hospital,25,18,7,Private,2021-05-05-11-57,2,2,0,,,,1,1,0,3,3,0
"CD Global Hospital, Najafgarh Road",40,20,20,Private,2021-05-05-10-22,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-05-05-10-42,2,2,0,,,,,,,2,2,0
"Cygnus MLS, Rama Vihar",56,56,0,Private,2021-05-05-10-50,7,7,0,,,,5,5,0,12,12,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-05-12-21,26,26,0,,,,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,325,305,20,Delhi Government,2021-05-05-11-51,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-05-05-10-22,67,67,0,,,,14,14,0,81,81,0
Delhi global hospital,14,4,10,Private,2021-05-05-11-27,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-05-11-18,24,24,0,12,12,0,3,3,0,27,27,0
Delhi multi speciality hospital,11,5,6,Private,2021-05-05-06-29,,,,,,,,,,,,
