name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-27-12-42,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-27-13-08,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,557,557,0,Central Government,2021-04-27-08-55,,,,,,,40,40,0,40,40,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-26-15-49,,,,86,31,55,,,,,,
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-04-27-06-05,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",233,233,0,Private,2021-04-27-06-49,41,41,0,17,17,0,10,10,0,51,51,0
Alshifa Hospital,36,36,0,Private,2021-04-27-12-39,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-27-11-45,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-27-07-14,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-27-07-13,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,17,24,Private,2021-04-27-09-20,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-27-11-47,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-27-07-47,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-27-07-56,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-27-11-22,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-27-09-07,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,340,340,0,Central Government,2021-04-27-06-45,,,,17,8,9,12,12,0,12,12,0
Batra Hospital,270,270,0,Private,2021-04-27-08-49,28,28,0,12,12,0,10,10,0,38,38,0
"Bensups Hospital, Dwarka",40,21,19,Private,2021-04-27-07-30,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-27-07-30,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",50,50,0,Private,2021-04-27-10-19,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",90,90,0,Private,2021-04-27-09-28,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",44,44,0,Private,2021-04-27-07-05,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,23,23,0,Private,2021-04-27-11-24,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",358,269,89,Private,2021-04-27-07-29,68,68,0,69,57,12,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-27-10-46,17,17,0,,,,1,1,0,18,18,0
Burari Hospital,320,320,0,Delhi Government,2021-04-27-12-00,20,20,0,,,,30,30,0,50,50,0
"CD Global Hospital, Najafgarh Road",40,38,2,Private,2021-04-27-10-29,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-27-10-54,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-27-13-02,1,1,0,6,6,0,5,5,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",56,56,0,Private,2021-04-27-12-35,14,14,0,18,18,0,5,5,0,19,19,0
Deen Dayal Upadhyay hospital,300,300,0,Delhi Government,2021-04-27-11-14,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-04-27-09-42,67,67,0,,,,14,14,0,81,81,0
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-27-09-47,24,24,0,12,12,0,3,3,0,27,27,0
"Dharamshila Narayana Hosp., Vasundhra Enclave",142,140,2,Private,2021-04-27-09-59,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",16,16,0,Private,2021-04-27-10-35,7,7,0,,,,1,1,0,8,8,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-04-27-11-17,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,317,317,0,Delhi Government,2021-04-27-11-58,32,32,0,12,12,0,30,30,0,62,62,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-27-12-19,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,42,42,0,Private,2021-04-27-11-20,10,10,0,,,,,,,10,10,0
ESIC Hospital Jhilmil,100,57,43,Central Government,2021-04-27-10-51,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,220,220,0,Central Government,2021-04-27-11-42,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",102,102,0,Private,2021-04-27-11-33,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",229,229,0,Private,2021-04-27-09-47,38,38,0,8,8,0,22,22,0,60,60,0
