name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-10-14-06,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,66,64,Delhi Government,2021-05-10-14-31,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,416,416,0,Central Government,2021-05-10-08-39,,,,,,,100,100,0,100,100,0,0,14
AIIMS Main Delhi,300,201,99,Central Government,2021-05-10-13-35,72,67,5,72,35,37,,,,72,67,5,0,8
"AIIMS, Trauma Delhi",294,291,3,Central Government,2021-05-10-05-59,,,,,,,71,70,1,71,70,1,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-10-12-39,16,16,0,17,17,0,38,38,0,54,54,0,0,6
Alshifa Hospital,43,43,0,Private,2021-05-10-12-34,16,16,0,,,,3,3,0,19,19,0,1,14
Ambedkar Nagar hospital,300,275,25,Delhi Government,2021-05-10-13-01,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-10-12-24,1,0,1,,,,,,,1,0,1,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-10-12-30,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-10-07-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-10-07-54,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,15,16,Private,2021-05-10-12-18,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,20,10,Private,2021-05-10-10-51,10,10,0,,,,,,,10,10,0,0,16
Arya Hospital,24,24,0,Private,2021-05-10-08-44,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,2,13,Private,2021-05-10-10-28,,,,,,,,,,,,,1,16
Astha Hospital,10,0,10,Private,2021-05-10-09-29,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-10-13-49,23,23,0,,,,7,7,0,30,30,0,0,8
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-10-14-14,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",43,29,14,Private,2021-05-10-09-40,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-10-10-37,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,242,8,Central Government,2021-05-10-09-51,,,,,,,10,10,0,10,10,0,2,0
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-10-06-09,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,260,0,Private,2021-05-10-14-21,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,34,6,Private,2021-05-10-12-06,12,12,0,,,,3,3,0,15,15,0,0,10
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-10-10-03,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-10-06-37,23,23,0,,,,5,5,0,28,28,0,1,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-10-14-29,10,10,0,,,,1,1,0,11,11,0,0,6
"Bhagwati Hospital, Rohini",130,72,58,Private,2021-05-10-12-42,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,35,1,Private,2021-05-10-13-35,8,8,0,,,,,,,8,8,0,0,5
Bimla Devi Hospital,27,24,3,Private,2021-05-10-10-56,,,,6,6,0,,,,,,,0,12
"BLK Hospital, Pusa Road",285,246,39,Private,2021-05-10-13-22,68,68,0,69,58,11,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,72,8,Private,2021-05-10-13-21,10,10,0,,,,1,1,0,11,11,0,0,4
Burari Hospital,370,274,96,Delhi Government,2021-05-10-08-47,40,40,0,,,,30,30,0,70,70,0,0,9
C M PATEL HOSPITAL,15,5,10,Private,2021-05-08-15-51,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-08-15-57,,,,,,,,,,,,,0,15
CBR Hospital,25,18,7,Private,2021-05-10-11-15,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,23,17,Private,2021-05-10-13-16,8,8,0,,,,1,1,0,9,9,0,0,16
Central Hospital,31,26,5,Private,2021-05-10-13-26,4,4,0,,,,4,4,0,8,8,0,0,3
Cronus Multi speciality Hospital,12,12,0,Private,2021-05-10-11-23,2,2,0,,,,,,,2,2,0,1,7
"Cygnus MLS, Rama Vihar",68,68,0,Private,2021-05-10-14-07,19,19,0,,,,5,5,0,24,24,0,0,3
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-10-14-13,26,26,0,,,,5,5,0,31,31,0,0,4
Deen Dayal Upadhyay hospital,400,390,10,Delhi Government,2021-05-10-12-25,130,130,0,33,22,11,50,50,0,180,180,0,0,4
Deep Chand Bandhu,230,220,10,Delhi Government,2021-05-10-14-10,67,67,0,,,,14,14,0,81,81,0,0,6
Delhi global hospital,14,6,8,Private,2021-05-10-10-35,,,,,,,,,,,,,1,18
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-10-14-28,24,24,0,12,12,0,3,3,0,27,27,0,,
Delhi multi speciality hospital,11,3,8,Private,2021-05-10-06-45,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",159,101,58,Private,2021-05-10-13-21,11,11,0,23,10,13,3,3,0,14,14,0,0,16
