name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-08-10-32,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-09-14-12,8,0,8,2,2,0,2,0,2,10,0,10,,
Ace Hospital,30,0,30,Private,2021-07-09-11-17,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-09-16-50,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-09-09-04,,,,,,,,,,,,,7,0
AIIMS Jhajjar,400,43,357,Central Government,2021-07-09-09-09,,,,,,,100,43,57,100,43,57,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-09-16-51,,,,87,72,15,,,,,,,3,21
"AIIMS, Trauma Delhi",294,64,230,Central Government,2021-07-09-16-55,,,,,,,71,31,40,71,31,40,,
"Akash Healthcare, Dwarka",133,1,132,Private,2021-07-09-17-26,14,1,13,17,17,0,40,0,40,54,1,53,0,13
All India Institute of Ayurveda,47,0,47, ,2021-07-09-07-39,,,,,,,,,,,,,7,0
Alshifa Hospital,49,21,28,Private,2021-07-09-10-21,23,4,19,,,,4,2,2,27,6,21,8,0
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-09-17-24,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-09-16-57,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-09-12-44,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-07-08-07-39,4,0,4,4,0,4,,,,4,0,4,1,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-07-09-11-43,,,,,,,3,0,3,3,0,3,1,20
Ardent Ganpati,31,0,31,Private,2021-07-09-15-41,7,0,7,,,,,,,7,0,7,,
ARK Hospital,30,0,30,Private,2021-07-09-08-14,5,0,5,,,,,,,5,0,5,0,6
Arogya Hospital,6,0,6,Private,2021-07-09-10-53,6,0,6,4,3,1,,,,6,0,6,0,20
Arya Hospital,24,0,24,Private,2021-07-09-11-46,8,0,8,14,0,14,2,0,2,10,0,10,4,0
Ashray Medical Centre,12,0,12,Private,2021-07-09-11-18,2,0,2,,,,,,,2,0,2,1,23
Asian Multispeciality Hospital,15,0,15,Private,2021-07-09-08-32,,,,,,,,,,,,,4,0
Astha Hospital,10,0,10,Private,2021-07-09-13-47,,,,,,,,,,,,,2,18
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-09-09-58,18,0,18,20,20,0,2,0,2,20,0,20,0,23
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-09-16-13,7,0,7,,,,1,0,1,8,0,8,0,23
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-09-08-08,,,,,,,,,,,,,,
