name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-12-27-09-03,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-12-27-17-16,1,0,1,1,0,1,2,0,5,2,3,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-12-27-13-13,,,,5,0,5,12,0,,,,5,0,5
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-12-27-08-44,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
"AIIMS, Trauma Delhi",21,5,16,Central Government,2021-12-27-16-52,,,,21,5,16,,,,,,21,5,16
"Akash Healthcare, Dwarka",20,0,20,Private,2021-12-27-07-21,10,0,10,10,0,10,0,16,58,0,58,,,
All India Institute of Ayurveda,10,0,10, ,2021-12-27-09-59,,,,,,,7,0,,,,,,
Alshifa Hospital,18,0,18,Private,2021-12-27-09-31,4,0,4,6,0,6,11,0,11,6,5,2,0,2
Ambedkar Nagar hospital,135,0,135,Delhi Government,2021-12-27-16-29,,,,,,,1,0,,,,,,
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-12-27-09-17,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-12-27-12-11,,,,,,,1,23,5,4,1,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-12-27-08-10,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-12-27-09-49,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-12-27-12-03,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-12-27-13-19,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-12-27-05-19,18,0,18,20,0,20,0,23,20,20,0,2,0,2
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-12-27-15-11,1,0,1,2,0,2,0,23,,,,1,0,1
Balak Ram Hospital,25,0,25,Delhi Government,2021-12-27-09-54,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,3,247,Central Government,2021-12-27-10-14,,,,14,0,14,6,4,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,35,465,Central Government,2021-12-27-07-01,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,12,38,Private,2021-12-27-09-29,3,0,3,8,0,8,0,23,102,44,58,5,0,5
"Bensups Hospital, Dwarka",30,0,30,Private,2021-12-27-09-09,22,0,22,25,0,25,5,10,,,,3,0,3
BH SALVAS HOSPITAL,10,0,10,Private,2021-12-27-11-31,2,0,2,3,0,3,0,20,10,0,10,1,0,1
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-12-27-15-20,1,0,1,2,0,2,0,10,18,12,6,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-12-27-16-15,1,0,1,1,0,1,6,12,5,2,3,,,
Bimla Devi Hospital,10,0,10,Private,2021-12-27-08-05,,,,,,,4,0,6,0,6,,,
"BLK Hospital, Pusa Road",44,4,40,Private,2021-12-27-15-40,6,0,6,9,1,8,6,0,90,90,0,3,1,2
"Brahm Shakti Hospital, Budh Vihar",10,0,10,Private,2021-12-27-14-51,,,,1,0,1,2,12,19,7,12,1,0,1
Burari Hospital,200,0,200,Delhi Government,2021-12-27-00-32,40,0,40,70,0,70,7,12,30,0,30,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-12-27-11-20,,,,,,,2,23,,,,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,7,0,,,,,,
