name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-22-16-36,8,8,0,2,2,0,2,2,0,10,10,0
ACHARYASHREE BHIKSHU GOVT. HOSPITAL,108,105,3,Delhi Government,2021-04-22-13-15,13,13,0,,,,,,,13,13,0
AIIMS JHAJJAR,590,590,0,Central Government,2021-04-22-08-49,,,,,,,25,25,0,25,25,0
AIIMS MAIN DELHI,33,33,0,Central Government,2021-04-22-09-02,,,,86,47,39,,,,,,
"AIIMS, TRAUMA DELHI",266,255,11,Central Government,2021-04-22-16-53,,,,,,,71,70,1,71,70,1
"AKASH HEALTHCARE, DWARKA",233,233,0,Private,2021-04-22-16-26,41,41,0,17,17,0,10,10,0,51,51,0
ALL,20347,18298,2049,,"04:58 PM, 22 April 2021",3226,3214,12,1148,889,259,1458,1452,6,4684,4666,18
AMBEDKAR NAGAR HOSPITAL,280,214,66,Delhi Government,2021-04-22-14-59,20,20,0,,,,,,,20,20,0
"ANSARI HOSPITAL, SAGARPUR",40,40,0,Private,2021-04-22-06-53,3,3,0,,,,2,2,0,5,5,0
"APEX CITY HOSPITAL, WEST VINOD NAGAR",28,28,0,Private,2021-04-22-16-23,4,4,0,4,4,0,,,,4,4,0
ARDENT GANPATI,41,21,20,Private,2021-04-22-10-26,4,4,0,,,,,,,4,4,0
"AYUSHMAN HOSPITAL, DWARKA",118,118,0,Private,2021-04-22-09-40,27,27,0,,,,3,3,0,30,30,0
"B.M. GUPTA HOSPITAL, UTTAM NAGAR",60,60,0,Private,2021-04-22-15-37,19,19,0,,,,1,1,0,20,20,0
"BANSAL GLOBAL HOSPITAL, JAHANGIRPURI",43,43,0,Private,2021-04-22-09-56,9,9,0,1,0,1,1,1,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-16-53,8,8,0,2,2,0,2,2,0,10,10,0
BARA HINDURAO HOSPITAL,210,208,2,Central Government,2021-04-22-14-45,,,,,,,10,10,0,10,10,0
BASE HOSPITAL DELHI CANTT,340,307,33,Central Government,2021-04-22-06-41,,,,17,8,9,12,9,3,12,9,3
BATRA HOSPITAL,270,270,0,Private,2021-04-22-12-49,28,28,0,12,12,0,10,10,0,38,38,0
"BENSUPS HOSPITAL, DWARKA",40,32,8,Private,2021-04-22-08-11,12,12,0,,,,3,3,0,15,15,0
"BHAGAT CHANDRA HOSPITAL, MAHAVIR ENCLAVE, DWARKA",81,81,0,Private,2021-04-22-00-58,23,23,0,9,9,0,5,5,0,28,28,0
"BHAGWAN MAHAVIR HOSPITAL, MADHUBAN CHOWK",40,40,0,Private,2021-04-22-07-55,10,10,0,,,,1,1,0,11,11,0
"BHAGWATI HOSPITAL, ROHINI",90,90,0,Private,2021-04-22-14-31,13,13,0,,,,2,2,0,15,15,0
"BHATIA GLOBAL HOSPITAL, PASCHIM VIHAR",42,42,0,Private,2021-04-22-16-13,6,6,0,,,,,,,6,6,0
"BLK HOSPITAL, PUSA ROAD",372,282,90,Private,2021-04-22-07-36,68,68,0,69,67,2,7,7,0,75,75,0
"BRAHM SHAKTI HOSPITAL, BUDH VIHAR",80,80,0,Private,2021-04-22-15-14,10,10,0,2,2,0,1,1,0,11,11,0
BURARI HOSPITAL,320,320,0,Delhi Government,2021-04-22-08-02,20,20,0,,,,30,30,0,50,50,0
"CD GLOBAL HOSPITAL, NAJAFGARH ROAD",40,40,0,Private,2021-04-22-12-21,5,5,0,,,,1,1,0,6,6,0
"CYGNUS MLS, RAMA VIHAR",68,68,0,Private,2021-04-22-11-01,4,4,0,3,3,0,5,5,0,9,9,0
"CYGNUS SONIA HOSPITAL, NANGLOI",56,56,0,Private,2021-04-22-14-14,14,14,0,18,18,0,5,5,0,19,19,0
DEEN DAYAL UPADHYAY HOSPITAL,300,300,0,Delhi Government,2021-04-22-14-32,130,130,0,33,22,11,34,34,0,164,164,0
DEEP CHAND BANDHU,230,230,0,Delhi Government,2021-04-22-16-42,67,67,0,,,,14,14,0,81,81,0
"DELHI HEART & LUNG INSTITUTE, PACHKUIAN ROAD",73,73,0,Private,2021-04-22-14-49,24,24,0,12,12,0,3,3,0,27,27,0
"DHARAMSHILA NARAYANA HOSP., VASUNDHRA ENCLAVE",142,122,20,Private,2021-04-22-10-37,11,11,0,23,7,16,3,3,0,14,14,0
"DHARAMVIR SOLANKI HOSPITAL, ROHINI",23,23,0,Private,2021-04-22-14-51,10,10,0,,,,2,2,0,12,12,0
"DIVYA PRASTHA HOSPITAL, RZ-37, OPPOSITE BAGH WALA SCHOOL, MAIN ROAD, PALAM COLONY, NEW DELHI 45",75,75,0,Private,2021-04-22-16-15,10,10,0,,,,2,2,0,12,12,0
DR BABA SAHEB AMBEDKAR HOSPITAL,317,317,0,Delhi Government,2021-04-22-16-33,32,32,0,12,8,4,30,30,0,62,62,0
"DR. CHAUDHARY MORAL HOSPITAL, YAMUNA VIHAR",20,20,0,Private,2021-04-22-15-46,,,,,,,,,,,,
EAST DELHI MEDICAL CENTRE MANSAROVER PARK,40,40,0,Private,2021-04-22-00-34,10,10,0,,,,,,,10,10,0
ESIC HOSPITAL JHILMIL,200,104,96,Central Government,2021-04-22-15-54,,,,,,,5,5,0,5,5,0
ESIC HOSPITAL OKHLA,198,192,6,Central Government,2021-04-22-15-45,,,,,,,10,10,0,10,10,0
"FORTIS ESCORTS HEART INSTITUTE, OKHLA",92,87,5,Private,2021-04-22-16-43,55,55,0,16,11,5,5,5,0,60,60,0
"FORTIS HOSPITAL, SHALIMAR BAGH",211,211,0,Private,2021-04-22-09-34,35,35,0,8,8,0,15,15,0,50,50,0
"FORTIS SS HOSPITAL, VASANT KUNJ",90,90,0,Private,2021-04-22-08-02,28,28,0,,,,4,4,0,32,32,0
"GANDHI NURSING HOME, UTTAM NAGAR",92,92,0,Private,2021-04-22-16-42,19,19,0,8,8,0,1,1,0,20,20,0
"GARG HOSPITAL, KARKARDOOMA",36,36,0,Private,2021-04-22-14-40,3,3,0,4,0,4,,,,3,3,0
"GOYAL HOSPITAL & UROLOGY CENTRE, KRISHNA NAGAR",70,70,0,Private,2021-04-22-15-36,12,12,0,8,8,0,5,5,0,17,17,0
"GOYAL HOSPITAL, PASCHIM VIHAR",21,21,0,Private,2021-04-22-08-45,7,7,0,,,,,,,7,7,0
GTB HOSPITAL,900,599,301,Delhi Government,2021-04-22-15-06,272,272,0,,,,128,128,0,400,400,0
"GUPTA MULTISPECIALTY HOSPITAL, VIVEK VIHAR",26,26,0,Private,2021-04-20-09-48,3,3,0,,,,,,,3,3,0
"HAHC HOSPITAL, HAMDARD NAGAR",376,95,281,Private,2021-04-22-15-03,19,19,0,6,2,4,5,5,0,24,24,0
"HOLY FAMILY HOSPITAL, OKHLA",385,385,0,Private,2021-04-22-16-47,24,24,0,18,18,0,30,30,0,54,54,0
"IBS HOSPITAL, LAJPAT NAGAR",39,39,0,Private,2021-04-22-16-52,6,6,0,,,,,,,6,6,0
"INDIAN SPINAL INJURY CENTRE,VASANT KUNJ",138,135,3,Private,2021-04-22-14-25,10,10,0,9,6,3,4,4,0,14,14,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",377,377,0,Private,2021-04-22-12-17,65,65,0,81,79,2,12,12,0,77,77,0
"IRENE HOSPITAL, KALKAJI",34,34,0,Private,2021-04-22-11-35,3,3,0,,,,2,2,0,5,5,0
"ISHAN HOSPITAL, ROHINI",22,22,0,Private,2021-04-22-16-07,6,6,0,,,,,,,6,6,0
"JAIN HOSPITAL, VIKAS MARG EXTN.",42,38,4,Private,2021-04-22-16-01,7,7,0,6,6,0,,,,7,7,0
"JAIPUR GOLDEN HOSPITAL, ROHINI",220,220,0,Private,2021-04-22-16-18,59,59,0,10,10,0,6,6,0,65,65,0
"JEEVAN ANMOL HOSPITAL, MAYUR VIHAR PHASE-I",60,58,2,Private,2021-04-22-07-56,8,8,0,,,,2,2,0,10,10,0
"JEEWAN MALA HOSPITAL, ROHTAK ROAD",40,40,0,Private,2021-04-22-14-37,1,1,0,,,,2,2,0,3,3,0
"JEEWAN MOTI KHERA HOSPITAL, NANGLOI",30,16,14,Private,2021-04-22-12-06,3,3,0,,,,1,1,0,4,4,0
"JEEWAN NURSING HOME, PUSA ROAD",37,37,0,Private,2021-04-21-22-33,7,7,0,7,7,0,,,,7,7,0
K K SURGICAL & MATERNITY CENTRE,40,0,40,Private,2021-04-22-09-22,,,,,,,,,,,,
"KALRA HOSPITAL, DWARKA",30,25,5,Private,2021-04-22-16-15,,,,6,5,1,,,,,,
"KALRA HOSPITAL, KIRTI NAGAR",143,93,50,Private,2021-04-22-16-09,29,29,0,29,29,0,3,3,0,32,32,0
"KAPIL MULTISPECIALTY HOSPITAL, NATHUPURA",45,45,0,Private,2021-04-22-08-17,4,4,0,,,,1,1,0,5,5,0
KHANDELWAL HOSPITAL AND UROLOGY CENTER,30,28,2,Private,2021-04-22-08-06,6,6,0,,,,,,,6,6,0
"KONARK HOSPITAL, NANGLOI",43,41,2,Private,2021-04-22-14-04,,,,16,15,1,1,1,0,,,
"KOSMOS SUPER SPECIALTY HOSPITAL, VIKAS MARG EXTN.",34,34,0,Private,2021-04-22-08-22,10,10,0,,,,,,,10,10,0
"KUKREJA HOSPITAL AND HEART CENTRE, RAJOURI GARDEN",146,92,54,Private,2021-04-22-16-26,26,26,0,20,20,0,,,,26,26,0
"KUKREJA HOSPITAL, MAYUR VIHAR",27,27,0,Private,2021-04-22-13-06,5,5,0,,,,,,,5,5,0
"LALITA HOSPITAL, BEGUMPUR",30,30,0,Private,2021-04-19-03-48,3,3,0,,,,1,1,0,4,4,0
LHMC,230,215,15,Central Government,2021-04-22-10-16,10,10,0,27,24,3,16,16,0,26,26,0
LOK NAYAK HOSPITAL,1500,1500,0,Delhi Government,2021-04-22-14-16,200,200,0,,,,200,200,0,400,400,0
"MADHUKAR RAINBOW CHILDREN HOSP., MALVIYA NAGAR",71,27,44,Private,2021-04-22-16-41,24,13,11,26,14,12,2,2,0,26,15,11
MAHA DURGA CHARITABLE TRUST HOSPITAL,130,127,3,Private,2021-04-22-12-54,24,24,0,6,0,6,6,6,0,30,30,0
"MAHARAJA AGARSAIN MULTISPECIALTY HOSPITAL, NARELA",40,40,0,Private,2021-04-22-11-13,3,3,0,1,0,1,1,1,0,4,4,0
"MAHARAJA AGRASEN HOSPITAL, DWARKA",35,35,0,Private,2021-04-22-09-35,10,10,0,3,3,0,2,2,0,12,12,0
"MAHARAJA AGRASEN HOSPITAL, PUNJABI BAGH",350,264,86,Private,2021-04-22-16-47,64,64,0,20,20,0,8,8,0,72,72,0
MALIK RADIX HOSPITAL,47,47,0,Private,2021-04-22-14-49,13,13,0,,,,1,1,0,14,14,0
"MANIPAL HOSPITAL, DWARKA",232,232,0,Private,2021-04-22-16-12,17,17,0,33,33,0,10,10,0,27,27,0
"MANSARAM HOSPITAL, NANGLOI",42,42,0,Private,2021-04-22-10-30,9,9,0,,,,1,1,0,10,10,0
"MATA CHANAN DEVI HOSPITAL, JANAKPURI",200,200,0,Private,2021-04-22-07-30,39,39,0,,,,9,9,0,48,48,0
"MATA ROOP RANI MAGGO HOSPITAL, UTTAM NAGAR",55,55,0,Private,2021-04-22-09-05,14,14,0,,,,2,2,0,16,16,0
MAX EAST/WEST BLOCK,255,242,13,Private,2021-04-22-08-01,40,40,0,12,12,0,8,8,0,48,48,0
"MAX SMART GUJARMAL MODI HOSPITAL ,SAKET",370,281,89,Private,2021-04-22-08-20,,,,,,,50,50,0,50,50,0
"MAX SS HOSPITAL, PATPARGANJ",276,276,0,Private,2021-04-22-08-57,62,62,0,18,18,0,10,10,0,72,72,0
"MAX SS HOSPITAL, SHALIMAR BAGH",242,242,0,Private,2021-04-22-09-16,76,76,0,,,,15,15,0,91,91,0
"MEDEOR HOSPITAL, QUTAB INSTL. AREA",55,46,9,Private,2021-04-22-16-47,8,8,0,8,3,5,4,4,0,12,12,0
"MEDSTAR HOSPITAL, PASCHIM VIHAR",32,32,0,Private,2021-04-22-16-30,13,13,0,,,,1,1,0,14,14,0
"METRO HOSPITAL, LAJPAT NAGAR",33,33,0,Private,2021-04-22-15-12,14,14,0,,,,,,,14,14,0
"METRO HOSPITAL, PREET VIHAR",160,110,50,Private,2021-04-22-09-38,18,18,0,16,16,0,4,4,0,22,22,0
