name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-28-17-41,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,120,108,12,Delhi Government,2021-04-28-16-43,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,583,583,0,Central Government,2021-04-28-19-25,,,,,,,43,43,0,43,43,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-28-16-18,,,,86,34,52,,,,,,
"AIIMS, Trauma Delhi",294,285,9,Central Government,2021-04-28-16-46,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",240,240,0,Private,2021-04-28-17-27,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-04-28-11-55,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-28-19-28,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-28-06-24,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-28-16-35,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,16,25,Private,2021-04-28-18-06,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-28-13-15,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-28-17-38,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-28-07-51,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-28-16-51,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-28-14-53,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,375,375,0,Central Government,2021-04-28-06-50,,,,17,8,9,12,12,0,12,12,0
Batra Hospital,285,285,0,Private,2021-04-28-12-03,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,24,16,Private,2021-04-28-18-57,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-28-16-15,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",50,50,0,Private,2021-04-28-07-46,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",92,92,0,Private,2021-04-28-17-46,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",41,41,0,Private,2021-04-28-16-29,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,26,26,0,Private,2021-04-28-18-40,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",358,291,67,Private,2021-04-28-17-48,68,68,0,69,51,18,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-28-12-46,17,17,0,,,,1,1,0,18,18,0
Burari Hospital,320,320,0,Delhi Government,2021-04-28-08-51,20,20,0,,,,30,30,0,50,50,0
CBR Hospital,25,0,25,Private,2021-04-28-17-41,1,0,1,,,,2,0,2,3,0,3
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-04-28-10-36,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-28-17-56,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-28-13-19,1,1,0,6,6,0,5,5,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-04-28-16-49,26,26,0,18,18,0,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,300,300,0,Delhi Government,2021-04-28-18-38,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-04-28-15-40,67,67,0,,,,14,14,0,81,81,0
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-28-17-11,24,24,0,12,12,0,3,3,0,27,27,0
Delhi multi speciality hospital,5,5,0,Private,2021-04-28-06-31,1,1,0,,,,1,1,0,2,2,0
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,138,22,Private,2021-04-28-13-20,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",16,16,0,Private,2021-04-28-16-36,7,7,0,,,,1,1,0,8,8,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-04-28-10-56,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,330,330,0,Delhi Government,2021-04-28-19-21,32,32,0,12,12,0,30,30,0,62,62,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-28-16-33,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,40,40,0,Private,2021-04-28-14-58,10,10,0,,,,,,,10,10,0
ESIC Hospital Jhilmil,60,60,0,Central Government,2021-04-28-14-56,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,220,210,10,Central Government,2021-04-28-15-39,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",107,107,0,Private,2021-04-28-16-02,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",230,230,0,Private,2021-04-28-18-06,36,36,0,8,8,0,24,24,0,60,60,0
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-04-28-17-01,28,28,0,,,,4,4,0,32,32,0
"Gandhi Nursing Home, Uttam Nagar",95,95,0,Private,2021-04-28-16-38,29,29,0,8,8,0,1,1,0,30,30,0
"Garg Hospital, Karkardooma",36,36,0,Private,2021-04-28-03-02,4,4,0,4,4,0,,,,4,4,0
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-04-28-10-14,12,12,0,8,8,0,5,5,0,17,17,0
"Goyal Hospital, Paschim Vihar",21,21,0,Private,2021-04-28-10-12,7,7,0,,,,,,,7,7,0
GTB Hospital,750,750,0,Delhi Government,2021-04-28-15-32,272,272,0,,,,128,128,0,400,400,0
"Gupta Multispecialty Hospital, Vivek Vihar",40,40,0,Private,2021-04-28-16-49,3,3,0,,,,,,,3,3,0
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,47,151,Delhi Government,2021-04-28-19-28,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,130,246,Private,2021-04-28-16-05,21,21,0,6,2,4,8,8,0,29,29,0
"Holy Family Hospital, Okhla",385,385,0,Private,2021-04-28-10-41,16,16,0,18,18,0,38,38,0,54,54,0
"IBS Hospital, Lajpat Nagar",36,36,0,Private,2021-04-28-17-57,10,10,0,,,,3,3,0,13,13,0
"Indian spinal injury centre,Vasant Kunj",160,160,0,Private,2021-04-28-06-27,10,10,0,9,5,4,4,4,0,14,14,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",450,450,0,Private,2021-04-28-16-50,78,78,0,81,79,2,12,12,0,90,90,0
"Irene Hospital, Kalkaji",34,34,0,Private,2021-04-28-10-03,3,3,0,,,,2,2,0,5,5,0
"Ishan Hospital, Rohini",16,16,0,Private,2021-04-28-19-18,5,5,0,,,,,,,5,5,0
"Jain Hospital, Vikas Marg Extn.",42,42,0,Private,2021-04-28-13-54,13,13,0,2,2,0,,,,13,13,0
"Jaipur Golden Hospital, Rohini",220,111,109,Private,2021-04-28-17-20,59,54,5,10,10,0,6,2,4,65,56,9
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,60,0,Private,2021-04-28-18-17,8,8,0,,,,2,2,0,10,10,0
"Jeewan Mala Hospital, Rohtak Road",60,40,20,Private,2021-04-28-14-59,7,7,0,,,,3,3,0,10,10,0
"Jeewan Moti Khera Hospital, Nangloi",30,17,13,Private,2021-04-28-15-52,3,3,0,,,,1,1,0,4,4,0
"Jeewan Nursing Home, Pusa Road",37,37,0,Private,2021-04-28-12-11,7,7,0,7,7,0,,,,7,7,0
K K Surgical & Maternity Centre,40,0,40,Private,2021-04-28-10-52,,,,,,,,,,,,
"Kalra Hospital, Dwarka",30,18,12,Private,2021-04-28-18-15,,,,6,6,0,,,,,,
"Kalra Hospital, Kirti Nagar",143,93,50,Private,2021-04-28-17-23,29,29,0,29,29,0,3,3,0,32,32,0
"Kapil Multispecialty Hospital, Nathupura",40,40,0,Private,2021-04-28-14-39,3,3,0,,,,1,1,0,4,4,0
