name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-01-10-59,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,102,102,0,Delhi Government,2021-05-01-10-41,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,593,593,0,Central Government,2021-05-01-08-42,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,100,90,10,Central Government,2021-04-30-16-34,23,20,3,86,33,53,,,,23,20,3
"AIIMS, Trauma Delhi",294,287,7,Central Government,2021-05-01-06-37,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",237,237,0,Private,2021-05-01-07-22,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-01-10-45,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-01-10-03,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-01-07-28,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-01-07-29,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,16,25,Private,2021-05-01-09-17,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-01-09-30,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-01-07-52,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-05-01-08-15,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-01-11-57,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,245,5,Central Government,2021-05-01-09-31,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-05-01-07-06,,,,,,,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-05-01-08-26,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,31,9,Private,2021-05-01-07-51,12,12,0,,,,3,3,0,15,15,0
BH SALVAS HOSPITAL,50,16,34,Private,2021-04-30-18-09,12,4,8,,,,1,0,1,13,4,9
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-01-07-08,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",45,45,0,Private,2021-05-01-07-58,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",100,93,7,Private,2021-05-01-09-03,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",42,42,0,Private,2021-05-01-07-16,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,27,26,1,Private,2021-05-01-12-15,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",322,257,65,Private,2021-05-01-07-56,68,68,0,69,44,25,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-05-01-11-57,10,10,0,,,,1,1,0,11,11,0
Burari Hospital,370,370,0,Delhi Government,2021-05-01-12-05,40,40,0,,,,30,30,0,70,70,0
C M PATEL HOSPITAL,10,10,0,Private,2021-04-30-17-38,,,,,,,,,,,,
CBR Hospital,25,13,12,Private,2021-05-01-12-15,2,2,0,,,,1,1,0,3,3,0
"CD Global Hospital, Najafgarh Road",40,39,1,Private,2021-04-30-10-19,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-30-11-24,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-30-11-12,2,2,0,6,6,0,4,4,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-01-10-28,26,26,0,18,18,0,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,310,310,0,Delhi Government,2021-05-01-12-11,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-05-01-10-50,67,67,0,,,,14,14,0,81,81,0
Delhi global hospital,14,0,14,Private,2021-04-29-12-36,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-01-12-07,24,24,0,12,12,0,3,3,0,27,27,0
