name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,1,21,Private,2021-06-09-09-48,3,0,3,2,0,2,5,0,5,0,15,,,
AASTHA HOSPITAL,40,0,40,Private,2021-06-10-22-22,8,0,8,2,0,2,10,0,10,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-10-10-42,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,0,150,Delhi Government,2021-06-10-23-31,,,,30,0,30,30,0,30,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-10-11-02,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,86,314,Central Government,2021-06-10-17-45,,,,100,86,14,100,86,14,0,23,,,
AIIMS Main Delhi,70,30,40,Central Government,2021-06-10-17-42,14,-9,23,43,37,6,57,28,29,3,9,87,60,27
"AIIMS, Trauma Delhi",294,130,164,Central Government,2021-06-10-16-45,,,,71,41,30,71,41,30,,,,,
"Akash Healthcare, Dwarka",133,20,113,Private,2021-06-10-21-44,14,5,9,40,10,30,54,15,39,0,12,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-10-13-23,,,,,,,,,,7,0,,,
Alshifa Hospital,50,12,38,Private,2021-06-10-09-19,15,5,10,4,1,3,19,6,13,2,4,,,
Ambedkar Nagar hospital,600,4,596,Delhi Government,2021-06-11-05-28,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-11-01-42,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-06-10-21-20,3,0,3,2,0,2,5,0,5,1,23,6,5,1
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-06-10-18-17,4,4,0,,,,4,4,0,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-09-09-07,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-10-17-42,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-10-09-54,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-09-11-42,6,0,6,,,,6,0,6,0,23,4,2,2
Arya Hospital,24,1,23,Private,2021-06-10-20-54,8,0,8,2,0,2,10,0,10,4,0,10,0,10
Ashray Medical Centre,12,0,12,Private,2021-06-10-11-19,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-10-10-11,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-09-09-49,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,7,43,Private,2021-06-10-17-04,28,5,23,2,0,2,30,5,25,3,23,,,
"B.M. Gupta Hospital, Uttam Nagar",70,0,70,Private,2021-06-11-04-33,19,0,19,1,0,1,20,0,20,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-10-08-18,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-06-10-07-58,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-06-10-15-35,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,15,235,Central Government,2021-06-10-09-52,,,,10,3,7,10,3,7,5,12,,,
Base Hospital Delhi Cantt,500,183,317,Central Government,2021-05-27-06-42,,,,50,48,2,50,48,2,2,12,,,
Batra Hospital,300,6,294,Private,2021-06-10-11-35,18,0,18,15,0,15,33,0,33,0,23,12,12,0
"Bensups Hospital, Dwarka",30,2,28,Private,2021-06-10-17-33,12,1,11,3,0,3,15,1,14,1,10,,,
