name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,3,19,Private,2021-05-30-11-33,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,2,38,Private,2021-06-03-11-57,8,1,7,2,0,2,10,1,9,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-03-12-01,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,10,140,Delhi Government,2021-06-03-09-47,,,,30,6,24,30,6,24,1,16,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-03-10-42,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,121,279,Central Government,2021-06-03-10-41,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,76,226,Central Government,2021-06-03-12-00,29,10,19,43,37,6,72,47,25,3,14,72,51,21
"AIIMS, Trauma Delhi",294,194,100,Central Government,2021-06-03-05-50,,,,71,60,11,71,60,11,,,,,
"Akash Healthcare, Dwarka",133,67,66,Private,2021-06-03-10-33,14,14,0,40,40,0,54,54,0,0,18,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-02-08-33,,,,,,,,,,7,0,,,
Alshifa Hospital,50,13,37,Private,2021-06-03-09-06,15,5,10,4,2,2,19,7,12,3,15,,,
Ambedkar Nagar hospital,600,13,587,Delhi Government,2021-06-03-11-21,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-03-10-06,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,5,35,Private,2021-06-03-12-02,3,3,0,2,2,0,5,5,0,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,1,27,Private,2021-06-03-07-23,4,0,4,,,,4,0,4,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-02-10-19,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-03-11-57,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-03-07-23,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-02-10-48,6,0,6,,,,6,0,6,0,20,4,1,3
Arya Hospital,24,0,24,Private,2021-06-03-09-47,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-03-10-54,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-03-09-53,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-03-10-10,,,,,,,,,,,,10,0,10
