name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-04-24-11-04,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-04-24-11-38,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-04-22-11-30,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-04-24-13-44,,,,,,,6,0,,,,,,
AIIMS Main Delhi,11,1,10,Central Government,2021-04-24-16-56,,,,,,,4,5,108,91,17,,,
"AIIMS, Trauma Delhi",21,0,21,Central Government,2021-04-24-05-43,,,,21,0,21,,,,,,21,0,21
"Akash Healthcare, Dwarka",20,0,20,Private,2021-04-24-07-53,3,0,3,5,0,5,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-04-24-09-36,3,0,3,5,0,5,3,0,11,1,10,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-04-24-16-40,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-04-24-00-26,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-04-24-15-59,3,0,3,3,0,3,1,23,5,5,0,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-04-24-09-57,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-04-24-09-44,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-04-24-12-39,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-04-23-11-21,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-04-24-00-30,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,2,8,Private,2021-04-24-15-49,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-04-24-14-13,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-04-24-08-48,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-04-24-14-31,,,,14,0,14,7,12,8,6,2,14,0,14
Base Hospital Delhi Cantt,500,2,498,Central Government,2021-04-24-06-31,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,0,50,Private,2021-04-24-09-54,9,0,9,11,0,11,0,23,99,44,55,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-04-24-10-57,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-04-24-08-25,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",10,2,8,Private,2021-04-24-07-42,6,0,6,7,0,7,2,23,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,2,8,Private,2021-04-24-10-17,2,2,0,3,2,1,0,10,17,13,4,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-04-24-14-16,1,0,1,1,0,1,6,12,5,2,3,,,
Bimla Devi Hospital,10,0,10,Private,2021-04-24-07-01,,,,,,,4,0,7,1,6,,,
"BLK Hospital, Pusa Road",47,1,46,Private,2021-04-24-15-08,9,0,9,12,0,12,3,0,106,106,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-04-23-11-29,4,0,4,5,0,5,2,12,7,5,2,1,0,1
Burari Hospital,600,1,599,Delhi Government,2021-04-24-10-14,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-04-24-01-03,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-04-24-14-13,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-04-24-15-44,,,,2,0,2,0,3,6,5,1,2,0,2
"Cygnus MLS, Rama Vihar",9,1,8,Private,2021-04-24-12-03,1,0,1,1,0,1,75,0,15,4,11,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-04-24-15-18,,,,1,0,1,0,17,18,14,4,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-04-24-16-17,,,,,,,4,0,43,43,0,,,
Deep Chand Bandhu,50,1,49,Delhi Government,2021-04-24-17-11,,,,,,,3,15,10,6,4,,,
Delhi global hospital,3,0,3,Private,2021-04-24-06-50,3,0,3,3,0,3,1,23,4,1,3,,,
