name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-09-07-09-22,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,12,0,12,Private,2021-09-07-17-21,1,0,1,1,0,1,2,0,2,,,10,2,8
Ace Hospital,30,0,30,Private,2021-09-07-10-02,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-09-07-20-21,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-09-07-09-19,,,,,,,,,,6,0,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-09-07-17-41,,,,100,0,100,100,0,100,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-09-07-16-38,,,,,,,,,,1,9,92,79,13
"AIIMS, Trauma Delhi",294,8,286,Central Government,2021-09-07-05-32,,,,71,8,63,71,8,63,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-09-07-09-29,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-09-07-10-18,,,,,,,,,,7,0,,,
Alshifa Hospital,18,0,18,Private,2021-09-07-10-07,4,0,4,2,0,2,6,0,6,17,0,11,9,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-09-08-05-06,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-09-07-17-36,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-09-07-19-41,,,,,,,,,,1,23,5,2,3
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-09-07-07-56,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-09-07-09-27,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-09-07-11-41,10,0,10,2,0,2,12,0,12,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-09-07-10-19,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-09-07-13-32,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-09-07-11-31,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-09-08-04-57,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-09-07-20-37,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-09-07-08-07,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,4,246,Central Government,2021-09-07-09-32,,,,14,0,14,14,0,14,4,0,8,5,3
Base Hospital Delhi Cantt,500,14,486,Central Government,2021-09-07-08-00,,,,50,2,48,50,2,48,2,12,,,
Batra Hospital,148,0,148,Private,2021-09-07-09-24,3,0,3,5,0,5,8,0,8,0,23,52,43,9
"Bensups Hospital, Dwarka",30,0,30,Private,2021-09-07-08-08,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-09-07-10-53,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-09-07-13-28,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-09-07-17-17,1,0,1,,,,1,0,1,6,12,5,4,1
Bimla Devi Hospital,10,0,10,Private,2021-09-07-10-24,,,,,,,,,,4,0,6,0,6
"BLK Hospital, Pusa Road",140,1,139,Private,2021-09-08-01-30,21,0,21,7,0,7,28,0,28,4,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-09-07-10-53,5,0,5,1,0,1,6,0,6,2,12,17,7,10
Burari Hospital,300,2,298,Delhi Government,2021-09-07-08-00,70,2,68,30,0,30,100,2,98,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-09-07-12-39,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,20,0,20,Private,2021-09-07-11-54,3,0,3,,,,3,0,3,,,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-09-07-17-42,5,0,5,1,0,1,6,0,6,1,19,3,0,3
Central Hospital,16,0,16,Private,2021-09-08-01-30,,,,4,0,4,4,0,4,0,3,4,4,0
Chaudhri Bram Prakash Aurvedic Charak Sansthan,100,0,100,Delhi Government,2021-09-07-11-46,,,,,,,,,,41,0,,,
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-09-07-09-06,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,5,591,Delhi Government,2021-09-07-12-35,,,,,,,,,,2,14,,,
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-09-06-09-52,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-09-07-09-01,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-09-07-08-12,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-09-07-17-18,,,,5,0,5,5,0,5,1,8,19,9,10
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-09-07-17-15,4,0,4,1,0,1,5,0,5,0,17,18,8,10
Deen Dayal Upadhyay hospital,100,4,96,Delhi Government,2021-09-08-04-01,,,,25,4,21,25,4,21,0,12,43,43,0
Deep Chand Bandhu,100,0,100,Delhi Government,2021-09-07-19-56,5,0,5,20,0,20,25,0,25,3,0,10,5,5
Delhi global hospital,3,0,3,Private,2021-09-07-08-27,3,0,3,,,,3,0,3,1,23,4,1,3
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-09-07-11-01,3,0,3,2,0,2,5,0,5,2,7,34,24,10
Delhi multi speciality hospital,2,0,2,Private,2021-09-07-05-51,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-09-07-18-18,13,0,13,5,0,5,18,0,18,1,8,8,8,0
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-09-07-10-34,4,0,4,1,0,1,5,0,5,0,23,5,1,4
Divine Multispeciality Hospital and Cancer Centre,18,0,18,Private,2021-09-07-12-23,14,0,14,,,,14,0,14,4,22,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,0,20,Private,2021-09-07-11-45,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,100,8,92,Delhi Government,2021-09-07-09-00,,,,25,7,18,25,7,18,1,7,12,7,5
Dr Rakesh Multispeciality Hospital,15,0,15,Private,2021-09-07-09-50,6,0,6,,,,6,0,6,,,,,
Ekansh Hospital,8,0,8,Private,2021-09-07-11-41,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,18,0,18,Central Government,2021-09-07-11-04,,,,,,,,,,2,23,5,5,0
ESIC hospital Okhla,20,0,20,Central Government,2021-09-07-09-50,,,,2,0,2,2,0,2,3,18,15,6,9
"Fortis Escorts Heart Institute, Okhla",112,0,112,Private,2021-09-07-16-07,55,0,55,5,0,5,60,0,60,2,3,16,14,2
"Fortis Hospital, Shalimar Bagh",78,0,78,Private,2021-09-07-21-05,15,0,15,5,0,5,20,0,20,5,23,48,48,0
"Fortis SS Hospital, Vasant Kunj",48,0,48,Private,2021-09-08-01-29,14,0,14,4,0,4,18,0,18,2,23,37,24,13
Galaxy Hospital,8,0,8,Private,2021-09-07-10-43,2,0,2,,,,2,0,2,5,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",25,0,25,Private,2021-09-07-09-13,6,0,6,2,0,2,8,0,8,1,12,15,15,0
"Garg Hospital, Karkardooma",36,0,36,Private,2021-09-08-02-09,4,0,4,,,,4,0,4,7,0,,,
GNS Multispeciality Hospital,6,0,6,Private,2021-07-29-13-47,,,,,,,,,,,,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",14,0,14,Private,2021-09-07-10-27,3,0,3,1,0,1,4,0,4,1,23,10,6,4
"Goyal Hospital, Paschim Vihar",10,0,10,Private,2021-09-07-17-16,,,,,,,,,,0,12,7,0,7
GTB Hospital,600,3,597,Delhi Government,2021-09-08-00-00,410,0,410,140,3,137,550,3,547,4,10,8,8,0
Gupta Multispecialty Hospital,14,0,14,Private,2021-09-08-04-25,,,,,,,,,,2,0,4,0,4
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-09-07-10-11,4,0,4,,,,4,0,4,3,23,2,0,2
"HAHC Hospital, Hamdard Nagar",141,0,141,Private,2021-09-08-00-03,4,0,4,8,0,8,12,0,12,1,4,29,8,21
HANDA NURSING HOME,12,0,12,Private,2021-09-07-10-52,,,,,,,,,,1,18,6,0,6
Hardik Hospital,10,0,10,Private,2021-09-07-23-06,4,0,4,,,,4,0,4,1,20,,,
Highland Care Multispeciality Hospital,20,0,20,Private,2021-09-07-18-56,5,0,5,,,,5,0,5,0,15,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-09-07-09-33,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",100,2,98,Private,2021-09-07-11-14,,,,14,1,13,14,1,13,0,20,18,0,18
"IBS Hospital, Lajpat Nagar",7,0,7,Private,2021-09-07-18-09,,,,,,,,,,0,6,10,4,6
"Indian spinal injury centre,Vasant Kunj",60,3,57,Private,2021-09-08-03-56,,,,9,0,9,9,0,9,1,2,10,10,0
"Indira Gandhi Hospital, Dwarka",250,8,242,Delhi Government,2021-09-07-10-17,,,,15,0,15,15,0,15,5,0,250,0,250
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",215,3,212,Private,2021-09-07-11-38,32,2,30,12,1,11,44,3,41,4,0,117,115,2
"Irene Hospital, Kalkaji",34,0,34,Private,2021-09-07-09-56,3,0,3,2,0,2,5,0,5,2,0,,,
"Ishan Hospital, Rohini",13,0,13,Private,2021-09-07-18-36,5,0,5,,,,5,0,5,0,23,,,
"Jaipur Golden Hospital, Rohini",72,16,56,Private,2021-09-08-00-54,8,8,0,4,2,2,12,10,2,0,16,73,43,30
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,1,59,Private,2021-09-07-12-58,8,0,8,2,0,2,10,0,10,3,0,,,
"Jeewan Moti Khera Hospital, Nangloi",30,0,30,Private,2021-09-07-17-59,4,0,4,1,0,1,5,0,5,1,23,2,0,2
Jivodaya Hospital,20,0,20,Private,2021-09-07-09-55,,,,,,,,,,1,23,,,
Jyoti Nursing Home,22,0,22,Private,2021-09-07-23-51,,,,,,,,,,1,11,,,
Kalawati Saran Children's Hospital (LHMC),34,18,16,Central Government,2021-09-07-10-18,,,,5,5,0,5,5,0,5,13,35,29,6
"Kalra Hospital, Dwarka",10,0,10,Private,2021-09-08-00-41,,,,,,,,,,6,0,6,6,0
"Kalra Hospital, Kirti Nagar",34,0,34,Private,2021-09-07-17-19,11,0,11,1,0,1,12,0,12,0,12,29,29,0
Kalyani Hospital,25,0,25,Private,2021-09-07-18-21,8,0,8,1,0,1,9,0,9,13,1,,,
"Kapil Multispecialty Hospital, Nathupura",10,0,10,Private,2021-09-07-13-09,,,,,,,,,,20,0,5,0,5
Khandelwal Hospital And Urology Center,10,0,10,Private,2021-09-07-11-14,2,0,2,,,,2,0,2,0,10,4,0,4
khanna hospital,5,0,5,Private,2021-09-07-08-40,1,0,1,1,0,1,2,0,2,0,10,,,
"Konark Hospital, Nangloi",43,0,43,Private,2021-09-07-17-24,14,0,14,1,0,1,15,0,15,5,23,,,
"Kosmos Super Specialty Hospital, Vikas Marg Extn.",26,0,26,Private,2021-09-07-16-47,6,0,6,,,,6,0,6,0,18,2,2,0
"Kukreja Hospital and Heart Centre, Rajouri Garden",30,0,30,Private,2021-09-07-17-30,,,,,,,,,,0,23,32,18,14
"Lalita Hospital, Begumpur",40,0,40,Private,2021-09-07-11-07,4,0,4,1,0,1,5,0,5,,,,,
LHMC,93,54,39,Central Government,2021-09-07-09-33,5,0,5,16,0,16,21,0,21,1,11,27,25,2
Lifeline Hospital,19,0,19,Private,2021-09-07-13-36,2,0,2,2,0,2,4,0,4,5,12,3,0,3
Lok Nayak Hospital,720,8,712,Delhi Government,2021-09-08-05-01,600,8,592,100,0,100,700,8,692,0,20,98,86,12
Lotus Hospital,15,0,15,Private,2021-09-07-07-48,,,,,,,,,,1,20,,,
