name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,25,0,25,Private,2021-07-16-09-55,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-16-15-41,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-07-16-10-42,4,0,4,,,,4,0,4,,,26,0,26
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-16-15-20,,,,5,0,5,5,0,5,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-07-16-11-21,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,33,367,Central Government,2021-07-16-08-49,,,,100,33,67,100,33,67,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-07-16-16-41,,,,,,,,,,2,19,92,75,17
"AIIMS, Trauma Delhi",294,49,245,Central Government,2021-07-16-16-33,,,,71,25,46,71,25,46,,,,,
"Akash Healthcare, Dwarka",60,3,57,Private,2021-07-16-13-38,,,,40,3,37,40,3,37,0,16,68,31,37
All India Institute of Ayurveda,47,0,47, ,2021-07-16-10-18,,,,,,,,,,7,0,,,
Alshifa Hospital,49,0,49,Private,2021-07-16-12-26,23,0,23,4,0,4,27,0,27,5,0,,,
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-16-16-03,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-16-14-56,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-16-12-33,3,0,3,2,0,2,5,0,5,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-07-16-11-37,4,0,4,,,,4,0,4,1,2,,,
Ardent Ganpati,31,0,31,Private,2021-07-16-13-49,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-07-16-11-43,5,0,5,,,,5,0,5,0,6,,,
Arogya Hospital,6,0,6,Private,2021-07-16-09-11,6,0,6,,,,6,0,6,0,23,4,4,0
Arya Hospital,24,0,24,Private,2021-07-16-11-06,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-07-16-12-39,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-07-16-08-26,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-07-16-10-47,,,,,,,,,,2,18,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-16-10-17,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-16-16-54,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-16-09-13,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-16-08-31,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",38,0,38,Private,2021-07-16-15-30,,,,2,0,2,2,0,2,1,0,8,5,3
Bara Hindurao Hospital,250,1,249,Central Government,2021-07-16-15-37,,,,10,0,10,10,0,10,13,12,4,4,0
Base Hospital Delhi Cantt,500,26,474,Central Government,2021-07-16-07-18,,,,50,7,43,50,7,43,2,12,,,
Batra Hospital,300,0,300,Private,2021-07-16-13-47,18,0,18,15,0,15,33,0,33,0,23,12,12,0
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-16-13-06,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-07-16-16-32,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-07-16-15-38,13,0,13,2,0,2,15,0,15,0,10,,,
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-07-16-14-40,1,0,1,,,,1,0,1,6,12,5,1,4
Bimla Devi Hospital,10,0,10,Private,2021-07-16-12-30,,,,,,,,,,4,0,6,0,6
"BLK Hospital, Pusa Road",140,3,137,Private,2021-07-16-15-30,21,2,19,7,0,7,28,2,26,7,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-07-16-15-28,1,0,1,2,0,2,3,0,3,1,6,10,6,4
Burari Hospital,300,0,300,Delhi Government,2021-07-16-12-15,70,0,70,30,0,30,100,0,100,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-07-16-10-37,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,25,10,15,Private,2021-07-16-12-19,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-07-16-13-50,5,0,5,1,0,1,6,0,6,1,20,3,0,3
Central Hospital,16,0,16,Private,2021-07-16-16-24,,,,4,0,4,4,0,4,0,3,4,4,0
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,1,49,Delhi Government,2021-07-16-09-21,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,3,593,Delhi Government,2021-07-16-15-12,,,,,,,,,,1,14,,,
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-07-16-08-18,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,3,47,Delhi Government,2021-07-16-09-18,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-07-16-07-42,,,,,,,,,,,,,,
