name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,25,0,25,Private,2021-08-13-15-58,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,12,0,12,Private,2021-08-13-17-23,1,0,1,1,0,1,2,0,2,,,10,2,8
Ace Hospital,30,0,30,Private,2021-08-13-12-32,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-08-13-17-45,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-08-13-09-14,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-08-13-17-21,,,,100,0,100,100,0,100,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-08-13-16-32,,,,,,,,,,3,14,92,83,9
"AIIMS, Trauma Delhi",294,20,274,Central Government,2021-08-13-16-43,,,,71,15,56,71,15,56,,,,,
"Akash Healthcare, Dwarka",60,1,59,Private,2021-08-13-17-33,30,1,29,10,0,10,40,1,39,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-08-13-10-31,,,,,,,,,,7,0,,,
Alshifa Hospital,18,0,18,Private,2021-08-13-10-13,4,0,4,2,0,2,6,0,6,16,0,11,9,2
Ambedkar Nagar hospital,200,1,199,Delhi Government,2021-08-14-04-56,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-08-13-21-46,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-08-13-19-10,,,,,,,,,,1,23,5,5,0
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-08-13-15-33,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-08-13-06-39,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-08-13-11-27,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-08-13-08-19,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-08-13-08-57,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-08-13-10-00,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-08-13-07-36,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-08-14-04-58,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-08-13-08-05,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",10,0,10,Private,2021-08-13-07-19,,,,,,,,,,0,7,9,0,9
Bara Hindurao Hospital,250,2,248,Central Government,2021-08-13-10-36,,,,14,0,14,14,0,14,2,6,4,3,1
Base Hospital Delhi Cantt,500,20,480,Central Government,2021-08-13-09-03,,,,50,3,47,50,3,47,2,12,,,
