name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-06-27-15-59,3,0,3,2,0,2,5,0,5,0,22,,,
AASTHA HOSPITAL,40,0,40,Private,2021-06-28-23-02,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-06-28-11-19,4,0,4,,,,4,0,4,,,26,0,26
Acharyashree Bhikshu Govt. Hospital,150,0,150,Delhi Government,2021-06-28-18-55,,,,30,0,30,30,0,30,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-28-10-20,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,49,351,Central Government,2021-06-28-17-42,,,,100,49,51,100,49,51,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-06-28-16-55,,,,,,,,,,2,16,87,63,24
"AIIMS, Trauma Delhi",294,98,196,Central Government,2021-06-28-16-37,,,,71,42,29,71,42,29,,,,,
"Akash Healthcare, Dwarka",133,1,132,Private,2021-06-28-17-27,14,1,13,40,0,40,54,1,53,0,6,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-28-13-20,,,,,,,,,,7,0,,,
Alshifa Hospital,49,23,26,Private,2021-06-28-09-08,15,5,10,4,0,4,19,5,14,3,4,,,
Ambedkar Nagar hospital,600,1,599,Delhi Government,2021-06-29-03-09,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-29-00-48,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-06-28-20-01,3,0,3,2,0,2,5,0,5,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-06-28-13-19,4,0,4,,,,4,0,4,1,2,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-28-11-27,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-28-17-31,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-28-16-33,5,0,5,,,,5,0,5,0,6,25,0,25
Arogya Hospital,6,0,6,Private,2021-06-28-13-13,6,0,6,,,,6,0,6,0,20,4,2,2
Arya Hospital,24,0,24,Private,2021-06-28-15-29,8,0,8,2,0,2,10,0,10,4,0,10,0,10
Ashray Medical Centre,12,0,12,Private,2021-06-28-14-49,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-28-08-31,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-28-10-44,,,,,,,,,,,,10,0,10
