name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-29-13-14,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-29-14-12,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,583,583,0,Central Government,2021-04-29-08-23,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,93,90,3,Central Government,2021-04-29-11-36,16,15,1,86,34,52,,,,16,15,1
"AIIMS, Trauma Delhi",294,289,5,Central Government,2021-04-29-06-18,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",237,237,0,Private,2021-04-29-12-38,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-04-29-12-06,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-29-12-55,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-29-08-25,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-29-07-38,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,19,22,Private,2021-04-29-08-51,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",100,100,0,Private,2021-04-29-13-57,23,23,0,,,,2,2,0,25,25,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-29-07-42,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-29-08-01,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-29-11-17,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-29-09-11,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,450,449,1,Central Government,2021-04-29-07-07,,,,17,8,9,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-04-29-08-29,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,27,13,Private,2021-04-29-08-52,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-29-02-23,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",50,45,5,Private,2021-04-29-07-58,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",92,92,0,Private,2021-04-29-08-49,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",42,42,0,Private,2021-04-29-12-31,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,26,26,0,Private,2021-04-29-09-31,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",352,280,72,Private,2021-04-29-12-00,68,68,0,69,54,15,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",79,79,0,Private,2021-04-29-10-28,19,19,0,,,,1,1,0,20,20,0
Burari Hospital,320,320,0,Delhi Government,2021-04-29-10-50,20,20,0,,,,30,30,0,50,50,0
CBR Hospital,25,0,25,Private,2021-04-28-17-41,1,0,1,,,,2,0,2,3,0,3
"CD Global Hospital, Najafgarh Road",40,38,2,Private,2021-04-29-10-45,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-29-12-04,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-29-12-49,2,2,0,6,6,0,4,4,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-04-29-12-16,26,26,0,18,18,0,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,310,310,0,Delhi Government,2021-04-29-14-00,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-04-29-09-43,67,67,0,,,,14,14,0,81,81,0
Delhi global hospital,14,0,14,Private,2021-04-29-12-36,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-29-09-31,24,24,0,12,12,0,3,3,0,27,27,0
Delhi multi speciality hospital,21,5,16,Private,2021-04-29-07-18,1,1,0,,,,1,1,0,2,2,0
"Dharamshila Narayana Hosp., Vasundhra Enclave",110,110,0,Private,2021-04-29-12-27,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",16,16,0,Private,2021-04-29-10-20,7,7,0,,,,1,1,0,8,8,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-04-29-11-30,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,350,350,0,Delhi Government,2021-04-29-13-50,32,32,0,12,12,0,30,30,0,62,62,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-29-10-09,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,42,42,0,Private,2021-04-29-12-31,10,10,0,,,,,,,10,10,0
ESIC Hospital Jhilmil,60,60,0,Central Government,2021-04-28-14-56,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,220,215,5,Central Government,2021-04-29-10-54,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",107,107,0,Private,2021-04-29-14-00,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",230,230,0,Private,2021-04-29-09-40,35,35,0,8,8,0,25,25,0,60,60,0
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-04-29-08-03,28,28,0,,,,4,4,0,32,32,0
"Gandhi Nursing Home, Uttam Nagar",97,97,0,Private,2021-04-29-08-25,29,29,0,8,8,0,1,1,0,30,30,0
"Garg Hospital, Karkardooma",36,36,0,Private,2021-04-29-00-22,3,3,0,4,4,0,,,,3,3,0
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-04-29-08-57,12,12,0,8,8,0,5,5,0,17,17,0
"Goyal Hospital, Paschim Vihar",21,21,0,Private,2021-04-29-12-56,7,7,0,,,,,,,7,7,0
