name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-28-06-58,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-28-07-41,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,557,557,0,Central Government,2021-04-28-09-49,,,,,,,40,40,0,40,40,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-27-15-51,,,,86,30,56,,,,,,
"AIIMS, Trauma Delhi",294,285,9,Central Government,2021-04-28-05-44,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",233,233,0,Private,2021-04-28-08-09,41,41,0,17,17,0,10,10,0,51,51,0
Alshifa Hospital,39,39,0,Private,2021-04-28-10-33,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-28-10-05,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-28-06-24,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-28-07-57,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,18,23,Private,2021-04-28-08-46,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-28-08-01,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-28-08-10,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-28-07-51,9,9,0,1,0,1,1,1,0,10,10,0
