name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-07-10-30,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,1,39,Private,2021-07-07-22-22,8,1,7,2,2,0,2,0,2,10,1,9,,
Ace Hospital,30,0,30,Private,2021-07-07-11-56,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-07-15-57,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-07-11-55,,,,,,,,,,,,,4,0
AIIMS Jhajjar,400,44,356,Central Government,2021-07-07-17-50,,,,,,,100,44,56,100,44,56,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-07-16-43,,,,87,70,17,,,,,,,3,2
"AIIMS, Trauma Delhi",294,62,232,Central Government,2021-07-07-16-18,,,,,,,71,29,42,71,29,42,,
"Akash Healthcare, Dwarka",133,1,132,Private,2021-07-07-23-06,14,1,13,17,17,0,40,0,40,54,1,53,0,12
All India Institute of Ayurveda,47,0,47, ,2021-07-07-07-21,,,,,,,,,,,,,7,0
Alshifa Hospital,49,14,35,Private,2021-07-07-09-30,23,3,20,,,,4,2,2,27,5,22,2,4
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-08-05-29,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-07-22-55,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-07-22-15,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",15,0,15,Private,2021-07-07-07-48,2,0,2,,,,,,,2,0,2,1,2
