name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-29-17-26,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-29-16-21,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,583,583,0,Central Government,2021-04-29-18-20,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,93,90,3,Central Government,2021-04-29-15-39,16,15,1,86,31,55,,,,16,15,1
"AIIMS, Trauma Delhi",294,289,5,Central Government,2021-04-29-16-37,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",237,237,0,Private,2021-04-29-17-13,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-04-29-15-18,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-29-17-00,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-29-17-45,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-29-16-50,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,17,24,Private,2021-04-29-17-37,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",100,100,0,Private,2021-04-29-13-57,23,23,0,,,,2,2,0,25,25,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-29-07-42,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-29-08-01,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-29-16-51,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-29-14-57,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,450,449,1,Central Government,2021-04-29-07-07,,,,17,8,9,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-04-29-08-29,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,27,13,Private,2021-04-29-08-52,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-29-15-54,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",50,45,5,Private,2021-04-29-07-58,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",92,92,0,Private,2021-04-29-17-50,13,13,0,,,,2,2,0,15,15,0
