name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,25,0,25,Private,2021-08-07-09-50,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,40,0,40,Private,2021-08-07-17-16,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-08-07-12-02,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-08-07-12-57,,,,5,0,5,5,0,5,10,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-08-07-09-55,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,5,395,Central Government,2021-08-07-17-00,,,,100,5,95,100,5,95,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-08-07-17-29,,,,,,,,,,3,0,92,77,15
"AIIMS, Trauma Delhi",294,19,275,Central Government,2021-08-07-16-08,,,,71,15,56,71,15,56,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-08-07-17-24,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,47,0,47, ,2021-08-07-10-14,,,,,,,,,,7,0,,,
Alshifa Hospital,20,0,20,Private,2021-08-07-10-48,5,0,5,4,0,4,9,0,9,9,0,10,9,1
Ambedkar Nagar hospital,200,2,198,Delhi Government,2021-08-07-16-18,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-08-07-08-13,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-08-07-17-01,,,,,,,,,,1,23,5,2,3
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-08-07-10-27,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-08-07-11-19,5,0,5,,,,5,0,5,0,6,,,
Arogya Hospital,6,0,6,Private,2021-08-07-12-56,6,0,6,,,,6,0,6,0,23,4,2,2
Arya Hospital,24,0,24,Private,2021-08-07-11-56,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-08-07-11-04,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-08-07-13-05,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-08-07-10-13,,,,,,,,,,2,18,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-08-07-08-18,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-08-07-16-30,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-08-07-08-02,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-08-07-08-46,9,0,9,1,0,1,10,0,10,0,7,1,0,1
Bara Hindurao Hospital,250,6,244,Central Government,2021-08-07-09-52,,,,14,0,14,14,0,14,2,14,4,3,1
Base Hospital Delhi Cantt,500,19,481,Central Government,2021-08-07-08-57,,,,50,3,47,50,3,47,2,12,,,
Batra Hospital,148,0,148,Private,2021-08-07-09-37,3,0,3,5,0,5,8,0,8,0,23,52,40,12
"Bensups Hospital, Dwarka",30,0,30,Private,2021-08-07-02-04,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-08-07-09-44,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-08-07-14-54,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,1,13,Private,2021-08-07-17-15,1,1,0,,,,1,1,0,6,12,5,4,1
Bimla Devi Hospital,10,0,10,Private,2021-08-07-10-29,6,0,6,,,,6,0,6,4,0,4,0,4
"BLK Hospital, Pusa Road",140,2,138,Private,2021-08-07-15-30,21,0,21,7,2,5,28,2,26,4,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-08-07-11-19,5,0,5,1,0,1,6,0,6,1,12,17,4,13
Burari Hospital,300,2,298,Delhi Government,2021-08-07-07-25,70,2,68,30,0,30,100,2,98,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-08-07-10-37,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,25,10,15,Private,2021-08-07-12-20,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-08-07-17-17,5,0,5,1,0,1,6,0,6,1,20,3,0,3
Central Hospital,16,0,16,Private,2021-08-07-16-52,,,,4,0,4,4,0,4,0,3,4,4,0
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-08-07-08-43,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,2,594,Delhi Government,2021-08-07-10-02,,,,,,,,,,2,20,,,
covid care center-Sultanpuri,1200,13,1187,Delhi Government,2021-08-07-09-15,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-08-07-09-14,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-08-07-08-17,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-08-07-17-19,,,,5,0,5,5,0,5,1,16,19,7,12
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-08-07-17-16,4,0,4,1,0,1,5,0,5,0,17,18,12,6
Deen Dayal Upadhyay hospital,100,9,91,Delhi Government,2021-08-07-16-00,,,,25,5,20,25,5,20,1,8,43,0,43
Deep Chand Bandhu,100,3,97,Delhi Government,2021-08-07-17-24,5,0,5,20,0,20,25,0,25,3,8,10,6,4
Delhi global hospital,3,0,3,Private,2021-08-07-08-33,3,0,3,,,,3,0,3,1,23,4,1,3
Delhi Golden Hospital,15,0,15,Private,2021-08-07-16-11,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-08-07-09-43,3,0,3,2,0,2,5,0,5,2,8,34,18,16
Delhi multi speciality hospital,2,0,2,Private,2021-08-07-09-12,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-08-07-16-03,13,0,13,5,0,5,18,0,18,1,8,5,5,0
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-08-07-11-14,4,0,4,1,0,1,5,0,5,0,23,5,2,3
