name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-14-09-40,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-14-14-10,8,0,8,2,2,0,2,0,2,10,0,10,,
Ace Hospital,30,0,30,Private,2021-07-14-13-18,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-14-16-01,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-07-14-10-56,,,,,,,,,,,,,7,0
AIIMS Jhajjar,400,35,365,Central Government,2021-07-14-17-26,,,,,,,100,35,65,100,35,65,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-14-16-55,,,,87,71,16,,,,,,,2,9
"AIIMS, Trauma Delhi",294,52,242,Central Government,2021-07-14-16-45,,,,,,,71,20,51,71,20,51,,
"Akash Healthcare, Dwarka",133,3,130,Private,2021-07-14-17-24,14,3,11,17,17,0,40,0,40,54,3,51,0,12
All India Institute of Ayurveda,47,0,47, ,2021-07-14-08-25,,,,,,,,,,,,,7,0
Alshifa Hospital,49,0,49,Private,2021-07-14-10-51,23,0,23,,,,4,0,4,27,0,27,6,0
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-14-17-23,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-14-16-49,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-14-16-52,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-07-14-09-26,4,0,4,4,0,4,,,,4,0,4,1,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,8,0,8,Private,2021-07-14-12-24,,,,,,,3,0,3,3,0,3,1,20
Ardent Ganpati,31,0,31,Private,2021-07-14-17-28,7,0,7,,,,,,,7,0,7,,
ARK Hospital,30,0,30,Private,2021-07-14-09-44,5,0,5,,,,,,,5,0,5,0,6
Arogya Hospital,6,0,6,Private,2021-07-14-11-42,6,0,6,4,4,0,,,,6,0,6,0,23
Arya Hospital,24,0,24,Private,2021-07-14-10-07,8,0,8,14,0,14,2,0,2,10,0,10,4,0
Ashray Medical Centre,12,0,12,Private,2021-07-14-11-21,2,0,2,,,,,,,2,0,2,1,23
Asian Multispeciality Hospital,15,0,15,Private,2021-07-14-09-50,,,,,,,,,,,,,4,0
Astha Hospital,10,0,10,Private,2021-07-14-14-06,,,,,,,,,,,,,2,18
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-14-15-06,18,0,18,20,20,0,2,0,2,20,0,20,0,23
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-14-16-13,7,0,7,,,,1,0,1,8,0,8,0,23
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-14-07-56,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-14-08-47,9,0,9,1,0,1,1,0,1,10,0,10,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-07-14-08-47,8,0,8,,,,2,0,2,10,0,10,,
Bara Hindurao Hospital,250,3,247,Central Government,2021-07-14-10-11,,,,4,0,4,10,0,10,10,0,10,3,0
Base Hospital Delhi Cantt,500,23,477,Central Government,2021-07-14-07-15,,,,,,,50,4,46,50,4,46,2,12
Batra Hospital,300,0,300,Private,2021-07-14-11-51,18,0,18,12,12,0,15,0,15,33,0,33,0,23
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-14-11-52,12,0,12,,,,3,0,3,15,0,15,5,10
BH SALVAS HOSPITAL,10,10,0,Private,2021-07-14-13-51,2,2,0,10,10,0,1,1,0,3,3,0,0,20
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-07-14-09-08,13,0,13,,,,2,0,2,15,0,15,0,10
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-07-14-15-06,1,0,1,5,5,0,,,,1,0,1,1,12
Bimla Devi Hospital,10,0,10,Private,2021-07-14-08-27,,,,6,1,5,,,,,,,4,0
"BLK Hospital, Pusa Road",140,5,135,Private,2021-07-14-13-31,21,3,18,90,90,0,7,1,6,28,4,24,10,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-07-14-06-46,1,0,1,10,6,4,2,0,2,3,0,3,3,6
Burari Hospital,300,0,300,Delhi Government,2021-07-14-16-57,70,0,70,,,,30,0,30,100,0,100,7,12
C M PATEL HOSPITAL,15,0,15,Private,2021-07-14-10-51,,,,,,,,,,,,,2,23
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,,,,7,0
CBR Hospital,25,10,15,Private,2021-07-14-15-25,3,3,0,,,,,,,3,3,0,1,7
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-07-14-16-04,5,0,5,3,0,3,1,0,1,6,0,6,1,20
