name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-09-03-09-31,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-09-03-09-37,1,0,1,1,0,1,2,0,5,2,3,,,
Ace Hospital,6,0,6,Private,2021-06-02-15-13,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-09-03-10-20,,,,,,,6,0,,,,,,
AIIMS Main Delhi,38,26,12,Central Government,2021-09-03-10-27,,,,,,,4,8,133,92,41,,,
"AIIMS, Trauma Delhi",21,0,21,Central Government,2021-09-03-05-38,,,,21,0,21,,,,,,21,0,21
"Akash Healthcare, Dwarka",20,3,17,Private,2021-09-03-17-09,5,2,3,7,3,4,0,16,44,31,13,2,1,1
Alshifa Hospital,18,0,18,Private,2021-09-03-10-50,6,0,6,8,0,8,5,0,14,2,12,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-09-03-16-47,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-09-03-07-55,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,1,9,Private,2021-09-02-07-51,3,0,3,3,0,3,1,23,5,2,3,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-09-03-09-40,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-09-03-10-41,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-09-03-02-22,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-09-03-09-25,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-09-03-00-20,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-09-03-10-13,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-09-03-10-06,,,,,,,0,7,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-09-03-09-22,,,,14,0,14,7,0,8,7,1,14,0,14
Base Hospital Delhi Cantt,500,2,498,Central Government,2021-09-03-08-34,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,0,50,Private,2021-09-03-09-52,9,0,9,11,0,11,0,23,99,55,44,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-09-03-07-24,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-09-03-09-21,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,1,8,Private,2021-09-03-14-09,2,0,2,3,0,3,2,17,7,5,2,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-09-03-08-20,2,0,2,3,0,3,0,10,17,12,5,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-09-03-08-37,1,0,1,1,0,1,6,12,5,0,5,,,
Bimla Devi Hospital,10,0,10,Private,2021-09-03-08-57,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,4,43,Private,2021-09-03-07-41,9,2,7,12,2,10,1,0,106,106,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",31,0,31,Private,2021-09-03-10-14,1,0,1,1,0,1,2,12,3,3,0,,,
Burari Hospital,600,1,599,Delhi Government,2021-09-03-08-29,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-09-03-00-44,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-09-03-14-21,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-09-03-16-55,,,,2,0,2,0,4,6,3,3,2,0,2
