name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-01-29-16-01,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,19,0,19,Private,2021-01-29-17-23,4,0,4,5,0,5,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-01-29-11-22,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,1,9,Private,2021-01-29-09-32,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,100,32,68,Central Government,2021-01-29-16-42,,,,15,15,0,2,4,93,65,28,15,15,0
"AIIMS, Trauma Delhi",265,192,73,Central Government,2021-01-29-05-42,,,,71,69,2,,,,,,71,69,2
"Akash Healthcare, Dwarka",79,24,55,Private,2021-01-29-16-58,14,9,5,24,11,13,0,16,44,31,13,10,2,8
Alshifa Hospital,18,1,17,Private,2021-01-29-09-16,4,0,4,6,0,6,2,0,11,5,6,2,0,2
Ambedkar Nagar hospital,300,6,294,Delhi Government,2021-01-29-17-28,40,2,38,50,2,48,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-01-29-15-03,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-01-29-07-23,5,0,5,5,0,5,1,23,5,2,3,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-01-29-15-27,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arogya Hospital,4,0,4,Private,2021-01-29-11-32,,,,,,,0,21,4,3,1,,,
Arya Hospital,24,0,24,Private,2021-01-29-13-30,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-01-29-14-15,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-01-29-14-32,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",41,16,25,Private,2021-01-29-01-24,8,2,6,10,3,7,0,18,20,15,5,2,1,1
"B.M. Gupta Hospital, Uttam Nagar",40,1,39,Private,2021-01-29-17-03,2,0,2,3,0,3,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-01-29-15-08,,,,,,,0,7,,,,,,
