name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-03-04-08-46,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-03-04-08-57,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-03-04-05-45,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-03-04-09-08,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,11,0,11,Central Government,2021-03-04-17-45,,,,,,,5,18,108,70,38,,,
"AIIMS, Trauma Delhi",265,4,261,Central Government,2021-03-04-16-51,,,,71,4,67,,,,,,71,4,67
"Akash Healthcare, Dwarka",20,3,17,Private,2021-03-04-15-52,3,0,3,5,0,5,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-03-04-09-49,3,0,3,5,0,5,5,0,11,2,9,2,0,2
Ambedkar Nagar hospital,300,0,300,Delhi Government,2021-03-05-04-31,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-03-04-09-53,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-03-04-10-21,5,0,5,5,0,5,1,23,5,0,5,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-03-04-09-37,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-03-04-10-39,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-03-04-13-02,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-03-04-10-48,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-03-04-01-41,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-03-05-02-00,1,0,1,2,0,2,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-03-04-11-17,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-03-04-09-56,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-03-04-11-59,,,,14,0,14,3,0,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,14,486,Central Government,2021-03-04-06-40,,,,50,4,46,2,12,,,,50,4,46
Batra Hospital,50,0,50,Private,2021-03-04-09-20,9,0,9,11,0,11,0,23,99,45,54,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-03-04-10-55,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-03-04-10-41,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,0,34,Private,2021-03-04-18-18,6,0,6,7,0,7,2,13,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-04-09-02,1,0,1,1,0,1,0,20,10,1,9,,,
"Bhagwati Hospital, Rohini",10,1,9,Private,2021-03-04-17-05,2,0,2,3,0,3,0,10,17,13,4,1,0,1
"Bhatia Global Hospital, Paschim Vihar",20,0,20,Private,2021-03-04-17-29,2,0,2,2,0,2,6,12,4,2,2,,,
Bimla Devi Hospital,10,0,10,Private,2021-03-04-13-14,5,0,5,7,0,7,4,0,7,0,7,2,0,2
"BLK Hospital, Pusa Road",47,3,44,Private,2021-03-05-03-31,9,1,8,12,2,10,5,0,106,100,6,3,1,2
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-03-04-14-14,4,0,4,5,0,5,2,12,7,5,2,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-03-04-08-59,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-03-04-01-00,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-03-04-14-22,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,1,3,Private,2021-03-04-20-36,,,,2,1,1,0,3,6,5,1,2,1,1
"Cygnus MLS, Rama Vihar",9,0,9,Private,2021-03-04-14-35,1,0,1,1,0,1,75,0,15,4,11,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-03-05-00-10,,,,1,0,1,0,17,18,9,9,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-03-05-00-02,,,,,,,6,6,43,43,0,,,
Deep Chand Bandhu,50,0,50,Delhi Government,2021-03-04-17-54,,,,,,,3,15,10,2,8,,,
Delhi global hospital,3,0,3,Private,2021-03-04-06-22,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-03-04-11-41,1,0,1,2,0,2,4,9,37,18,19,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-03-04-08-54,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-03-04-16-14,,,,5,0,5,1,8,21,20,1,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-03-04-10-22,4,0,4,5,0,5,3,16,5,0,5,1,0,1
Divine Multispeciality Hospital and Cancer Centre,10,2,8,Private,2021-03-04-11-26,,,,,,,,,,,,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",22,0,22,Private,2021-03-04-08-39,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,3,47,Delhi Government,2021-03-04-10-42,,,,6,3,3,4,0,24,16,8,6,3,3
Dr Rakesh Multispeciality Hospital,2,0,2,Private,2021-03-03-10-15,,,,1,0,1,1,0,,,,1,0,1
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",20,0,20,Private,2021-03-04-21-25,,,,,,,1,4,,,,,,
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-03-04-10-57,1,0,1,1,0,1,2,20,5,0,5,,,
ESIC Hospital Jhilmil,18,0,18,Central Government,2021-03-04-12-47,,,,,,,3,19,5,5,0,,,
ESIC hospital Okhla,48,0,48,Central Government,2021-03-04-09-29,,,,2,0,2,14,0,15,7,8,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,0,31,Private,2021-03-04-16-14,4,0,4,7,0,7,2,3,16,13,3,3,0,3
"Fortis Hospital, Shalimar Bagh",26,1,25,Private,2021-03-04-18-40,4,0,4,6,0,6,4,23,72,69,3,2,0,2
"Fortis SS Hospital, Vasant Kunj",64,0,64,Private,2021-03-05-01-11,18,0,18,22,0,22,2,23,33,23,10,4,0,4
Galaxy Hospital,8,0,8,Private,2021-03-04-09-14,1,0,1,1,0,1,4,6,2,0,2,,,
"Gandhi Nursing Home, Uttam Nagar",6,0,6,Private,2021-03-04-08-11,1,0,1,2,0,2,1,12,15,0,15,1,0,1
"Garg Hospital, Karkardooma",5,0,5,Private,2021-03-05-01-00,,,,,,,7,0,4,4,0,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",10,0,10,Private,2021-03-04-07-32,7,0,7,8,0,8,1,23,10,6,4,1,0,1
"Goyal Hospital, Paschim Vihar",12,0,12,Private,2021-03-04-17-19,7,0,7,7,0,7,0,12,,,,,,
GTB Hospital,100,0,100,Delhi Government,2021-03-04-23-11,,,,,,,4,9,8,6,2,,,
Gupta Multispecialty Hospital,14,0,14,Private,2021-03-04-13-39,,,,,,,2,0,4,0,4,,,
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-03-05-02-29,2,0,2,2,0,2,3,23,4,0,4,,,
"HAHC Hospital, Hamdard Nagar",230,0,230,Private,2021-03-04-08-29,11,0,11,16,0,16,1,4,29,7,22,5,0,5
HANDA NURSING HOME,4,0,4,Private,2021-03-04-07-30,,,,,,,1,18,6,0,6,,,
