name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-06-10-13,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-06-22-40,8,0,8,2,2,0,2,0,2,10,0,10,,
Ace Hospital,30,0,30,Private,2021-07-06-11-24,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-06-17-54,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-06-10-47,,,,,,,,,,,,,4,0
AIIMS Jhajjar,400,44,356,Central Government,2021-07-06-17-11,,,,,,,100,44,56,100,44,56,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-06-17-51,,,,87,65,22,,,,,,,3,19
"AIIMS, Trauma Delhi",294,62,232,Central Government,2021-07-06-16-35,,,,,,,71,30,41,71,30,41,,
"Akash Healthcare, Dwarka",133,0,133,Private,2021-07-06-21-50,14,0,14,17,17,0,40,0,40,54,0,54,0,11
All India Institute of Ayurveda,47,0,47, ,2021-07-06-10-27,,,,,,,,,,,,,7,0
Alshifa Hospital,49,23,26,Private,2021-07-06-09-32,23,1,22,,,,4,2,2,27,3,24,3,4
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-07-05-22,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-07-00-56,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-06-23-48,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",15,0,15,Private,2021-07-06-08-11,2,0,2,,,,,,,2,0,2,1,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-07-06-09-38,,,,,,,3,0,3,3,0,3,1,20
Ardent Ganpati,31,0,31,Private,2021-07-06-17-32,7,0,7,,,,,,,7,0,7,,
ARK Hospital,30,0,30,Private,2021-07-06-05-58,5,0,5,,,,,,,5,0,5,0,6
Arogya Hospital,6,0,6,Private,2021-07-06-13-23,6,0,6,4,3,1,,,,6,0,6,0,20
Arya Hospital,24,0,24,Private,2021-07-06-13-35,8,0,8,14,0,14,2,0,2,10,0,10,4,0
Ashray Medical Centre,12,0,12,Private,2021-07-06-10-41,2,0,2,,,,,,,2,0,2,1,23
Asian Multispeciality Hospital,15,0,15,Private,2021-07-06-09-16,,,,,,,,,,,,,4,0
Astha Hospital,10,0,10,Private,2021-07-06-11-04,,,,,,,,,,,,,2,18
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-06-22-02,18,0,18,20,20,0,2,0,2,20,0,20,0,23
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-06-20-12,7,0,7,,,,1,0,1,8,0,8,0,23
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-06-08-03,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-06-08-12,9,0,9,1,0,1,1,0,1,10,0,10,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-07-06-09-02,8,0,8,,,,2,0,2,10,0,10,,
Bara Hindurao Hospital,250,10,240,Central Government,2021-07-06-10-21,4,0,4,4,0,4,10,1,9,14,1,13,14,0
Base Hospital Delhi Cantt,500,18,482,Central Government,2021-07-06-07-36,,,,,,,50,5,45,50,5,45,2,12
Batra Hospital,300,0,300,Private,2021-07-06-11-18,18,0,18,12,12,0,15,0,15,33,0,33,0,23
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-06-18-28,12,0,12,,,,3,0,3,15,0,15,5,10
BH SALVAS HOSPITAL,40,30,10,Private,2021-07-06-09-28,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-07-06-09-01,13,0,13,,,,2,0,2,15,0,15,0,10
"Bhatia Global Hospital, Paschim Vihar",33,0,33,Private,2021-07-06-17-30,3,0,3,3,3,0,,,,3,0,3,3,12
Bimla Devi Hospital,10,0,10,Private,2021-07-06-11-54,,,,6,2,4,,,,,,,4,0
"BLK Hospital, Pusa Road",140,7,133,Private,2021-07-07-05-30,21,0,21,90,90,0,7,2,5,28,2,26,5,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-07-06-23-55,1,0,1,8,7,1,2,0,2,3,0,3,2,18
Burari Hospital,300,2,298,Delhi Government,2021-07-06-18-33,70,2,68,,,,30,0,30,100,2,98,3,14
C M PATEL HOSPITAL,15,0,15,Private,2021-07-06-10-37,,,,,,,,,,,,,2,23
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,,,,7,0
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-07-06-09-53,,,,,,,,,,,,,0,12
CBR Hospital,25,10,15,Private,2021-07-06-11-24,3,3,0,,,,,,,3,3,0,1,7
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-07-06-17-38,4,0,4,3,0,3,1,0,1,5,0,5,1,20
Central Hospital,16,0,16,Private,2021-07-07-00-40,,,,4,4,0,4,0,4,4,0,4,0,3
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-07-06-13-13,,,,,,,,,,,,,27,13
"Covid Care Center- Sardar Patel, Chattrpur",596,5,591,Delhi Government,2021-07-06-16-37,,,,,,,,,,,,,1,20
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-07-06-14-00,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,3,47,Delhi Government,2021-07-06-14-39,,,,,,,,,,,,,5,23
Cronus Multi speciality Hospital,10,0,10,Private,2021-07-06-14-07,5,0,5,,,,,,,5,0,5,1,8
"Cygnus MLS, Rama Vihar",60,0,60,Private,2021-07-06-20-38,19,0,19,,,,5,0,5,24,0,24,0,3
"Cygnus Sonia Hospital, Nangloi",68,1,67,Private,2021-07-06-21-13,26,1,25,,,,5,0,5,31,1,30,0,17
Deen Dayal Upadhyay hospital,100,8,92,Delhi Government,2021-07-07-05-00,,,,43,0,43,25,7,18,25,7,18,1,12
Deep Chand Bandhu,100,11,89,Delhi Government,2021-07-07-04-00,5,-2,7,10,1,9,20,6,14,25,4,21,4,13
Delhi global hospital,14,3,11,Private,2021-07-06-18-04,3,0,3,3,0,3,,,,3,0,3,1,23
Delhi Golden Hospital,15,0,15,Private,2021-07-06-22-38,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-07-06-10-32,3,0,3,34,17,17,2,0,2,5,0,5,3,8
Delhi multi speciality hospital,11,0,11,Private,2021-07-06-17-54,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-07-07-00-12,13,0,13,5,5,0,5,0,5,18,0,18,1,8
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-07-06-11-12,4,0,4,5,3,2,1,0,1,5,0,5,0,23
Divine Multispeciality Hospital and Cancer Centre,35,10,25,Private,2021-07-06-11-03,16,2,14,9,3,6,10,1,9,26,3,23,0,22
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,1,19,Private,2021-07-06-21-52,,,,8,8,0,2,1,1,2,1,1,1,20
