name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-01-20-02,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,102,102,0,Delhi Government,2021-05-01-17-07,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,593,593,0,Central Government,2021-05-01-18-05,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,117,99,18,Central Government,2021-05-01-13-40,29,24,5,86,30,56,,,,29,24,5
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-05-02-06-29,,,,,,,71,68,3,71,68,3
"Akash Healthcare, Dwarka",246,246,0,Private,2021-05-01-17-29,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-01-16-13,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-02-02-54,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-02-06-48,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-01-07-29,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,16,25,Private,2021-05-01-13-45,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-01-19-18,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-01-09-30,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-01-17-55,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-05-01-08-15,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-01-23-21,8,8,0,2,2,0,2,2,0,10,10,0
