name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,13,9,Private,2021-05-24-09-18,3,1,2,2,2,0,5,3,2,0,8,,,
AASTHA HOSPITAL,40,8,32,Private,2021-05-24-09-41,8,1,7,2,1,1,10,2,8,0,7,2,1,1
Ace Hospital,20,0,20,Private,2021-05-23-13-10,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,23,127,Delhi Government,2021-05-24-10-25,,,,30,8,22,30,8,22,2,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-05-24-08-46,,,,,,,,,,1,0,,,
AIIMS Jhajjar,400,197,203,Central Government,2021-05-24-09-38,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,143,159,Central Government,2021-05-24-10-15,29,29,0,43,37,6,72,66,6,0,8,72,36,36
"AIIMS, Trauma Delhi",294,257,37,Central Government,2021-05-24-05-45,,,,71,59,12,71,59,12,,,,,
"Akash Healthcare, Dwarka",160,160,0,Private,2021-05-24-06-51,14,14,0,40,40,0,54,54,0,0,14,17,17,0
Alshifa Hospital,50,22,28,Private,2021-05-24-11-10,15,9,6,4,3,1,19,12,7,2,14,,,
Ambedkar Nagar hospital,525,52,473,Delhi Government,2021-05-24-11-21,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-05-24-11-14,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,12,28,Private,2021-05-24-10-18,3,3,0,2,2,0,5,5,0,0,23,,,
"Apex City Hospital, West Vinod Nagar",28,2,26,Private,2021-05-24-07-29,4,0,4,,,,4,0,4,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-24-09-24,,,,3,0,3,3,0,3,1,8,,,
Ardent Ganpati,31,3,28,Private,2021-05-24-09-59,7,3,4,,,,7,3,4,,,,,
ARK Hospital,30,0,30,Private,2021-05-23-08-07,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,20,10,10,Private,2021-05-24-11-32,10,6,4,,,,10,6,4,0,20,,,
Arya Hospital,24,3,21,Private,2021-05-24-10-28,8,0,8,2,0,2,10,0,10,4,23,,,
Ashray Medical Centre,12,0,12,Private,2021-05-24-10-55,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-24-09-44,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-05-24-09-53,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",100,61,39,Private,2021-05-24-10-09,25,20,5,5,5,0,30,25,5,0,8,,,
"B.M. Gupta Hospital, Uttam Nagar",70,17,53,Private,2021-05-24-10-39,19,11,8,1,0,1,20,11,9,0,6,,,
"Bansal Global Hospital, Jahangirpuri",60,9,51,Private,2021-05-24-08-23,9,2,7,1,0,1,10,2,8,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,14,26,Private,2021-05-24-08-54,8,1,7,2,2,0,10,3,7,,,,,
Bara Hindurao Hospital,250,102,148,Central Government,2021-05-24-09-45,,,,10,10,0,10,10,0,2,9,,,
Base Hospital Delhi Cantt,300,240,60,Central Government,2021-05-24-09-16,,,,50,48,2,50,48,2,1,12,,,
Batra Hospital,300,90,210,Private,2021-05-24-09-36,18,12,6,15,15,0,33,27,6,0,23,12,12,0
"Bensups Hospital, Dwarka",40,10,30,Private,2021-05-24-08-00,12,0,12,3,3,0,15,3,12,1,15,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-05-24-08-43,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,50,31,Private,2021-05-24-10-01,23,20,3,5,5,0,28,25,3,0,22,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,16,24,Private,2021-05-24-08-04,10,10,0,1,1,0,11,11,0,0,12,,,
"Bhagwati Hospital, Rohini",130,18,112,Private,2021-05-24-09-04,13,9,4,2,2,0,15,11,4,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",36,11,25,Private,2021-05-24-10-03,6,4,2,,,,6,4,2,0,8,,,
Bimla Devi Hospital,27,0,27,Private,2021-05-23-13-20,,,,,,,,,,3,0,3,2,1
"BLK Hospital, Pusa Road",317,133,184,Private,2021-05-24-11-30,64,64,0,11,11,0,75,75,0,1,0,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,20,60,Private,2021-05-24-07-58,9,5,4,2,1,1,11,6,5,0,23,,,
Burari Hospital,700,105,595,Delhi Government,2021-05-24-10-03,85,75,10,30,30,0,115,105,10,1,7,,,
C M PATEL HOSPITAL,15,2,13,Private,2021-05-24-07-34,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,3,24,Central Government,2021-05-23-10-18,,,,,,,,,,4,23,,,
CAREWELL MEDICAL CENTRE,8,4,4,Private,2021-05-24-08-44,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-05-24-11-26,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,5,35,Private,2021-05-24-09-41,4,3,1,1,1,0,5,4,1,0,20,3,0,3
Central Hospital,31,24,7,Private,2021-05-24-10-21,4,3,1,4,3,1,8,6,2,0,3,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,77,323,Delhi Government,2021-05-24-11-10,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,30,770,Delhi Government,2021-05-24-09-58,,,,,,,,,,17,5,,,
