name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-12-30-08-56,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,10,0,10,Private,2021-12-30-17-19,5,0,5,5,0,5,2,0,5,2,3,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-12-30-11-56,,,,5,0,5,12,0,,,,5,0,5
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-12-30-10-31,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
"AIIMS, Trauma Delhi",21,13,8,Central Government,2021-12-30-17-03,,,,21,13,8,,,,,,21,13,8
"Akash Healthcare, Dwarka",20,0,20,Private,2021-12-30-06-19,10,0,10,10,0,10,0,16,58,0,58,,,
All India Institute of Ayurveda,10,0,10, ,2021-12-30-11-04,,,,,,,7,0,,,,,,
Alshifa Hospital,18,0,18,Private,2021-12-30-09-16,4,0,4,6,0,6,8,0,11,3,8,2,0,2
Ambedkar Nagar hospital,135,6,129,Delhi Government,2021-12-30-17-13,,,,,,,1,0,,,,,,
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-12-30-09-53,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-12-30-12-09,,,,,,,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-12-30-09-39,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-12-30-12-43,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-12-30-00-48,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-12-30-10-55,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-12-30-02-47,18,0,18,20,0,20,0,23,20,20,0,2,0,2
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-12-30-15-15,1,0,1,2,0,2,0,23,,,,1,0,1
Balak Ram Hospital,25,0,25,Delhi Government,2021-12-30-12-33,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-12-30-10-12,,,,14,0,14,4,0,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,49,451,Central Government,2021-12-30-06-27,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,11,39,Private,2021-12-30-09-56,3,0,3,8,0,8,0,23,102,56,46,5,0,5
"Bensups Hospital, Dwarka",30,0,30,Private,2021-12-30-08-47,22,0,22,25,0,25,5,10,,,,3,0,3
BH SALVAS HOSPITAL,10,0,10,Private,2021-12-30-09-13,2,0,2,3,0,3,0,20,10,0,10,1,0,1
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-12-30-14-47,1,0,1,2,0,2,0,10,18,14,4,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-12-30-17-09,1,0,1,1,0,1,6,12,5,1,4,,,
Bimla Devi Hospital,10,0,10,Private,2021-12-30-09-05,,,,,,,4,0,6,0,6,,,
"BLK Hospital, Pusa Road",44,3,41,Private,2021-12-30-15-30,6,0,6,9,0,9,6,0,90,90,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",10,0,10,Private,2021-12-30-14-30,,,,1,0,1,2,12,19,6,13,1,0,1
Burari Hospital,200,2,198,Delhi Government,2021-12-30-09-10,40,2,38,70,2,68,7,12,30,0,30,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-12-30-14-01,,,,,,,2,23,,,,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,7,0,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-12-30-15-23,5,0,5,6,0,6,3,2,3,0,3,1,0,1
