name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,39,1,Private,2021-05-12-07-06,8,7,1,2,2,0,2,2,0,10,9,1,0,7
Acharyashree Bhikshu Govt. Hospital,130,54,76,Delhi Government,2021-05-12-07-31,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,400,376,24,Central Government,2021-05-11-18-41,,,,,,,100,100,0,100,100,0,0,9
AIIMS Main Delhi,301,212,89,Central Government,2021-05-11-17-31,72,67,5,72,39,33,,,,72,67,5,0,13
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-05-12-05-43,,,,,,,71,68,3,71,68,3,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-12-07-41,14,14,0,17,17,0,40,40,0,54,54,0,0,12
Alshifa Hospital,47,46,1,Private,2021-05-11-11-31,16,16,0,,,,3,3,0,19,19,0,1,13
Ambedkar Nagar hospital,300,242,58,Delhi Government,2021-05-12-08-38,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-12-08-33,1,0,1,,,,,,,1,0,1,0,14
"Ansari Hospital, Sagarpur",40,23,17,Private,2021-05-12-07-23,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-12-07-32,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-12-07-51,,,,,,,3,0,3,3,0,3,1,8
Ardent Ganpati,31,14,17,Private,2021-05-11-17-42,7,7,0,,,,,,,7,7,0,,
ARK Hospital,30,13,17,Private,2021-05-12-07-24,5,3,2,20,0,20,,,,5,3,2,1,4
Arogya Hospital,30,24,6,Private,2021-05-11-10-18,10,10,0,,,,,,,10,10,0,0,15
Arya Hospital,24,24,0,Private,2021-05-11-18-54,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-11-17-50,,,,,,,,,,,,,,
Astha Hospital,10,2,8,Private,2021-05-11-15-19,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,110,8,Private,2021-05-12-07-45,23,23,0,,,,7,7,0,30,30,0,0,4
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-12-07-54,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",60,34,26,Private,2021-05-12-07-31,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-12-07-28,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,235,15,Central Government,2021-05-11-14-56,,,,,,,10,10,0,10,10,0,2,2
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-12-07-03,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,250,10,Private,2021-05-12-08-32,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,28,12,Private,2021-05-12-07-24,12,12,0,,,,3,3,0,15,15,0,1,2
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-11-10-59,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-12-07-03,23,23,0,,,,5,5,0,28,28,0,1,2
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,36,4,Private,2021-05-12-07-53,10,10,0,,,,1,1,0,11,11,0,0,10
"Bhagwati Hospital, Rohini",130,72,58,Private,2021-05-12-07-55,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,33,3,Private,2021-05-12-07-30,10,10,0,,,,,,,10,10,0,0,2
Bimla Devi Hospital,27,23,4,Private,2021-05-12-08-21,,,,6,6,0,,,,,,,1,0
"BLK Hospital, Pusa Road",285,248,37,Private,2021-05-12-07-30,68,68,0,69,64,5,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,74,6,Private,2021-05-12-07-46,10,10,0,,,,1,1,0,11,11,0,0,10
Burari Hospital,370,236,134,Delhi Government,2021-05-11-08-27,40,40,0,,,,30,30,0,70,70,0,0,20
C M PATEL HOSPITAL,15,7,8,Private,2021-05-11-17-16,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,2,6,Private,2021-05-12-08-07,,,,,,,,,,,,,0,10
CBR Hospital,25,18,7,Private,2021-05-11-14-24,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,18,22,Private,2021-05-12-08-24,8,8,0,,,,1,1,0,9,9,0,0,5
Central Hospital,31,31,0,Private,2021-05-12-06-45,4,4,0,,,,4,4,0,8,8,0,0,3
Cronus Multi speciality Hospital,12,11,1,Private,2021-05-12-02-50,2,2,0,,,,,,,2,2,0,1,15
"Cygnus MLS, Rama Vihar",70,70,0,Private,2021-05-11-14-22,19,19,0,,,,5,5,0,24,24,0,0,3
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-12-07-53,26,26,0,,,,5,5,0,31,31,0,0,3
Deen Dayal Upadhyay hospital,500,393,107,Delhi Government,2021-05-12-07-48,150,150,0,33,22,11,50,50,0,200,200,0,0,7
Deep Chand Bandhu,230,202,28,Delhi Government,2021-05-12-08-13,67,67,0,,,,14,14,0,81,81,0,0,9
Delhi global hospital,14,6,8,Private,2021-05-11-18-38,,,,,,,,,,,,,1,23
Delhi Golden Hospital,15,0,15,Private,2021-05-11-21-41,,,,,,,,,,,,,1,1
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-11-22-20,22,22,0,12,12,0,5,5,0,27,27,0,0,8
Delhi multi speciality hospital,11,3,8,Private,2021-05-12-06-32,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,100,60,Private,2021-05-11-19-22,15,15,0,5,5,0,3,3,0,18,18,0,0,22
"Dharamvir Solanki Hospital, Rohini",24,22,2,Private,2021-05-11-19-38,10,10,0,,,,1,1,0,11,11,0,0,6
Divine Multispeciality Hospital and Cancer Centre,35,22,13,Private,2021-05-11-21-05,23,14,9,,,,7,6,1,30,20,10,0,10
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-05-11-17-43,10,10,0,,,,2,2,0,12,12,0,1,10
Dr Baba Saheb Ambedkar Hospital,400,360,40,Delhi Government,2021-05-12-01-19,170,170,0,,,,30,30,0,200,200,0,1,0
Dr Rakesh Multispeciality Hospital,15,12,3,Private,2021-05-11-10-27,5,5,0,,,,1,1,0,6,6,0,1,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,20,16,Private,2021-05-12-07-06,,,,,,,,,,,,,0,14
East Delhi Medical Centre Mansarover Park,40,35,5,Private,2021-05-12-00-17,10,10,0,,,,,,,10,10,0,0,6
Ekansh Hospital,8,2,6,Private,2021-05-11-13-28,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,55,40,15,Central Government,2021-05-11-21-33,,,,,,,5,5,0,5,5,0,1,0
ESIC hospital Okhla,233,168,65,Central Government,2021-05-12-07-58,,,,,,,10,10,0,10,10,0,1,0
"Fortis Escorts Heart Institute, Okhla",112,112,0,Private,2021-05-12-07-01,55,55,0,16,11,5,5,5,0,60,60,0,1,16
"Fortis Hospital, Shalimar Bagh",230,230,0,Private,2021-05-11-17-38,33,33,0,8,8,0,27,27,0,60,60,0,0,18
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-05-12-07-05,8,8,0,,,,12,12,0,20,20,0,1,23
"Gandhi Nursing Home, Uttam Nagar",98,98,0,Private,2021-05-12-08-30,35,35,0,8,8,0,1,1,0,36,36,0,1,6
"Garg Hospital, Karkardooma",36,22,14,Private,2021-05-11-19-21,4,4,0,,,,,,,4,4,0,0,6
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-05-12-08-14,12,12,0,8,8,0,5,5,0,17,17,0,1,18
"Goyal Hospital, Paschim Vihar",24,24,0,Private,2021-05-11-22-26,7,7,0,,,,,,,7,7,0,0,4
GTB Hospital,750,600,150,Delhi Government,2021-05-12-07-17,272,272,0,,,,128,128,0,400,400,0,0,23
Gupta Multispecialty Hospital,14,5,9,Private,2021-05-11-12-47,,,,,,,,,,,,,1,0
"Gupta Multispecialty Hospital, Vivek Vihar",50,50,0,Private,2021-05-11-20-33,6,6,0,,,,,,,6,6,0,0,8
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,44,154,Delhi Government,2021-05-12-07-43,,,,,,,,,,,,,2,0
"HAHC Hospital, Hamdard Nagar",376,85,291,Private,2021-05-12-03-49,15,15,0,6,1,5,10,10,0,25,25,0,0,21
HANDA NURSING HOME,12,6,6,Private,2021-05-11-18-59,,,,,,,,,,,,,1,10
