name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-11-06-58,8,8,0,2,2,0,2,2,0,10,10,0,0,7
Acharyashree Bhikshu Govt. Hospital,130,61,69,Delhi Government,2021-05-11-07-51,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,407,407,0,Central Government,2021-05-10-18-22,,,,,,,100,100,0,100,100,0,0,17
AIIMS Main Delhi,300,201,99,Central Government,2021-05-10-17-31,72,67,5,72,37,35,,,,72,67,5,0,10
"AIIMS, Trauma Delhi",294,290,4,Central Government,2021-05-11-05-36,,,,,,,71,69,2,71,69,2,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-11-07-25,16,16,0,17,17,0,38,38,0,54,54,0,0,12
Alshifa Hospital,47,47,0,Private,2021-05-10-18-35,16,16,0,,,,3,3,0,19,19,0,1,8
Ambedkar Nagar hospital,300,276,24,Delhi Government,2021-05-11-06-33,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-11-07-03,1,0,1,,,,,,,1,0,1,0,12
"Ansari Hospital, Sagarpur",40,24,16,Private,2021-05-11-07-30,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-10-07-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-11-07-41,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,13,18,Private,2021-05-10-19-40,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,20,10,Private,2021-05-10-10-51,10,10,0,,,,,,,10,10,0,0,16
Arya Hospital,24,24,0,Private,2021-05-11-08-34,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,1,14,Private,2021-05-10-17-04,,,,,,,,,,,,,1,16
Astha Hospital,10,0,10,Private,2021-05-10-15-40,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-11-07-10,23,23,0,,,,7,7,0,30,30,0,0,8
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-11-07-30,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",60,34,26,Private,2021-05-11-08-18,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-11-07-30,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,242,8,Central Government,2021-05-10-21-05,,,,,,,10,10,0,10,10,0,1,12
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-11-07-16,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,260,0,Private,2021-05-11-07-48,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,29,11,Private,2021-05-11-08-16,12,12,0,,,,3,3,0,15,15,0,0,20
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-10-10-03,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-11-06-04,23,23,0,,,,5,5,0,28,28,0,0,22
