name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-03-17-40,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-05-03-08-42,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,514,514,0,Central Government,2021-05-03-18-34,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,167,128,39,Central Government,2021-05-03-15-50,29,26,3,86,36,50,,,,29,26,3
"AIIMS, Trauma Delhi",294,294,0,Central Government,2021-05-03-17-05,,,,,,,71,71,0,71,71,0
"Akash Healthcare, Dwarka",250,250,0,Private,2021-05-03-17-41,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-03-17-07,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-03-21-17,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-03-16-01,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-03-16-21,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,14,27,Private,2021-05-03-09-43,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-03-20-45,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-03-17-21,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-03-17-39,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,25,18,Private,2021-05-03-08-06,9,1,8,1,0,1,1,1,0,10,2,8
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-03-20-42,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-03-15-08,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-05-03-09-08,,,,,,,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-05-03-14-27,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,20,20,Private,2021-05-03-18-29,12,12,0,,,,3,3,0,15,15,0
BH SALVAS HOSPITAL,40,16,24,Private,2021-05-03-19-12,7,4,3,5,0,5,1,1,0,8,5,3
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-03-17-15,23,23,0,,,,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",45,45,0,Private,2021-05-03-07-47,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",105,90,15,Private,2021-05-03-17-54,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",38,38,0,Private,2021-05-03-19-09,8,8,0,,,,,,,8,8,0
Bimla Devi Hospital,27,25,2,Private,2021-05-03-14-43,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",270,234,36,Private,2021-05-03-19-56,68,68,0,69,45,24,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-05-03-09-23,10,10,0,,,,1,1,0,11,11,0
Burari Hospital,370,370,0,Delhi Government,2021-05-03-19-56,40,40,0,,,,30,30,0,70,70,0
C M PATEL HOSPITAL,15,15,0,Private,2021-05-01-17-01,,,,,,,,,,,,
CBR Hospital,25,13,12,Private,2021-05-03-11-32,2,2,0,,,,1,1,0,3,3,0
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-05-03-18-46,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-05-03-23-15,2,2,0,,,,,,,2,2,0
"Cygnus MLS, Rama Vihar",54,54,0,Private,2021-05-03-12-59,7,7,0,,,,5,5,0,12,12,0
