name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-10-22-25,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,61,69,Delhi Government,2021-05-10-23-07,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,407,407,0,Central Government,2021-05-10-18-22,,,,,,,100,100,0,100,100,0,0,17
AIIMS Main Delhi,300,201,99,Central Government,2021-05-10-17-31,72,67,5,72,37,35,,,,72,67,5,0,10
"AIIMS, Trauma Delhi",294,291,3,Central Government,2021-05-10-16-43,,,,,,,71,70,1,71,70,1,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-10-17-31,16,16,0,17,17,0,38,38,0,54,54,0,0,14
Alshifa Hospital,47,47,0,Private,2021-05-10-18-35,16,16,0,,,,3,3,0,19,19,0,1,8
Ambedkar Nagar hospital,300,276,24,Delhi Government,2021-05-11-01-19,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-11-00-57,1,0,1,,,,,,,1,0,1,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-10-19-31,3,3,0,,,,2,2,0,5,5,0,0,14
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-10-07-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-10-07-54,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,13,18,Private,2021-05-10-19-40,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,20,10,Private,2021-05-10-10-51,10,10,0,,,,,,,10,10,0,0,16
Arya Hospital,24,24,0,Private,2021-05-10-08-44,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,1,14,Private,2021-05-10-17-04,,,,,,,,,,,,,1,16
Astha Hospital,10,0,10,Private,2021-05-10-15-40,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-10-21-40,23,23,0,,,,7,7,0,30,30,0,0,8
