name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,39,1,Private,2021-05-12-09-26,8,7,1,2,2,0,2,2,0,10,9,1,0,7
Acharyashree Bhikshu Govt. Hospital,130,54,76,Delhi Government,2021-05-12-10-28,7,7,0,,,,6,6,0,13,13,0,1,0
AIIMS Jhajjar,400,367,33,Central Government,2021-05-12-09-18,,,,,,,100,100,0,100,100,0,0,16
AIIMS Main Delhi,300,233,67,Central Government,2021-05-12-10-08,29,29,0,72,39,33,43,43,0,72,72,0,0,12
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-05-12-05-43,,,,,,,71,68,3,71,68,3,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-12-07-41,14,14,0,17,17,0,40,40,0,54,54,0,0,12
Alshifa Hospital,49,49,0,Private,2021-05-12-08-57,16,16,0,,,,3,3,0,19,19,0,1,0
Ambedkar Nagar hospital,300,242,58,Delhi Government,2021-05-12-11-03,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,9,1,Private,2021-05-12-11-06,1,1,0,,,,,,,1,1,0,0,14
"Ansari Hospital, Sagarpur",40,22,18,Private,2021-05-12-11-07,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-12-07-32,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-12-07-51,,,,,,,3,0,3,3,0,3,1,8
Ardent Ganpati,31,14,17,Private,2021-05-12-10-25,7,7,0,,,,,,,7,7,0,,
ARK Hospital,30,13,17,Private,2021-05-12-07-24,5,3,2,20,0,20,,,,5,3,2,1,4
Arogya Hospital,30,24,6,Private,2021-05-12-10-09,10,10,0,,,,,,,10,10,0,0,18
Arya Hospital,24,24,0,Private,2021-05-12-11-08,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-12-09-43,,,,,,,,,,,,,4,0
Astha Hospital,10,2,8,Private,2021-05-12-10-53,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,110,8,Private,2021-05-12-09-56,23,23,0,,,,7,7,0,30,30,0,0,4
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-12-07-54,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",60,35,25,Private,2021-05-12-09-32,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-12-07-28,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,230,20,Central Government,2021-05-12-09-45,,,,,,,10,10,0,10,10,0,1,7
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-12-07-03,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,245,15,Private,2021-05-12-11-29,18,18,0,12,12,0,20,20,0,38,38,0,0,18
"Bensups Hospital, Dwarka",40,28,12,Private,2021-05-12-07-24,12,12,0,,,,3,3,0,15,15,0,1,2
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-11-10-59,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-12-10-16,23,23,0,,,,5,5,0,28,28,0,0,22
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,36,4,Private,2021-05-12-10-06,10,10,0,,,,1,1,0,11,11,0,0,6
"Bhagwati Hospital, Rohini",130,77,53,Private,2021-05-12-09-14,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,28,8,Private,2021-05-12-10-40,8,8,0,,,,,,,8,8,0,0,6
Bimla Devi Hospital,27,19,8,Private,2021-05-12-10-31,,,,6,6,0,,,,,,,1,0
"BLK Hospital, Pusa Road",285,249,36,Private,2021-05-12-11-30,68,68,0,69,64,5,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,74,6,Private,2021-05-12-07-46,10,10,0,,,,1,1,0,11,11,0,0,10
Burari Hospital,370,236,134,Delhi Government,2021-05-12-09-29,40,40,0,,,,30,30,0,70,70,0,0,20
C M PATEL HOSPITAL,15,7,8,Private,2021-05-11-17-16,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,2,6,Private,2021-05-12-08-07,,,,,,,,,,,,,0,10
CBR Hospital,25,18,7,Private,2021-05-11-14-24,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,18,22,Private,2021-05-12-10-15,8,8,0,,,,1,1,0,9,9,0,0,3
Central Hospital,31,31,0,Private,2021-05-12-10-47,4,4,0,,,,4,4,0,8,8,0,0,3
Cronus Multi speciality Hospital,12,11,1,Private,2021-05-12-10-40,2,2,0,,,,,,,2,2,0,1,10
"Cygnus MLS, Rama Vihar",70,70,0,Private,2021-05-12-10-42,19,19,0,,,,5,5,0,24,24,0,0,3
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-12-10-13,26,26,0,,,,5,5,0,31,31,0,0,3
Deen Dayal Upadhyay hospital,500,387,113,Delhi Government,2021-05-12-11-18,150,150,0,33,22,11,50,50,0,200,200,0,0,7
Deep Chand Bandhu,230,195,35,Delhi Government,2021-05-12-09-59,67,67,0,,,,14,14,0,81,81,0,0,9
Delhi global hospital,14,6,8,Private,2021-05-12-10-38,,,,,,,,,,,,,1,23
Delhi Golden Hospital,15,0,15,Private,2021-05-12-10-23,,,,,,,,,,,,,1,1
