name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-04-24-10-57,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-04-24-09-34,1,0,1,1,0,1,2,0,5,2,3,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-04-21-09-03,,,,,,,6,0,,,,,,
AIIMS Main Delhi,25,18,7,Central Government,2021-04-24-12-02,,,,,,,4,8,133,102,31,,,
"AIIMS, Trauma Delhi",11,0,11,Central Government,2021-04-25-01-44,,,,11,0,11,,,,,,11,0,11
"Akash Healthcare, Dwarka",20,7,13,Private,2021-04-24-10-16,5,1,4,7,2,5,0,16,44,31,13,2,1,1
Alshifa Hospital,18,0,18,Private,2021-04-24-09-49,6,0,6,8,0,8,4,0,14,3,11,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-04-24-10-43,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-04-24-08-39,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-04-24-10-38,2,0,2,3,0,3,1,23,5,5,0,1,0,1
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-04-24-09-46,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-04-24-09-41,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-04-25-00-07,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-04-23-09-24,,,,,,,,,,,,,,
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-04-24-09-53,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-04-24-09-21,,,,,,,0,7,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-04-24-11-35,,,,14,0,14,4,0,8,8,0,14,0,14
Base Hospital Delhi Cantt,44,0,44,Central Government,2021-04-24-12-33,,,,10,0,10,2,12,,,,10,0,10
Batra Hospital,50,4,46,Private,2021-04-24-09-02,9,4,5,11,4,7,0,23,99,49,50,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-04-24-10-00,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,28,1,27,Private,2021-04-24-10-32,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,4,5,Private,2021-04-24-16-02,2,0,2,3,0,3,2,15,7,6,1,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,3,7,Private,2021-04-24-08-56,2,2,0,3,2,1,0,10,17,14,3,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,1,13,Private,2021-04-24-08-26,1,0,1,1,0,1,6,12,5,1,4,,,
Bimla Devi Hospital,10,0,10,Private,2021-04-21-14-00,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,8,39,Private,2021-04-24-10-50,9,4,5,12,4,8,1,0,150,107,43,3,0,3
"Brahm Shakti Hospital, Budh Vihar",9,0,9,Private,2021-04-24-10-11,,,,1,0,1,3,0,15,3,12,1,0,1
Burari Hospital,600,12,588,Delhi Government,2021-04-24-11-53,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-04-25-00-42,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-04-24-07-59,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-04-25-00-05,,,,2,0,2,0,4,6,3,3,2,0,2
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-04-24-17-19,1,0,1,1,0,1,0,17,18,16,2,,,
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-04-24-22-20,,,,,,,9,12,61,61,0,,,
Deep Chand Bandhu,50,8,42,Delhi Government,2021-04-24-10-07,,,,,,,3,15,10,5,5,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,1,9,Private,2021-04-24-10-03,1,0,1,2,0,2,1,15,37,17,20,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-04-24-07-37,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,3,17,Private,2021-04-24-22-50,,,,5,0,5,,,21,3,18,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-04-24-11-38,4,0,4,5,0,5,3,16,5,0,5,1,0,1
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",15,0,15,Private,2021-04-24-09-58,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,5,45,Delhi Government,2021-04-24-07-57,,,,12,0,12,4,0,50,30,20,12,0,12
East Delhi Medical Centre Mansarover Park,5,5,0,Private,2021-04-24-11-02,,,,,,,,,3,0,3,,,
ESIC Hospital Jhilmil,20,0,20,Central Government,2021-04-24-09-43,5,0,5,5,0,5,19,0,5,5,0,,,
ESIC hospital Okhla,20,0,20,Central Government,2021-04-24-09-19,,,,2,0,2,12,0,10,5,5,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,2,29,Private,2021-04-24-17-22,5,0,5,8,0,8,2,3,16,14,2,3,0,3
"Fortis Hospital, Shalimar Bagh",26,6,20,Private,2021-04-24-09-16,4,4,0,6,4,2,4,23,72,64,8,2,0,2
"Fortis SS Hospital, Vasant Kunj",64,4,60,Private,2021-04-24-09-14,18,0,18,22,0,22,2,23,33,27,6,4,0,4
"Gandhi Nursing Home, Uttam Nagar",12,4,8,Private,2021-04-24-10-30,,,,4,0,4,1,12,15,0,15,4,0,4
"Garg Hospital, Karkardooma",5,1,4,Private,2021-04-24-08-50,,,,,,,7,0,4,0,4,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",20,0,20,Private,2021-04-24-10-26,4,0,4,4,0,4,1,23,10,5,5,,,
"Goyal Hospital, Paschim Vihar",5,1,4,Private,2021-04-24-10-09,,,,,,,0,12,,,,,,
GTB Hospital,450,10,440,Delhi Government,2021-04-25-04-06,,,,42,8,34,4,21,81,11,70,42,8,34
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-04-24-09-23,2,0,2,2,0,2,3,23,4,0,4,,,
"HAHC Hospital, Hamdard Nagar",66,0,66,Private,2021-04-24-12-51,4,0,4,6,0,6,1,4,30,14,16,2,0,2
HANDA NURSING HOME,4,0,4,Private,2021-04-24-10-46,,,,,,,1,18,6,4,2,,,
Hardik Hospital,4,0,4,Private,2021-04-24-00-06,4,0,4,4,0,4,1,20,,,,,,
"Holy Family Hospital, Okhla",100,13,87,Private,2021-04-24-10-15,5,5,0,23,7,16,1,0,21,21,0,18,2,16
"Indian spinal injury centre,Vasant Kunj",20,6,14,Private,2021-04-24-00-48,,,,3,3,0,0,16,10,2,8,3,3,0
"Indira Gandhi Hospital, Dwarka",1241,1,1240,Delhi Government,2021-04-24-09-06,85,0,85,330,0,330,3,0,,,,245,0,245
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",20,16,4,Private,2021-04-24-11-33,2,2,0,4,4,0,12,0,159,112,47,2,2,0
"Ishan Hospital, Rohini",8,0,8,Private,2021-04-24-08-55,,,,,,,,,,,,,,
