name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-06-30-13-34,3,0,3,2,0,2,5,0,5,0,22,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-01-22-12,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-07-01-11-44,4,0,4,,,,4,0,4,,,26,0,26
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-01-22-26,,,,5,0,5,5,0,5,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-01-10-35,,,,,,,,,,5,0,,,
AIIMS Jhajjar,400,48,352,Central Government,2021-07-01-17-54,,,,100,48,52,100,48,52,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-07-01-17-38,,,,,,,,,,3,4,87,65,22
"AIIMS, Trauma Delhi",294,80,214,Central Government,2021-07-01-16-38,,,,71,34,37,71,34,37,,,,,
"Akash Healthcare, Dwarka",133,0,133,Private,2021-07-01-17-34,14,0,14,40,0,40,54,0,54,0,12,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-07-01-09-25,,,,,,,,,,7,0,,,
Alshifa Hospital,49,30,19,Private,2021-07-01-09-26,23,7,16,4,0,4,27,7,20,4,4,,,
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-02-05-00,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-02-00-55,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-01-21-50,3,0,3,2,0,2,5,0,5,1,23,,,
"Apex City Hospital, West Vinod Nagar",15,0,15,Private,2021-07-01-15-14,2,0,2,,,,2,0,2,1,2,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-30-09-56,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-07-01-17-30,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-07-01-11-12,5,0,5,,,,5,0,5,0,6,,,
Arogya Hospital,6,0,6,Private,2021-07-01-14-00,6,0,6,,,,6,0,6,0,20,4,2,2
Arya Hospital,24,0,24,Private,2021-07-01-20-21,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-07-01-11-12,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-07-01-08-46,,,,,,,,,,4,0,,,
Astha Hospital,30,0,30,Private,2021-07-01-13-57,,,,,,,,,,2,18,7,0,7
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-01-14-55,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-01-18-12,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-01-08-08,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-02-05-24,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-07-01-09-11,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,4,246,Central Government,2021-07-01-10-10,,,,10,1,9,10,1,9,11,12,4,0,4
Base Hospital Delhi Cantt,500,16,484,Central Government,2021-07-01-07-06,,,,50,4,46,50,4,46,2,12,,,
Batra Hospital,300,2,298,Private,2021-07-01-12-23,18,0,18,15,0,15,33,0,33,0,23,12,12,0
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-01-16-55,12,0,12,3,0,3,15,0,15,5,10,,,
