name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
Aashlok Hospital,25,0,25,Private,2021-07-08-10-32,,,,,,,,,,,,,,
AASTHA HOSPITAL,40,0,40,Private,2021-07-08-15-03,8,0,8,2,2,0,2,0,2,10,0,10,,
Ace Hospital,30,0,30,Private,2021-07-08-12-35,4,0,4,26,0,26,,,,4,0,4,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-07-08-17-09,,,,,,,5,0,5,5,0,5,3,0
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-07-08-14-59,,,,,,,,,,,,,4,0
AIIMS Jhajjar,400,43,357,Central Government,2021-07-08-09-00,,,,,,,100,43,57,100,43,57,0,23
AIIMS Main Delhi,13,0,13,Central Government,2021-07-08-16-43,,,,87,68,19,,,,,,,2,4
"AIIMS, Trauma Delhi",294,61,233,Central Government,2021-07-08-16-32,,,,,,,71,31,40,71,31,40,,
"Akash Healthcare, Dwarka",133,1,132,Private,2021-07-08-17-17,14,1,13,17,17,0,40,0,40,54,1,53,0,10
All India Institute of Ayurveda,47,0,47, ,2021-07-08-09-13,,,,,,,,,,,,,7,0
Alshifa Hospital,49,20,29,Private,2021-07-08-09-48,23,4,19,,,,4,2,2,27,6,21,1,4
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-08-17-17,,,,,,,,,,,,,1,0
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-07-08-11-56,1,0,1,,,,,,,1,0,1,0,3
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-07-08-10-02,3,0,3,,,,2,0,2,5,0,5,1,23
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-07-08-07-39,4,0,4,4,0,4,,,,4,0,4,1,2
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-07-08-11-42,,,,,,,3,0,3,3,0,3,1,20
Ardent Ganpati,31,0,31,Private,2021-07-08-17-31,7,0,7,,,,,,,7,0,7,,
ARK Hospital,30,0,30,Private,2021-07-08-08-13,5,0,5,,,,,,,5,0,5,0,6
Arogya Hospital,6,0,6,Private,2021-07-08-11-50,6,0,6,4,2,2,,,,6,0,6,0,20
Arya Hospital,24,0,24,Private,2021-07-08-10-10,8,0,8,14,0,14,2,0,2,10,0,10,4,0
Ashray Medical Centre,12,0,12,Private,2021-07-08-11-05,2,0,2,,,,,,,2,0,2,1,23
Asian Multispeciality Hospital,15,0,15,Private,2021-07-08-08-46,,,,,,,,,,,,,4,0
Astha Hospital,10,0,10,Private,2021-07-08-10-17,,,,,,,,,,,,,2,18
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-07-08-09-57,18,0,18,20,20,0,2,0,2,20,0,20,0,23
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-07-08-15-26,7,0,7,,,,1,0,1,8,0,8,0,23
Balak Ram Hospital,25,0,25,Delhi Government,2021-07-08-07-45,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-08-08-10,9,0,9,1,0,1,1,0,1,10,0,10,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-07-08-09-03,8,0,8,,,,2,0,2,10,0,10,,
Bara Hindurao Hospital,250,5,245,Central Government,2021-07-08-10-55,,,,4,0,4,10,1,9,10,1,9,12,0
Base Hospital Delhi Cantt,500,21,479,Central Government,2021-07-08-06-30,,,,,,,50,7,43,50,7,43,2,12
Batra Hospital,300,0,300,Private,2021-07-08-10-48,18,0,18,12,12,0,15,0,15,33,0,33,0,23
"Bensups Hospital, Dwarka",30,0,30,Private,2021-07-08-09-33,12,0,12,,,,3,0,3,15,0,15,5,10
BH SALVAS HOSPITAL,40,30,10,Private,2021-07-08-09-27,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-07-08-08-54,13,0,13,,,,2,0,2,15,0,15,0,10
"Bhatia Global Hospital, Paschim Vihar",33,0,33,Private,2021-07-08-15-26,3,0,3,3,3,0,,,,3,0,3,5,12
Bimla Devi Hospital,10,0,10,Private,2021-07-08-10-28,,,,6,1,5,,,,,,,4,0
"BLK Hospital, Pusa Road",140,6,134,Private,2021-07-08-17-30,21,0,21,90,90,0,7,2,5,28,2,26,5,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-07-08-07-48,1,0,1,10,8,2,2,0,2,3,0,3,3,18
Burari Hospital,300,4,296,Delhi Government,2021-07-08-13-31,70,4,66,,,,30,0,30,100,4,96,3,14
C M PATEL HOSPITAL,15,0,15,Private,2021-07-08-10-37,,,,,,,,,,,,,2,23
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,,,,7,0
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-07-06-09-53,,,,,,,,,,,,,0,12
CBR Hospital,25,10,15,Private,2021-07-08-11-41,3,3,0,,,,,,,3,3,0,1,7
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-07-08-13-44,4,0,4,3,0,3,1,0,1,5,0,5,1,20
Central Hospital,16,0,16,Private,2021-07-08-16-29,,,,4,4,0,4,0,4,4,0,4,0,3
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-07-08-09-01,,,,,,,,,,,,,27,13
"Covid Care Center- Sardar Patel, Chattrpur",596,6,590,Delhi Government,2021-07-08-15-24,,,,,,,,,,,,,1,20
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-07-08-07-55,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,4,46,Delhi Government,2021-07-08-09-25,,,,,,,,,,,,,5,23
Covid Care Center Narela,50,0,50,Delhi Government,2021-07-08-07-36,,,,,,,,,,,,,,
Cronus Multi speciality Hospital,10,0,10,Private,2021-07-08-11-21,5,0,5,,,,,,,5,0,5,1,8
"Cygnus MLS, Rama Vihar",60,0,60,Private,2021-07-08-17-19,19,0,19,,,,5,0,5,24,0,24,0,3
"Cygnus Sonia Hospital, Nangloi",68,1,67,Private,2021-07-08-17-25,26,1,25,,,,5,0,5,31,1,30,0,17
