name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-27-19-09,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-27-20-07,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,557,557,0,Central Government,2021-04-27-18-56,,,,,,,40,40,0,40,40,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-27-15-51,,,,86,30,56,,,,,,
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-04-27-16-44,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",233,233,0,Private,2021-04-27-17-08,41,41,0,17,17,0,10,10,0,51,51,0
Alshifa Hospital,36,36,0,Private,2021-04-27-14-47,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-27-19-17,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-27-16-25,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-27-16-51,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,19,22,Private,2021-04-27-16-15,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-27-11-47,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-27-17-41,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-27-07-56,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-27-20-05,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-27-20-11,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,340,340,0,Central Government,2021-04-27-06-45,,,,17,8,9,12,12,0,12,12,0
Batra Hospital,270,270,0,Private,2021-04-27-19-31,28,28,0,12,12,0,10,10,0,38,38,0
"Bensups Hospital, Dwarka",40,19,21,Private,2021-04-27-18-55,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-27-16-28,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",50,50,0,Private,2021-04-27-10-19,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",90,90,0,Private,2021-04-27-19-13,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",43,43,0,Private,2021-04-27-20-15,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,26,24,2,Private,2021-04-27-17-56,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",358,269,89,Private,2021-04-27-18-24,68,68,0,69,57,12,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-27-17-31,17,17,0,,,,1,1,0,18,18,0
Burari Hospital,320,320,0,Delhi Government,2021-04-27-20-15,20,20,0,,,,30,30,0,50,50,0
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-04-27-16-09,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-27-10-54,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-27-13-02,1,1,0,6,6,0,5,5,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",56,56,0,Private,2021-04-27-20-23,14,14,0,18,18,0,5,5,0,19,19,0
