name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-07-13-30,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,100,85,15,Delhi Government,2021-05-07-13-30,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,478,478,0,Central Government,2021-05-07-08-33,,,,,,,100,100,0,100,100,0
AIIMS Main Delhi,287,209,78,Central Government,2021-05-07-12-17,71,67,4,72,37,35,,,,71,67,4
"AIIMS, Trauma Delhi",294,289,5,Central Government,2021-05-07-06-00,,,,,,,71,71,0,71,71,0
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-07-07-42,16,16,0,17,17,0,38,38,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-07-08-46,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-07-12-34,20,20,0,,,,,,,20,20,0
Angel Agasta Multispeciality Hospital,10,10,0,Private,2021-05-07-10-42,1,1,0,,,,,,,1,1,0
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-07-13-14,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-07-07-30,4,4,0,4,4,0,,,,4,4,0
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,4,16,Private,2021-05-07-10-23,,,,,,,3,0,3,3,0,3
Ardent Ganpati,41,14,27,Private,2021-05-07-12-53,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-07-08-37,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-07-09-27,23,23,0,,,,7,7,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-07-07-45,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,29,14,Private,2021-05-07-07-49,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-07-07-55,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-07-09-35,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,500,492,8,Central Government,2021-05-07-09-12,,,,,,,50,50,0,50,50,0
Batra Hospital,260,260,0,Private,2021-05-07-07-51,23,23,0,12,12,0,15,15,0,38,38,0
