name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-11-11-10,8,8,0,2,2,0,2,2,0,10,10,0,0,7
Acharyashree Bhikshu Govt. Hospital,130,61,69,Delhi Government,2021-05-11-10-20,7,7,0,,,,6,6,0,13,13,0,1,0
AIIMS Jhajjar,400,378,22,Central Government,2021-05-11-08-58,,,,,,,100,100,0,100,100,0,0,14
AIIMS Main Delhi,301,212,89,Central Government,2021-05-11-10-11,72,67,5,72,39,33,,,,72,67,5,0,7
"AIIMS, Trauma Delhi",294,290,4,Central Government,2021-05-11-05-36,,,,,,,71,69,2,71,69,2,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-11-07-25,16,16,0,17,17,0,38,38,0,54,54,0,0,12
Alshifa Hospital,47,46,1,Private,2021-05-11-11-31,16,16,0,,,,3,3,0,19,19,0,1,13
Ambedkar Nagar hospital,300,276,24,Delhi Government,2021-05-11-11-27,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-11-09-30,1,0,1,,,,,,,1,0,1,0,12
"Ansari Hospital, Sagarpur",40,24,16,Private,2021-05-11-07-30,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-11-11-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-11-07-41,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,13,18,Private,2021-05-11-09-52,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,24,6,Private,2021-05-11-10-18,10,10,0,,,,,,,10,10,0,0,15
Arya Hospital,24,24,0,Private,2021-05-11-08-34,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,0,15,Private,2021-05-11-09-30,,,,,,,,,,,,,,
Astha Hospital,10,1,9,Private,2021-05-11-10-11,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-11-10-32,23,23,0,,,,7,7,0,30,30,0,0,8
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-11-11-13,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",60,34,26,Private,2021-05-11-08-18,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-11-07-30,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,238,12,Central Government,2021-05-11-09-34,,,,,,,10,10,0,10,10,0,2,8
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-11-07-16,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,250,10,Private,2021-05-11-09-20,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,29,11,Private,2021-05-11-10-34,12,12,0,,,,3,3,0,15,15,0,0,20
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-11-10-59,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-11-06-04,23,23,0,,,,5,5,0,28,28,0,0,22
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-11-11-20,10,10,0,,,,1,1,0,11,11,0,0,6
"Bhagwati Hospital, Rohini",130,72,58,Private,2021-05-11-07-57,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,30,6,Private,2021-05-11-11-16,10,10,0,,,,,,,10,10,0,0,7
Bimla Devi Hospital,27,22,5,Private,2021-05-11-10-31,,,,6,6,0,,,,,,,1,0
"BLK Hospital, Pusa Road",285,252,33,Private,2021-05-11-11-21,68,68,0,69,60,9,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,74,6,Private,2021-05-11-07-27,10,10,0,,,,1,1,0,11,11,0,0,11
Burari Hospital,370,236,134,Delhi Government,2021-05-11-08-27,40,40,0,,,,30,30,0,70,70,0,0,20
C M PATEL HOSPITAL,15,8,7,Private,2021-05-10-15-56,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-11-10-31,,,,,,,,,,,,,0,10
CBR Hospital,25,18,7,Private,2021-05-10-11-15,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,19,21,Private,2021-05-11-09-35,8,8,0,,,,1,1,0,9,9,0,0,8
Central Hospital,31,29,2,Private,2021-05-11-09-38,4,4,0,,,,4,4,0,8,8,0,0,4
Cronus Multi speciality Hospital,12,12,0,Private,2021-05-11-10-11,2,2,0,,,,,,,2,2,0,1,8
"Cygnus MLS, Rama Vihar",70,70,0,Private,2021-05-11-10-43,19,19,0,,,,5,5,0,24,24,0,0,2
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-11-10-24,26,26,0,,,,5,5,0,31,31,0,0,3
Deen Dayal Upadhyay hospital,500,392,108,Delhi Government,2021-05-11-08-20,150,150,0,33,22,11,50,50,0,200,200,0,0,17
Deep Chand Bandhu,230,188,42,Delhi Government,2021-05-11-10-03,67,67,0,,,,14,14,0,81,81,0,0,8
Delhi global hospital,14,5,9,Private,2021-05-11-09-30,,,,,,,,,,,,,1,23
Delhi Golden Hospital,15,0,15,Private,2021-05-11-10-51,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-11-11-32,24,24,0,12,12,0,3,3,0,27,27,0,0,5
Delhi multi speciality hospital,11,3,8,Private,2021-05-11-06-25,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",159,101,58,Private,2021-05-11-10-35,11,11,0,23,10,13,3,3,0,14,14,0,0,16
"Dharamvir Solanki Hospital, Rohini",24,22,2,Private,2021-05-11-09-55,10,10,0,,,,1,1,0,11,11,0,0,8
Divine Multispeciality Hospital and Cancer Centre,35,29,6,Private,2021-05-10-12-55,23,22,1,,,,7,7,0,30,29,1,0,9
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",95,95,0,Private,2021-05-11-10-23,10,10,0,,,,2,2,0,12,12,0,1,8
Dr Baba Saheb Ambedkar Hospital,400,368,32,Delhi Government,2021-05-11-11-08,170,169,1,,,,30,30,0,200,199,1,0,20
Dr Rakesh Multispeciality Hospital,15,12,3,Private,2021-05-11-10-27,5,5,0,,,,1,1,0,6,6,0,1,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,24,12,Private,2021-05-11-10-09,,,,,,,,,,,,,0,11
East Delhi Medical Centre Mansarover Park,40,40,0,Private,2021-05-11-11-29,10,10,0,,,,,,,10,10,0,0,5
Ekansh Hospital,8,4,4,Private,2021-05-10-10-31,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,55,44,11,Central Government,2021-05-11-09-07,,,,,,,5,5,0,5,5,0,1,0
ESIC hospital Okhla,233,171,62,Central Government,2021-05-11-10-46,,,,,,,10,10,0,10,10,0,1,5
"Fortis Escorts Heart Institute, Okhla",112,112,0,Private,2021-05-11-10-58,55,55,0,16,11,5,5,5,0,60,60,0,2,0
"Fortis Hospital, Shalimar Bagh",230,220,10,Private,2021-05-11-09-25,33,33,0,8,8,0,27,27,0,60,60,0,1,23
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-05-11-10-30,8,8,0,,,,12,12,0,20,20,0,1,23
