name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-10-20-09-59,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,12,0,12,Private,2021-10-20-17-16,1,0,1,1,0,1,2,0,2,,,10,2,8
Ace Hospital,30,0,30,Private,2021-09-29-09-01,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-10-20-18-06,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-10-20-09-34,,,,,,,,,,6,0,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-10-20-17-45,,,,100,0,100,100,0,100,0,23,,,
"AIIMS, Trauma Delhi",94,6,88,Central Government,2021-10-20-16-38,,,,32,3,29,32,3,29,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-10-20-17-21,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-10-20-10-00,,,,,,,,,,7,0,,,
Alshifa Hospital,18,0,18,Private,2021-10-20-09-18,4,0,4,2,0,2,6,0,6,9,0,11,6,5
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-10-21-04-23,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-10-20-17-06,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-10-20-20-06,,,,,,,,,,1,23,5,3,2
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-10-20-07-30,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-10-20-09-08,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-10-20-14-49,10,0,10,2,0,2,12,0,12,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-10-20-12-06,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-10-20-09-38,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-10-20-10-25,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-10-21-03-03,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-10-20-14-45,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-10-20-08-30,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,1,249,Central Government,2021-10-20-08-44,,,,14,0,14,14,0,14,3,18,8,5,3
Base Hospital Delhi Cantt,500,7,493,Central Government,2021-10-20-07-23,,,,50,3,47,50,3,47,2,12,,,
Batra Hospital,50,0,50,Private,2021-10-20-09-26,,,,5,0,5,5,0,5,0,23,60,53,7
"Bensups Hospital, Dwarka",30,0,30,Private,2021-10-20-06-22,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-10-20-09-20,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-10-20-17-09,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-10-20-17-23,1,0,1,,,,1,0,1,6,12,5,3,2
Bimla Devi Hospital,10,0,10,Private,2021-10-20-07-37,,,,,,,,,,4,0,6,0,6
"BLK Hospital, Pusa Road",140,1,139,Private,2021-10-21-03-30,21,1,20,7,0,7,28,1,27,5,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",10,0,10,Private,2021-10-20-10-26,,,,1,0,1,1,0,1,2,12,19,12,7
Burari Hospital,300,0,300,Delhi Government,2021-10-20-16-19,70,0,70,30,0,30,100,0,100,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-10-20-11-23,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,20,0,20,Private,2021-10-20-11-23,3,0,3,,,,3,0,3,,,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-10-20-17-22,5,0,5,1,0,1,6,0,6,1,19,3,0,3
Central Hospital,16,0,16,Private,2021-10-21-00-24,,,,4,0,4,4,0,4,0,3,4,4,0
Chaudhri Bram Prakash Aurvedic Charak Sansthan,100,0,100,Delhi Government,2021-10-20-11-59,,,,,,,,,,41,0,,,
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-10-20-09-33,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,2,594,Delhi Government,2021-10-20-11-02,,,,,,,,,,2,13,,,
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-10-20-09-44,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-10-20-12-06,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-10-20-08-13,,,,,,,,,,,,,,
