name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,25,0,25,Private,2021-08-04-09-46,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,40,0,40,Private,2021-08-04-17-21,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-08-04-12-28,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-08-04-17-31,,,,5,0,5,5,0,5,10,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-08-04-12-57,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,5,395,Central Government,2021-08-04-17-00,,,,100,5,95,100,5,95,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-08-04-17-42,,,,,,,,,,2,0,92,79,13
"AIIMS, Trauma Delhi",294,21,273,Central Government,2021-08-04-16-41,,,,71,17,54,71,17,54,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-08-04-17-20,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,47,0,47, ,2021-08-04-10-01,,,,,,,,,,7,0,,,
Alshifa Hospital,20,0,20,Private,2021-08-04-11-31,5,0,5,4,0,4,9,0,9,11,0,10,4,6
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-08-05-04-11,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-08-04-17-11,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-08-04-13-44,3,0,3,2,0,2,5,0,5,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-08-04-10-14,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-08-04-07-05,5,0,5,,,,5,0,5,0,6,,,
Arogya Hospital,6,0,6,Private,2021-08-04-11-59,6,0,6,,,,6,0,6,0,23,4,2,2
Arya Hospital,24,0,24,Private,2021-08-04-10-10,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-08-04-09-52,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-08-04-13-25,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-08-04-10-26,,,,,,,,,,2,18,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-08-04-10-24,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-08-05-04-32,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-08-04-08-17,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-08-04-08-56,9,0,9,1,0,1,10,0,10,0,7,1,0,1
Bara Hindurao Hospital,250,4,246,Central Government,2021-08-04-10-08,,,,14,0,14,14,0,14,1,14,4,3,1
Base Hospital Delhi Cantt,500,20,480,Central Government,2021-08-04-09-31,,,,50,2,48,50,2,48,2,12,,,
Batra Hospital,148,0,148,Private,2021-08-04-09-22,3,0,3,5,0,5,8,0,8,0,23,52,42,10
"Bensups Hospital, Dwarka",30,0,30,Private,2021-08-04-00-39,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-08-04-09-28,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-08-04-16-53,13,0,13,2,0,2,15,0,15,0,10,,,
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-08-04-17-15,1,0,1,,,,1,0,1,6,12,5,3,2
Bimla Devi Hospital,10,0,10,Private,2021-08-04-10-24,6,0,6,,,,6,0,6,4,0,4,0,4
"BLK Hospital, Pusa Road",140,2,138,Private,2021-08-05-03-30,21,1,20,7,1,6,28,2,26,8,0,90,87,3
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-08-04-11-42,2,0,2,1,0,1,3,0,3,1,12,10,6,4
Burari Hospital,300,2,298,Delhi Government,2021-08-04-21-23,70,2,68,30,0,30,100,2,98,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-08-04-09-08,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,25,10,15,Private,2021-08-04-11-56,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-08-05-02-22,5,0,5,1,0,1,6,0,6,1,20,3,0,3
Central Hospital,16,0,16,Private,2021-08-04-19-36,,,,4,0,4,4,0,4,0,3,4,4,0
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-08-04-09-49,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,1,595,Delhi Government,2021-08-04-13-00,,,,,,,,,,2,20,,,
covid care center-Sultanpuri,1200,1,1199,Delhi Government,2021-08-04-12-45,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-08-04-11-04,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-08-04-07-35,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-08-04-17-27,,,,5,0,5,5,0,5,1,17,19,7,12
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-08-04-23-55,4,0,4,1,0,1,5,0,5,0,17,18,12,6
Deen Dayal Upadhyay hospital,100,9,91,Delhi Government,2021-08-05-03-55,,,,25,6,19,25,6,19,0,14,43,0,43
Deep Chand Bandhu,100,1,99,Delhi Government,2021-08-04-23-09,5,0,5,20,0,20,25,0,25,3,8,10,5,5
Delhi global hospital,3,0,3,Private,2021-08-04-08-58,3,0,3,,,,3,0,3,1,23,4,1,3
Delhi Golden Hospital,15,0,15,Private,2021-08-04-21-02,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-08-04-12-29,3,0,3,2,0,2,5,0,5,3,3,34,16,18
Delhi multi speciality hospital,2,0,2,Private,2021-08-04-08-19,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-08-05-02-06,13,0,13,5,0,5,18,0,18,1,8,5,5,0
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-08-04-11-34,4,0,4,1,0,1,5,0,5,0,23,5,3,2
Divine Multispeciality Hospital and Cancer Centre,18,0,18,Private,2021-08-04-09-20,14,0,14,,,,14,0,14,4,22,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,0,20,Private,2021-08-04-18-04,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,100,12,88,Delhi Government,2021-08-04-08-55,,,,25,11,14,25,11,14,1,7,12,7,5
Dr Rakesh Multispeciality Hospital,15,0,15,Private,2021-08-04-09-53,5,0,5,1,0,1,6,0,6,,,,,
Ekansh Hospital,8,0,8,Private,2021-08-04-11-54,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,76,0,76,Central Government,2021-08-04-12-25,,,,5,0,5,5,0,5,4,9,5,5,0
ESIC hospital Okhla,20,0,20,Central Government,2021-08-04-09-23,,,,2,0,2,2,0,2,5,14,15,3,12
"Fortis Escorts Heart Institute, Okhla",112,1,111,Private,2021-08-04-16-33,55,1,54,5,0,5,60,1,59,2,1,16,11,5
"Fortis Hospital, Shalimar Bagh",78,0,78,Private,2021-08-04-13-13,15,0,15,5,0,5,20,0,20,3,23,48,47,1
"Fortis SS Hospital, Vasant Kunj",48,0,48,Private,2021-08-05-01-28,14,0,14,4,0,4,18,0,18,2,23,37,23,14
Galaxy Hospital,8,0,8,Private,2021-08-04-08-34,2,0,2,,,,2,0,2,5,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",25,0,25,Private,2021-08-04-09-50,8,0,8,2,0,2,10,0,10,1,12,15,15,0
"Garg Hospital, Karkardooma",36,0,36,Private,2021-08-04-19-02,4,0,4,,,,4,0,4,7,0,,,
GNS Multispeciality Hospital,6,0,6,Private,2021-07-29-13-47,,,,,,,,,,,,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",14,0,14,Private,2021-08-04-08-58,3,0,3,1,0,1,4,0,4,1,23,10,6,4
"Goyal Hospital, Paschim Vihar",16,0,16,Private,2021-08-04-17-17,7,0,7,,,,7,0,7,0,12,,,
GTB Hospital,600,13,587,Delhi Government,2021-08-05-04-33,410,0,410,140,13,127,550,13,537,4,6,8,8,0
Gupta Multispecialty Hospital,14,0,14,Private,2021-08-05-05-15,,,,,,,,,,2,0,4,0,4
