name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-10-11-13,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,66,64,Delhi Government,2021-05-10-10-35,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,416,416,0,Central Government,2021-05-10-08-39,,,,,,,100,100,0,100,100,0,0,14
AIIMS Main Delhi,300,201,99,Central Government,2021-05-10-09-59,72,67,5,72,35,37,,,,72,67,5,0,10
"AIIMS, Trauma Delhi",294,291,3,Central Government,2021-05-10-05-59,,,,,,,71,70,1,71,70,1,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-10-07-32,16,16,0,17,17,0,38,38,0,54,54,0,0,6
Alshifa Hospital,43,43,0,Private,2021-05-10-08-35,16,15,1,,,,3,3,0,19,18,1,1,18
Ambedkar Nagar hospital,300,292,8,Delhi Government,2021-05-10-08-58,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,10,0,Private,2021-05-10-07-01,1,1,0,,,,,,,1,1,0,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-10-10-53,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-10-07-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-10-07-54,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,15,16,Private,2021-05-10-10-02,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,20,10,Private,2021-05-10-10-51,10,10,0,,,,,,,10,10,0,0,16
Arya Hospital,24,24,0,Private,2021-05-10-08-44,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,2,13,Private,2021-05-10-10-28,,,,,,,,,,,,,1,16
Astha Hospital,10,0,10,Private,2021-05-10-09-29,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-10-10-49,23,23,0,,,,7,7,0,30,30,0,0,8
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-10-11-22,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",43,29,14,Private,2021-05-10-09-40,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-10-10-37,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,242,8,Central Government,2021-05-10-09-51,,,,,,,10,10,0,10,10,0,2,0
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-10-06-09,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,260,0,Private,2021-05-10-11-04,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,34,6,Private,2021-05-10-07-50,12,12,0,,,,3,3,0,15,15,0,0,10
BH SALVAS HOSPITAL,40,22,18,Private,2021-05-10-10-03,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-10-06-37,23,23,0,,,,5,5,0,28,28,0,1,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-10-10-46,10,10,0,,,,1,1,0,11,11,0,0,2
"Bhagwati Hospital, Rohini",130,70,60,Private,2021-05-10-09-13,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,35,1,Private,2021-05-10-11-12,8,8,0,,,,,,,8,8,0,0,4
Bimla Devi Hospital,27,24,3,Private,2021-05-10-10-56,,,,6,6,0,,,,,,,0,12
"BLK Hospital, Pusa Road",285,246,39,Private,2021-05-10-11-21,68,68,0,69,58,11,7,7,0,75,75,0,1,0
"Brahm Shakti Hospital, Budh Vihar",80,77,3,Private,2021-05-10-08-00,10,10,0,,,,1,1,0,11,11,0,0,9
Burari Hospital,370,274,96,Delhi Government,2021-05-10-08-47,40,40,0,,,,30,30,0,70,70,0,0,9
C M PATEL HOSPITAL,15,5,10,Private,2021-05-08-15-51,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-08-15-57,,,,,,,,,,,,,0,15
CBR Hospital,25,18,7,Private,2021-05-10-11-15,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,23,17,Private,2021-05-10-10-42,8,8,0,,,,1,1,0,9,9,0,1,0
Central Hospital,31,28,3,Private,2021-05-10-11-35,4,4,0,,,,4,4,0,8,8,0,0,4
Cronus Multi speciality Hospital,12,12,0,Private,2021-05-10-11-23,2,2,0,,,,,,,2,2,0,1,7
"Cygnus MLS, Rama Vihar",68,68,0,Private,2021-05-10-10-34,19,19,0,,,,5,5,0,24,24,0,0,3
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-10-10-11,26,26,0,,,,5,5,0,31,31,0,0,4
Deen Dayal Upadhyay hospital,400,389,11,Delhi Government,2021-05-10-09-30,130,130,0,33,22,11,50,50,0,180,180,0,0,7
Deep Chand Bandhu,230,223,7,Delhi Government,2021-05-10-10-00,67,67,0,,,,14,14,0,81,81,0,0,6
Delhi global hospital,14,6,8,Private,2021-05-10-10-35,,,,,,,,,,,,,1,18
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-10-09-51,24,24,0,12,12,0,3,3,0,27,27,0,,
Delhi multi speciality hospital,11,3,8,Private,2021-05-10-06-45,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",159,101,58,Private,2021-05-10-10-05,11,11,0,23,11,12,3,3,0,14,14,0,0,19
"Dharamvir Solanki Hospital, Rohini",24,24,0,Private,2021-05-10-10-51,10,10,0,,,,1,1,0,11,11,0,0,14
Divine Multispeciality Hospital and Cancer Centre,35,29,6,Private,2021-05-10-10-11,23,21,2,,,,7,7,0,30,28,2,0,9
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",95,95,0,Private,2021-05-10-11-19,10,10,0,,,,2,2,0,12,12,0,1,8
Dr Baba Saheb Ambedkar Hospital,400,387,13,Delhi Government,2021-05-10-11-19,150,150,0,,,,50,50,0,200,200,0,0,22
Dr Rakesh Multispeciality Hospital,15,10,5,Private,2021-05-10-10-12,5,5,0,,,,1,1,0,6,6,0,1,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,30,6,Private,2021-05-10-10-15,,,,,,,,,,,,,0,6
East Delhi Medical Centre Mansarover Park,40,40,0,Private,2021-05-10-11-03,10,10,0,,,,,,,10,10,0,0,3
Ekansh Hospital,8,4,4,Private,2021-05-10-10-31,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,55,44,11,Central Government,2021-05-09-19-15,,,,,,,5,5,0,5,5,0,1,0
ESIC hospital Okhla,233,185,48,Central Government,2021-05-10-09-50,,,,,,,10,10,0,10,10,0,1,6
"Fortis Escorts Heart Institute, Okhla",112,112,0,Private,2021-05-10-11-28,55,55,0,16,11,5,5,5,0,60,60,0,1,19
"Fortis Hospital, Shalimar Bagh",230,225,5,Private,2021-05-10-09-16,33,33,0,8,8,0,27,27,0,60,60,0,1,23
"Fortis SS Hospital, Vasant Kunj",106,102,4,Private,2021-05-10-10-15,8,8,0,,,,12,12,0,20,20,0,1,23
"Gandhi Nursing Home, Uttam Nagar",98,98,0,Private,2021-05-10-08-10,35,35,0,8,8,0,1,1,0,36,36,0,1,11
"Garg Hospital, Karkardooma",36,18,18,Private,2021-05-10-11-11,4,3,1,,,,,,,4,3,1,0,6
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-05-10-10-54,12,12,0,8,8,0,5,5,0,17,17,0,1,18
"Goyal Hospital, Paschim Vihar",24,24,0,Private,2021-05-10-10-52,7,7,0,,,,,,,7,7,0,0,4
GTB Hospital,750,654,96,Delhi Government,2021-05-10-09-01,272,272,0,,,,128,128,0,400,400,0,1,2
"Gupta Multispecialty Hospital, Vivek Vihar",50,50,0,Private,2021-05-10-09-27,6,6,0,,,,,,,6,6,0,0,8
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,41,157,Delhi Government,2021-05-10-09-28,,,,,,,,,,,,,3,0
"HAHC Hospital, Hamdard Nagar",376,92,284,Private,2021-05-10-11-03,19,19,0,6,2,4,10,10,0,29,29,0,0,4
HANDA NURSING HOME,12,6,6,Private,2021-05-10-10-37,,,,,,,,,,,,,1,18
Hardik Hospital,15,4,11,Private,2021-05-09-12-09,,,,,,,,,,,,,1,5
Highland Care Multispeciality Hospital,30,17,13,Private,2021-05-10-09-24,3,3,0,,,,2,2,0,5,5,0,0,8
