name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-06-28-09-47,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-06-28-09-48,1,0,1,1,0,1,2,0,5,2,3,,,
Ace Hospital,6,0,6,Private,2021-06-02-15-13,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-06-28-10-26,,,,,,,6,0,,,,,,
AIIMS Main Delhi,27,13,14,Central Government,2021-06-28-10-45,,,,,,,4,8,108,86,22,,,
"AIIMS, Trauma Delhi",21,1,20,Central Government,2021-06-28-06-20,,,,21,1,20,,,,,,21,1,20
"Akash Healthcare, Dwarka",20,2,18,Private,2021-06-28-10-36,8,0,8,10,0,10,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-06-28-11-23,3,0,3,5,0,5,11,0,11,3,8,2,0,2
Ambedkar Nagar hospital,200,1,199,Delhi Government,2021-06-28-16-56,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-06-28-10-07,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-06-28-11-28,3,0,3,3,0,3,1,23,5,2,3,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-06-28-09-32,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-06-28-10-18,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-06-28-15-46,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-06-28-12-17,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-06-28-01-07,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,2,8,Private,2021-06-28-13-26,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-06-28-10-48,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-06-28-08-52,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-06-28-10-04,,,,14,0,14,2,12,8,6,2,14,0,14
Base Hospital Delhi Cantt,500,19,481,Central Government,2021-06-28-09-08,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,1,49,Private,2021-06-28-09-46,9,0,9,11,0,11,0,23,99,47,52,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-06-28-10-37,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-06-28-08-36,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,1,8,Private,2021-06-28-16-07,2,0,2,3,0,3,2,18,7,3,4,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,1,9,Private,2021-06-28-13-11,2,0,2,3,0,3,0,10,17,12,5,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-06-28-09-15,,,,,,,6,12,5,1,4,,,
Bimla Devi Hospital,10,0,10,Private,2021-06-28-08-29,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,7,40,Private,2021-06-28-10-45,9,2,7,12,2,10,1,0,106,99,7,3,0,3
"Brahm Shakti Hospital, Budh Vihar",35,0,35,Private,2021-06-14-10-50,,,,,,,2,12,,,,,,
Burari Hospital,600,2,598,Delhi Government,2021-06-28-10-22,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-06-28-11-27,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-06-28-15-13,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-06-28-15-35,,,,2,0,2,0,4,6,6,0,2,0,2
"Cygnus MLS, Rama Vihar",9,1,8,Private,2021-06-28-17-19,1,0,1,1,0,1,75,0,15,10,5,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-06-28-10-46,,,,1,0,1,0,17,18,14,4,1,0,1
Deen Dayal Upadhyay hospital,50,1,49,Delhi Government,2021-06-28-16-01,,,,,,,6,8,61,61,0,,,
Deep Chand Bandhu,50,11,39,Delhi Government,2021-06-28-14-41,,,,,,,3,15,10,6,4,,,
Delhi global hospital,3,0,3,Private,2021-06-28-09-11,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,1,9,Private,2021-06-28-10-43,1,0,1,2,0,2,4,4,37,22,15,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-06-28-10-34,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,1,19,Private,2021-06-28-14-10,,,,5,0,5,1,8,21,20,1,5,0,5
