name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-30-09-44,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,102,102,0,Delhi Government,2021-04-30-09-54,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,590,590,0,Central Government,2021-04-30-08-07,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,93,90,3,Central Government,2021-04-29-15-39,16,15,1,86,31,55,,,,16,15,1
"AIIMS, Trauma Delhi",294,291,3,Central Government,2021-04-30-06-39,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",237,237,0,Private,2021-04-30-08-04,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-04-29-15-18,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-30-08-10,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-30-06-39,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-30-07-06,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,16,25,Private,2021-04-30-09-41,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-30-01-51,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-30-07-47,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-30-08-09,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-30-09-04,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-30-10-17,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-04-30-07-28,,,,,,,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-04-30-09-15,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,26,14,Private,2021-04-30-08-18,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-30-06-38,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",46,46,0,Private,2021-04-30-10-11,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",92,92,0,Private,2021-04-30-09-33,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",44,44,0,Private,2021-04-30-06-25,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,26,26,0,Private,2021-04-30-10-30,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",322,282,40,Private,2021-04-30-07-44,68,68,0,69,47,22,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",79,79,0,Private,2021-04-29-10-28,19,19,0,,,,1,1,0,20,20,0
Burari Hospital,370,370,0,Delhi Government,2021-04-30-08-16,20,20,0,,,,30,30,0,50,50,0
