name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,3,19,Private,2021-05-30-11-33,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,2,38,Private,2021-06-04-23-02,8,1,7,2,0,2,10,1,9,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-04-12-12,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,8,142,Delhi Government,2021-06-05-05-25,,,,30,5,25,30,5,25,2,12,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-05-05-19,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,112,288,Central Government,2021-06-04-18-23,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,126,77,49,Central Government,2021-06-04-17-47,14,10,4,43,37,6,57,47,10,3,4,87,62,25
"AIIMS, Trauma Delhi",294,150,144,Central Government,2021-06-05-05-49,,,,71,51,20,71,51,20,,,,,
"Akash Healthcare, Dwarka",133,61,72,Private,2021-06-04-17-12,14,14,0,40,40,0,54,54,0,1,3,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-04-10-51,,,,,,,,,,7,0,,,
Alshifa Hospital,50,12,38,Private,2021-06-04-16-06,15,5,10,4,3,1,19,8,11,2,9,,,
Ambedkar Nagar hospital,600,11,589,Delhi Government,2021-06-05-05-36,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-05-02-04,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,3,37,Private,2021-06-04-19-22,3,1,2,2,2,0,5,3,2,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-06-04-13-34,4,4,0,,,,4,4,0,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-04-09-28,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-04-18-00,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-04-07-01,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-04-11-58,6,0,6,,,,6,0,6,0,21,4,3,1
Arya Hospital,24,2,22,Private,2021-06-04-21-03,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-04-14-11,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-04-10-24,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-04-09-57,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,15,35,Private,2021-06-04-18-51,28,6,22,2,1,1,30,7,23,0,21,,,
"B.M. Gupta Hospital, Uttam Nagar",70,3,67,Private,2021-06-05-03-01,19,1,18,1,0,1,20,1,19,0,16,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-04-08-04,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-06-04-10-29,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,1,39,Private,2021-06-04-07-01,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,23,227,Central Government,2021-06-04-09-51,,,,10,2,8,10,2,8,8,14,,,
Base Hospital Delhi Cantt,500,183,317,Central Government,2021-05-27-06-42,,,,50,48,2,50,48,2,2,12,,,
Batra Hospital,300,9,291,Private,2021-06-05-01-29,18,0,18,15,2,13,33,2,31,0,23,12,12,0
"Bensups Hospital, Dwarka",30,2,28,Private,2021-06-04-18-36,12,1,11,3,0,3,15,1,14,0,18,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-06-04-16-48,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,9,72,Private,2021-06-05-04-00,23,3,20,5,3,2,28,6,22,1,20,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,10,30,Private,2021-06-04-16-57,10,10,0,1,0,1,11,10,1,0,18,,,
"Bhagwati Hospital, Rohini",130,4,126,Private,2021-06-04-19-39,13,1,12,2,1,1,15,2,13,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",36,6,30,Private,2021-06-04-20-32,6,5,1,,,,6,5,1,0,14,,,
Bimla Devi Hospital,10,0,10,Private,2021-06-04-18-07,,,,,,,,,,4,0,3,0,3
"BLK Hospital, Pusa Road",317,30,287,Private,2021-06-05-05-20,67,6,61,8,8,0,75,14,61,2,5,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,0,80,Private,2021-06-04-13-36,9,0,9,2,0,2,11,0,11,3,18,2,2,0
Burari Hospital,700,50,650,Delhi Government,2021-06-04-19-35,85,14,71,30,30,0,115,44,71,1,23,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-06-05-02-47,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,2,25,Central Government,2021-06-04-11-09,,,,,,,,,,7,0,,,
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-06-04-14-51,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-06-04-11-33,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-06-04-23-03,4,0,4,1,0,1,5,0,5,0,14,3,1,2
Central Hospital,16,4,12,Private,2021-06-05-04-41,,,,4,3,1,4,3,1,0,3,4,0,4
Covid care and treatment centre Gurdwara Rakab ganj,400,101,299,Delhi Government,2021-06-05-04-16,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,14,786,Delhi Government,2021-05-29-11-02,,,,,,,,,,19,0,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,49,547,Delhi Government,2021-06-04-09-49,,,,,,,,,,2,6,,,
Covid Care Center -CWG AKSHARDHAM,460,9,451,Delhi Government,2021-06-04-09-35,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,10,0,10,Private,2021-06-05-01-04,5,0,5,,,,5,0,5,1,21,,,
"Cygnus MLS, Rama Vihar",60,8,52,Private,2021-06-04-22-28,19,5,14,5,1,4,24,6,18,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,7,61,Private,2021-06-04-23-06,26,0,26,5,3,2,31,3,28,0,17,,,
Deen Dayal Upadhyay hospital,500,104,396,Delhi Government,2021-06-05-04-38,120,19,101,130,58,72,250,77,173,0,18,33,2,31
Deep Chand Bandhu,250,54,196,Delhi Government,2021-06-05-04-16,100,14,86,30,20,10,130,34,96,0,7,,,
Delhi global hospital,14,3,11,Private,2021-06-04-15-24,3,0,3,,,,3,0,3,1,16,3,1,2
Delhi Golden Hospital,15,0,15,Private,2021-06-05-00-58,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,38,35,Private,2021-06-05-03-59,22,17,5,5,3,2,27,20,7,1,6,12,12,0
Delhi multi speciality hospital,11,0,11,Private,2021-06-04-18-15,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,3,157,Private,2021-06-05-00-05,13,0,13,5,2,3,18,2,16,1,6,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,3,31,Private,2021-06-04-11-59,9,2,7,2,0,2,11,2,9,0,8,,,
Divine Multispeciality Hospital and Cancer Centre,18,3,15,Private,2021-06-04-15-05,8,1,7,5,2,3,13,3,10,0,20,12,0,12
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,2,18,Private,2021-06-04-15-22,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,400,110,290,Delhi Government,2021-06-04-23-19,58,11,47,142,41,101,200,52,148,0,21,,,
Dr Rakesh Multispeciality Hospital,15,1,14,Private,2021-06-04-09-43,5,0,5,1,0,1,6,0,6,1,0,,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,0,36,Private,2021-06-05-00-34,,,,,,,,,,2,0,,,
East Delhi Medical Centre Mansarover Park,30,0,30,Private,2021-06-05-03-52,6,0,6,,,,6,0,6,1,15,4,0,4
Eden Hospital,8,1,7,Private,2021-06-04-12-16,,,,,,,,,,0,23,,,
Ekansh Hospital,8,0,8,Private,2021-06-04-16-22,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,65,7,58,Central Government,2021-06-05-00-16,,,,5,4,1,5,4,1,5,7,,,
ESIC hospital Okhla,230,17,213,Central Government,2021-06-04-23-32,,,,15,8,7,15,8,7,4,7,,,
"Fortis Escorts Heart Institute, Okhla",112,4,108,Private,2021-06-04-17-17,55,2,53,5,0,5,60,2,58,2,2,16,12,4
"Fortis Hospital, Shalimar Bagh",200,28,172,Private,2021-06-04-18-44,30,13,17,20,11,9,50,24,26,2,23,18,18,0
"Fortis SS Hospital, Vasant Kunj",106,18,88,Private,2021-06-05-04-15,20,6,14,12,12,0,32,18,14,1,23,,,
Galaxy Hospital,8,1,7,Private,2021-06-04-10-12,2,0,2,,,,2,0,2,3,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",20,3,17,Private,2021-06-04-19-55,7,2,5,1,0,1,8,2,6,1,10,15,15,0
"Garg Hospital, Karkardooma",36,6,30,Private,2021-06-05-00-21,4,0,4,,,,4,0,4,0,12,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",70,11,59,Private,2021-06-05-00-28,12,3,9,5,0,5,17,3,14,1,23,8,3,5
"Goyal Hospital, Paschim Vihar",24,2,22,Private,2021-06-04-21-33,7,2,5,,,,7,2,5,0,12,,,
GTB Hospital,1800,259,1541,Delhi Government,2021-06-05-04-02,672,131,541,228,128,100,900,259,641,1,6,,,
Gupta Multispecialty Hospital,14,1,13,Private,2021-06-04-16-07,,,,,,,,,,1,0,,,
"Gupta Multispecialty Hospital, Vivek Vihar",40,1,39,Private,2021-06-04-21-13,6,0,6,,,,6,0,6,2,20,,,
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,0,198,Delhi Government,2021-06-04-18-20,,,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,11,365,Private,2021-06-05-01-25,9,3,6,16,4,12,25,7,18,1,4,6,0,6
HANDA NURSING HOME,12,0,12,Private,2021-06-04-14-34,,,,,,,,,,1,18,,,
Hardik Hospital,10,0,10,Private,2021-06-04-17-54,4,0,4,,,,4,0,4,1,20,6,0,6
Highland Care Multispeciality Hospital,30,2,28,Private,2021-06-04-10-19,5,0,5,,,,5,0,5,0,8,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-06-04-10-32,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",275,65,210,Private,2021-06-04-08-49,4,4,0,44,41,3,48,45,3,0,20,18,18,0
"IBS Hospital, Lajpat Nagar",39,0,39,Private,2021-06-04-17-47,9,0,9,4,0,4,13,0,13,0,6,3,3,0
"Indian spinal injury centre,Vasant Kunj",160,22,138,Private,2021-06-05-04-59,,,,19,10,9,19,10,9,0,12,10,9,1
"Indira Gandhi Hospital, Dwarka",315,6,309,Delhi Government,2021-06-04-23-39,,,,10,2,8,10,2,8,8,0,,,
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",470,120,350,Private,2021-06-05-01-19,88,88,0,12,12,0,100,100,0,2,0,65,65,0
"Irene Hospital, Kalkaji",34,0,34,Private,2021-06-04-15-17,3,0,3,2,0,2,5,0,5,3,6,,,
