name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-28-09-14,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-02-28-08-58,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-28-04-54,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-02-28-09-07,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,11,0,11,Central Government,2021-02-28-16-44,,,,,,,4,11,108,72,36,,,
"AIIMS, Trauma Delhi",265,6,259,Central Government,2021-02-28-16-46,,,,71,6,65,,,,,,71,6,65
"Akash Healthcare, Dwarka",20,1,19,Private,2021-02-28-16-53,3,1,2,5,1,4,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-02-28-09-39,3,0,3,5,0,5,7,0,11,7,4,2,0,2
Ambedkar Nagar hospital,300,0,300,Delhi Government,2021-02-28-17-03,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-28-10-42,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-28-15-58,5,0,5,5,0,5,1,23,5,0,5,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-28-09-32,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-02-28-09-53,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-02-28-12-43,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-02-28-14-34,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,2,9,Private,2021-02-28-01-11,2,2,0,3,2,1,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-02-28-16-39,1,0,1,2,0,2,0,23,,,,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-02-28-12-59,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-02-28-07-17,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-02-28-09-13,,,,14,0,14,7,0,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,19,481,Central Government,2021-02-28-06-54,,,,50,4,46,2,12,,,,50,4,46
Batra Hospital,50,0,50,Private,2021-02-28-09-26,9,0,9,11,0,11,0,23,99,44,55,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-02-28-11-20,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-02-28-10-41,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,0,34,Private,2021-02-28-16-04,6,0,6,7,0,7,2,15,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-02-28-10-17,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-02-28-16-02,2,0,2,3,0,3,0,10,17,15,2,1,0,1
"Bhatia Global Hospital, Paschim Vihar",20,0,20,Private,2021-02-28-17-16,2,0,2,2,0,2,6,12,4,2,2,,,
Bimla Devi Hospital,10,0,10,Private,2021-02-28-08-33,5,0,5,7,0,7,4,0,7,0,7,2,0,2
"BLK Hospital, Pusa Road",186,5,181,Private,2021-02-28-15-30,44,5,39,47,5,42,2,0,80,80,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-02-28-10-46,4,0,4,5,0,5,2,12,7,6,1,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-02-28-07-51,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-02-28-00-23,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-02-28-14-53,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-02-28-15-30,,,,2,0,2,0,3,6,6,0,2,0,2
"Cygnus MLS, Rama Vihar",9,0,9,Private,2021-02-28-17-05,1,0,1,1,0,1,75,0,15,4,11,,,
"Cygnus Sonia Hospital, Nangloi",7,2,5,Private,2021-02-28-17-07,,,,1,1,0,0,17,18,9,9,1,1,0
Deen Dayal Upadhyay hospital,50,3,47,Delhi Government,2021-02-28-16-42,,,,,,,5,22,43,43,0,,,
Deep Chand Bandhu,50,1,49,Delhi Government,2021-02-28-16-35,,,,,,,3,15,10,2,8,,,
Delhi global hospital,3,0,3,Private,2021-02-28-07-01,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-02-28-11-15,1,0,1,2,0,2,3,18,37,14,23,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-02-28-10-06,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-02-28-16-01,,,,5,0,5,1,8,21,20,1,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-02-28-11-24,4,0,4,5,0,5,3,16,5,0,5,1,0,1
Divine Multispeciality Hospital and Cancer Centre,10,2,8,Private,2021-02-27-14-14,,,,,,,,,,,,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",22,0,22,Private,2021-02-28-12-50,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,2,48,Delhi Government,2021-02-28-10-02,,,,6,2,4,4,0,24,16,8,6,2,4
Dr Rakesh Multispeciality Hospital,2,0,2,Private,2021-02-28-09-35,,,,1,0,1,1,0,,,,1,0,1
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",20,0,20,Private,2021-02-28-17-28,,,,,,,1,18,,,,,,
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-02-27-01-54,1,0,1,1,0,1,2,20,5,2,3,,,
