name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-25-16-47,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-25-22-07,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,581,581,0,Central Government,2021-04-25-17-33,,,,,,,40,40,0,40,40,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-25-11-30,,,,86,35,51,,,,,,
"AIIMS, Trauma Delhi",266,263,3,Central Government,2021-04-25-16-55,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",233,233,0,Private,2021-04-25-16-59,41,41,0,17,17,0,10,10,0,51,51,0
Alshifa Hospital,35,35,0,Private,2021-04-25-17-46,15,15,0,,,,3,3,0,18,18,0
Ambedkar Nagar hospital,280,280,0,Delhi Government,2021-04-26-01-16,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-25-16-06,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-25-16-50,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,26,15,Private,2021-04-25-17-23,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-24-11-42,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-25-17-46,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-25-00-13,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-25-22-36,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-25-20-58,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,340,336,4,Central Government,2021-04-25-07-01,,,,17,8,9,12,12,0,12,12,0
Batra Hospital,270,270,0,Private,2021-04-23-09-58,28,28,0,12,12,0,10,10,0,38,38,0
"Bensups Hospital, Dwarka",40,23,17,Private,2021-04-25-19-25,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-25-14-37,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-04-25-15-45,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",90,90,0,Private,2021-04-25-17-48,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",44,44,0,Private,2021-04-25-22-43,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,23,23,0,Private,2021-04-25-16-44,,,,7,7,0,,,,,,
"BLK Hospital, Pusa Road",442,287,155,Private,2021-04-25-17-46,68,68,0,69,49,20,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-25-16-10,10,10,0,2,2,0,1,1,0,11,11,0
Burari Hospital,320,320,0,Delhi Government,2021-04-25-19-29,20,20,0,,,,30,30,0,50,50,0
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-04-25-12-41,5,5,0,,,,1,1,0,6,6,0
"Cygnus MLS, Rama Vihar",34,34,0,Private,2021-04-25-12-33,1,1,0,6,6,0,5,5,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",56,56,0,Private,2021-04-26-01-08,14,14,0,18,18,0,5,5,0,19,19,0
Deen Dayal Upadhyay hospital,300,300,0,Delhi Government,2021-04-26-01-10,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-04-25-21-34,67,67,0,,,,14,14,0,81,81,0
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-25-12-09,24,24,0,12,12,0,3,3,0,27,27,0
"Dharamshila Narayana Hosp., Vasundhra Enclave",142,133,9,Private,2021-04-25-10-16,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",9,9,0,Private,2021-04-25-19-32,4,4,0,,,,1,1,0,5,5,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",75,75,0,Private,2021-04-25-19-47,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,317,317,0,Delhi Government,2021-04-25-23-02,32,32,0,12,8,4,30,30,0,62,62,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-25-14-13,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,42,42,0,Private,2021-04-26-01-20,10,10,0,,,,,,,10,10,0
ESIC Hospital Jhilmil,100,100,0,Central Government,2021-04-23-15-16,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,198,198,0,Central Government,2021-04-25-14-32,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",102,102,0,Private,2021-04-25-18-13,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",209,209,0,Private,2021-04-25-18-46,35,35,0,8,8,0,15,15,0,50,50,0
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-04-25-17-09,28,28,0,,,,4,4,0,32,32,0
"Gandhi Nursing Home, Uttam Nagar",95,95,0,Private,2021-04-25-17-03,19,19,0,8,8,0,1,1,0,20,20,0
"Garg Hospital, Karkardooma",36,36,0,Private,2021-04-25-18-13,3,3,0,4,0,4,,,,3,3,0
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-04-25-23-33,12,12,0,8,8,0,5,5,0,17,17,0
"Goyal Hospital, Paschim Vihar",21,21,0,Private,2021-04-25-18-26,7,7,0,,,,,,,7,7,0
GTB Hospital,700,700,0,Delhi Government,2021-04-25-19-31,272,272,0,,,,128,128,0,400,400,0
"Gupta Multispecialty Hospital, Vivek Vihar",26,26,0,Private,2021-04-25-15-27,3,3,0,,,,,,,3,3,0
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,53,145,Delhi Government,2021-04-25-10-28,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,118,258,Private,2021-04-26-00-07,21,21,0,6,2,4,6,6,0,27,27,0
"Holy Family Hospital, Okhla",385,385,0,Private,2021-04-24-11-33,20,20,0,18,18,0,34,34,0,54,54,0
"IBS Hospital, Lajpat Nagar",35,35,0,Private,2021-04-26-01-27,12,12,0,,,,,,,12,12,0
"Indian spinal injury centre,Vasant Kunj",160,160,0,Private,2021-04-25-14-52,10,10,0,9,9,0,4,4,0,14,14,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",440,440,0,Private,2021-04-25-17-58,78,78,0,81,79,2,12,12,0,90,90,0
"Irene Hospital, Kalkaji",34,34,0,Private,2021-04-25-10-45,3,3,0,,,,2,2,0,5,5,0
"Ishan Hospital, Rohini",14,14,0,Private,2021-04-25-15-50,5,5,0,,,,,,,5,5,0
"Jain Hospital, Vikas Marg Extn.",42,42,0,Private,2021-04-25-17-15,7,7,0,6,6,0,,,,7,7,0
"Jaipur Golden Hospital, Rohini",220,195,25,Private,2021-04-25-10-59,59,59,0,10,10,0,6,6,0,65,65,0
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,58,2,Private,2021-04-25-08-03,8,8,0,,,,2,2,0,10,10,0
"Jeewan Mala Hospital, Rohtak Road",40,40,0,Private,2021-04-25-13-42,1,1,0,,,,2,2,0,3,3,0
"Jeewan Moti Khera Hospital, Nangloi",30,17,13,Private,2021-04-25-18-30,3,3,0,,,,1,1,0,4,4,0
"Jeewan Nursing Home, Pusa Road",37,37,0,Private,2021-04-25-22-47,7,7,0,7,7,0,,,,7,7,0
K K Surgical & Maternity Centre,40,0,40,Private,2021-04-23-11-25,,,,,,,,,,,,
"Kalra Hospital, Dwarka",30,27,3,Private,2021-04-25-21-17,,,,6,6,0,,,,,,
"Kalra Hospital, Kirti Nagar",143,93,50,Private,2021-04-25-16-45,29,29,0,29,29,0,3,3,0,32,32,0
"Kapil Multispecialty Hospital, Nathupura",40,40,0,Private,2021-04-25-08-50,3,3,0,,,,1,1,0,4,4,0
Khandelwal Hospital And Urology Center,30,26,4,Private,2021-04-25-17-53,6,6,0,,,,,,,6,6,0
"Konark Hospital, Nangloi",43,32,11,Private,2021-04-25-16-02,,,,16,15,1,1,1,0,,,
"Kosmos Super Specialty Hospital, Vikas Marg Extn.",34,34,0,Private,2021-04-25-22-04,10,10,0,,,,,,,10,10,0
"Kukreja Hospital and Heart Centre, Rajouri Garden",146,100,46,Private,2021-04-25-21-06,26,26,0,20,20,0,,,,26,26,0
