name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-05-14-11-02,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-05-12-09-31,1,0,1,1,0,1,2,0,5,2,3,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-05-14-10-32,,,,,,,6,0,,,,,,
AIIMS Main Delhi,31,9,22,Central Government,2021-05-14-10-07,,,,,,,4,8,133,102,31,,,
"AIIMS, Trauma Delhi",11,0,11,Central Government,2021-05-14-01-45,,,,11,0,11,,,,,,11,0,11
"Akash Healthcare, Dwarka",20,0,20,Private,2021-05-14-11-40,5,0,5,7,0,7,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-05-14-11-59,6,0,6,8,0,8,4,0,14,5,9,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-05-14-11-01,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-05-14-08-45,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-05-12-09-55,3,0,3,4,0,4,1,23,5,1,4,1,0,1
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-05-14-09-44,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-05-14-09-32,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-05-14-00-10,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-05-14-07-53,,,,,,,,,,,,,,
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-05-14-10-03,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-05-14-11-20,,,,,,,0,7,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-05-14-12-20,,,,14,0,14,5,0,8,8,0,14,0,14
Base Hospital Delhi Cantt,44,1,43,Central Government,2021-05-14-10-21,,,,10,0,10,2,12,,,,10,0,10
Batra Hospital,50,3,47,Private,2021-05-14-09-56,9,3,6,11,3,8,0,23,99,45,54,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-05-13-09-52,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,28,1,27,Private,2021-05-14-11-13,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,0,9,Private,2021-05-14-08-35,2,0,2,3,0,3,2,23,7,6,1,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",12,3,9,Private,2021-05-14-09-57,2,0,2,3,0,3,0,10,17,14,3,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,1,13,Private,2021-05-14-08-10,1,0,1,1,0,1,6,12,5,1,4,,,
Bimla Devi Hospital,10,0,10,Private,2021-05-12-09-27,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,3,44,Private,2021-05-14-09-55,9,3,6,12,3,9,1,0,150,131,19,3,0,3
"Brahm Shakti Hospital, Budh Vihar",9,0,9,Private,2021-05-13-11-58,,,,1,0,1,3,0,15,3,12,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-05-13-11-56,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-05-14-02-02,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-05-14-08-12,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-05-14-16-35,,,,2,0,2,0,4,6,3,3,2,0,2
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-05-14-07-45,1,0,1,1,0,1,0,17,18,16,2,,,
