name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-03-13-12-00,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-03-13-10-00,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-03-13-15-09,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-03-13-09-00,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,11,0,11,Central Government,2021-03-13-16-52,,,,,,,4,9,108,82,26,,,
"AIIMS, Trauma Delhi",265,0,265,Central Government,2021-03-13-05-57,,,,71,0,71,,,,,,71,0,71
"Akash Healthcare, Dwarka",20,0,20,Private,2021-03-13-11-31,3,0,3,5,0,5,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-03-13-09-58,3,0,3,5,0,5,5,0,11,4,7,2,0,2
Ambedkar Nagar hospital,200,1,199,Delhi Government,2021-03-13-17-01,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-03-13-08-29,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-03-13-12-02,5,0,5,5,0,5,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-03-13-09-36,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-03-13-11-23,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-03-13-14-57,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-03-13-12-33,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-03-13-04-26,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-03-13-16-13,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-03-13-10-34,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-03-13-08-23,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-03-13-09-35,,,,14,0,14,4,6,8,5,3,14,0,14
Base Hospital Delhi Cantt,500,15,485,Central Government,2021-03-13-06-45,,,,50,7,43,2,12,,,,50,7,43
Batra Hospital,50,0,50,Private,2021-03-13-10-20,9,0,9,11,0,11,0,23,99,29,70,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-03-13-12-10,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-03-13-15-15,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,0,34,Private,2021-03-13-10-05,6,0,6,7,0,7,2,21,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-13-08-50,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-03-13-10-17,2,0,2,3,0,3,0,10,17,13,4,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-03-13-17-15,1,0,1,1,0,1,6,12,5,4,1,,,
Bimla Devi Hospital,10,0,10,Private,2021-03-12-13-55,,,,,,,4,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,2,45,Private,2021-03-13-17-20,9,1,8,12,1,11,5,0,106,106,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-03-13-08-11,4,0,4,5,0,5,2,12,7,4,3,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-03-13-10-39,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-03-13-11-31,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-03-13-15-19,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,1,3,Private,2021-03-13-16-51,,,,2,0,2,0,3,6,2,4,2,0,2
