name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-26-17-23,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-04-26-17-59,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,557,557,0,Central Government,2021-04-26-20-01,,,,,,,40,40,0,40,40,0
AIIMS Main Delhi,33,33,0,Central Government,2021-04-26-15-49,,,,86,31,55,,,,,,
"AIIMS, Trauma Delhi",266,262,4,Central Government,2021-04-26-17-07,,,,,,,71,70,1,71,70,1
"Akash Healthcare, Dwarka",233,233,0,Private,2021-04-26-17-18,41,41,0,17,17,0,10,10,0,51,51,0
Alshifa Hospital,36,36,0,Private,2021-04-26-12-49,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-04-27-01-51,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-04-26-16-01,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-04-26-16-52,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,23,18,Private,2021-04-26-13-21,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-04-26-09-01,27,27,0,,,,3,3,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-04-26-17-47,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-04-26-08-14,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-04-26-22-49,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-04-26-21-49,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,340,336,4,Central Government,2021-04-26-06-56,,,,17,8,9,12,12,0,12,12,0
Batra Hospital,270,270,0,Private,2021-04-26-10-56,28,28,0,12,12,0,10,10,0,38,38,0
"Bensups Hospital, Dwarka",40,22,18,Private,2021-04-26-21-49,12,12,0,,,,3,3,0,15,15,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-04-26-16-53,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-04-26-11-58,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",90,90,0,Private,2021-04-26-17-22,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",44,44,0,Private,2021-04-26-16-52,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,23,23,0,Private,2021-04-26-18-01,,,,7,7,0,,,,,,
"BLK Hospital, Pusa Road",358,274,84,Private,2021-04-26-18-47,68,68,0,69,58,11,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-26-15-53,17,17,0,,,,1,1,0,18,18,0
Burari Hospital,320,320,0,Delhi Government,2021-04-26-17-45,20,20,0,,,,30,30,0,50,50,0
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-04-26-23-07,5,5,0,,,,1,1,0,6,6,0
"Cygnus MLS, Rama Vihar",34,34,0,Private,2021-04-25-12-33,1,1,0,6,6,0,5,5,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",56,56,0,Private,2021-04-26-21-18,14,14,0,18,18,0,5,5,0,19,19,0
Deen Dayal Upadhyay hospital,300,300,0,Delhi Government,2021-04-27-00-45,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-04-26-23-38,67,67,0,,,,14,14,0,81,81,0
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-26-16-31,24,24,0,12,12,0,3,3,0,27,27,0
"Dharamshila Narayana Hosp., Vasundhra Enclave",142,135,7,Private,2021-04-26-10-36,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",9,9,0,Private,2021-04-26-15-25,4,4,0,,,,1,1,0,5,5,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",75,75,0,Private,2021-04-26-11-18,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,317,315,2,Delhi Government,2021-04-27-00-50,32,32,0,12,12,0,30,30,0,62,62,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-26-18-22,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,42,42,0,Private,2021-04-26-01-20,10,10,0,,,,,,,10,10,0
ESIC Hospital Jhilmil,100,100,0,Central Government,2021-04-23-15-16,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,198,198,0,Central Government,2021-04-26-14-11,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",102,102,0,Private,2021-04-26-16-59,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",218,218,0,Private,2021-04-26-18-22,30,30,0,8,7,1,20,20,0,50,50,0
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-04-26-17-14,28,28,0,,,,4,4,0,32,32,0
"Gandhi Nursing Home, Uttam Nagar",92,92,0,Private,2021-04-26-16-58,19,19,0,8,8,0,1,1,0,20,20,0
"Garg Hospital, Karkardooma",36,36,0,Private,2021-04-27-00-19,3,3,0,4,4,0,,,,3,3,0
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-04-26-19-10,12,12,0,8,8,0,5,5,0,17,17,0
"Goyal Hospital, Paschim Vihar",21,21,0,Private,2021-04-26-20-22,7,7,0,,,,,,,7,7,0
GTB Hospital,700,700,0,Delhi Government,2021-04-26-18-29,272,272,0,,,,128,128,0,400,400,0
"Gupta Multispecialty Hospital, Vivek Vihar",26,26,0,Private,2021-04-26-10-16,3,3,0,,,,,,,3,3,0
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,51,147,Delhi Government,2021-04-26-10-51,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,121,255,Private,2021-04-27-02-01,21,21,0,6,2,4,6,6,0,27,27,0
"Holy Family Hospital, Okhla",385,385,0,Private,2021-04-26-10-26,16,16,0,18,18,0,38,38,0,54,54,0
"IBS Hospital, Lajpat Nagar",33,33,0,Private,2021-04-27-00-47,9,9,0,,,,3,3,0,12,12,0
"Indian spinal injury centre,Vasant Kunj",160,160,0,Private,2021-04-26-04-38,10,10,0,9,5,4,4,4,0,14,14,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",440,440,0,Private,2021-04-26-18-08,78,78,0,81,79,2,12,12,0,90,90,0
"Irene Hospital, Kalkaji",34,34,0,Private,2021-04-26-14-16,3,3,0,,,,2,2,0,5,5,0
"Ishan Hospital, Rohini",14,14,0,Private,2021-04-26-19-10,5,5,0,,,,,,,5,5,0
"Jain Hospital, Vikas Marg Extn.",42,42,0,Private,2021-04-25-17-15,7,7,0,6,6,0,,,,7,7,0
"Jaipur Golden Hospital, Rohini",220,165,55,Private,2021-04-27-00-13,59,59,0,10,10,0,6,6,0,65,65,0
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,60,0,Private,2021-04-26-17-58,8,8,0,,,,2,2,0,10,10,0
"Jeewan Mala Hospital, Rohtak Road",40,40,0,Private,2021-04-26-12-38,1,1,0,,,,2,2,0,3,3,0
"Jeewan Moti Khera Hospital, Nangloi",30,17,13,Private,2021-04-26-18-11,3,3,0,,,,1,1,0,4,4,0
"Jeewan Nursing Home, Pusa Road",37,37,0,Private,2021-04-26-20-58,7,7,0,7,7,0,,,,7,7,0
K K Surgical & Maternity Centre,40,0,40,Private,2021-04-26-11-04,,,,,,,,,,,,
"Kalra Hospital, Dwarka",30,20,10,Private,2021-04-26-17-38,,,,6,6,0,,,,,,
"Kalra Hospital, Kirti Nagar",143,93,50,Private,2021-04-26-17-05,29,29,0,29,29,0,3,3,0,32,32,0
"Kapil Multispecialty Hospital, Nathupura",40,40,0,Private,2021-04-26-19-36,3,3,0,,,,1,1,0,4,4,0
Khandelwal Hospital And Urology Center,30,29,1,Private,2021-04-26-19-57,6,6,0,,,,,,,6,6,0
"Konark Hospital, Nangloi",43,33,10,Private,2021-04-26-16-10,,,,16,13,3,1,1,0,,,
"Kosmos Super Specialty Hospital, Vikas Marg Extn.",34,34,0,Private,2021-04-26-14-05,10,10,0,,,,,,,10,10,0
"Kukreja Hospital and Heart Centre, Rajouri Garden",146,97,49,Private,2021-04-26-17-27,26,26,0,20,20,0,,,,26,26,0
"Kukreja Hospital, Mayur Vihar",18,18,0,Private,2021-04-26-19-40,4,4,0,,,,,,,4,4,0
"Lalita Hospital, Begumpur",30,30,0,Private,2021-04-19-03-48,3,3,0,,,,1,1,0,4,4,0
LHMC,268,236,32,Central Government,2021-04-26-09-36,10,10,0,27,24,3,16,16,0,26,26,0
Lok Nayak Hospital,1500,1500,0,Delhi Government,2021-04-26-11-43,200,200,0,,,,200,200,0,400,400,0
"Madhukar Rainbow Children Hosp., Malviya Nagar",71,27,44,Private,2021-04-26-08-18,24,13,11,26,14,12,2,2,0,26,15,11
Maha Durga Charitable Trust Hospital,130,130,0,Private,2021-04-26-14-35,24,24,0,6,0,6,6,6,0,30,30,0
"Maharaja Agarsain Multispecialty Hospital, Narela",40,30,10,Private,2021-04-26-16-56,3,3,0,1,0,1,1,1,0,4,4,0
"Maharaja Agrasen Hospital, Dwarka",35,35,0,Private,2021-04-26-12-34,10,10,0,3,3,0,2,2,0,12,12,0
"Maharaja Agrasen Hospital, Punjabi Bagh",350,259,91,Private,2021-04-27-02-01,64,64,0,20,20,0,8,8,0,72,72,0
Malik Radix Hospital,47,47,0,Private,2021-04-26-17-20,13,13,0,,,,1,1,0,14,14,0
"MANIPAL HOSPITAL, DWARKA",222,222,0,Private,2021-04-24-13-27,17,17,0,33,33,0,10,10,0,27,27,0
"Mansaram Hospital, Nangloi",42,39,3,Private,2021-04-26-17-38,9,9,0,,,,1,1,0,10,10,0
"Mata Chanan Devi Hospital, Janakpuri",200,193,7,Private,2021-04-26-17-34,39,39,0,,,,9,9,0,48,48,0
"Mata Roop Rani Maggo Hospital, Uttam Nagar",55,55,0,Private,2021-04-26-11-10,14,14,0,,,,2,2,0,16,16,0
Max East/West Block,255,230,25,Private,2021-04-26-17-07,40,40,0,12,12,0,8,8,0,48,48,0
"Max Smart Gujarmal Modi hospital ,Saket",370,276,94,Private,2021-04-26-18-20,,,,,,,50,50,0,50,50,0
"MAX SS HOSPITAL, PATPARGANJ",276,251,25,Private,2021-04-26-16-29,52,52,0,18,18,0,20,20,0,72,72,0
"Max SS Hospital, Shalimar Bagh",242,242,0,Private,2021-04-26-17-23,61,61,0,,,,30,30,0,91,91,0
"Medeor Hospital, Qutab Instl. Area",55,20,35,Private,2021-04-27-00-47,8,8,0,8,6,2,4,4,0,12,12,0
"Medstar Hospital, Paschim Vihar",32,32,0,Private,2021-04-26-16-02,13,13,0,,,,1,1,0,14,14,0
"Metro Hospital, Lajpat Nagar",33,33,0,Private,2021-04-26-16-22,14,14,0,,,,,,,14,14,0
"Metro Hospital, Preet Vihar",160,96,64,Private,2021-04-26-17-47,18,18,0,16,16,0,4,4,0,22,22,0
"MGS Hospital, Punjabi Bagh",82,82,0,Private,2021-04-27-02-00,31,31,0,3,2,1,3,3,0,34,34,0
"Mool Chand Khairati Ram Hospital, Lajpat Nagar",193,160,33,Private,2021-04-26-16-27,12,12,0,9,9,0,4,4,0,16,16,0
"National Heart Institute, East of Kailash",71,71,0,Private,2021-04-26-18-52,25,25,0,14,14,0,2,2,0,27,27,0
"Navjeevan Hospital, Pitampura",80,80,0,Private,2021-04-26-17-28,8,8,0,,,,1,1,0,9,9,0
Nestiva Hospital,20,20,0,Private,2021-04-26-11-19,,,,,,,4,4,0,4,4,0
"NKS Hospital, Gulabi Bagh",54,54,0,Private,2021-04-26-20-00,21,21,0,,,,3,3,0,24,24,0
Northern Railway,200,200,0,Central Government,2021-04-26-15-56,,,,12,11,1,14,14,0,14,14,0
"Panchsheel Hospital, Yamuna Vihar",32,32,0,Private,2021-04-26-17-01,8,8,0,,,,,,,8,8,0
"Park Hospital, Meera Bagh",110,67,43,Private,2021-04-26-17-59,35,35,0,10,10,0,5,5,0,40,40,0
"PGH Hospital, Vikas Nagar",44,15,29,Private,2021-04-26-11-28,5,5,0,2,0,2,2,2,0,7,7,0
"Primus Super Specialty Hospital, Chanakyapuri",111,111,0,Private,2021-04-26-17-49,34,34,0,31,9,22,2,2,0,36,36,0
"Pushpanjali Medical Centre, Pushpanjali Enclave, Vikas Marg Ext.",35,35,0,Private,2021-04-26-14-20,9,9,0,5,0,5,1,1,0,10,10,0
"Pushpawati Singhania Hospital, Saket",282,142,140,Private,2021-04-26-19-10,28,28,0,9,3,6,10,10,0,38,38,0
Rajeev Gandhi Super Speciality Hospital,350,350,0,Delhi Government,2021-04-27-00-21,150,150,0,,,,200,200,0,350,350,0
"Rajiv Gandhi Cancer Institute & RC, Rohini*",212,212,0,Private,2021-04-26-16-53,35,35,0,11,11,0,5,5,0,40,40,0
Ram Manohar Lohia Hospital,233,233,0,Central Government,2021-04-26-17-59,,,,,,,28,28,0,28,28,0
"Rathi Hospital, Najafgarh",80,80,0,Private,2021-04-26-20-01,15,15,0,,,,6,6,0,21,21,0
"Revive Hospital,tilak nagar",28,28,0,Private,2021-04-26-16-49,14,14,0,2,2,0,1,1,0,15,15,0
"RLKC Metro Hospital, Naraina",70,70,0,Private,2021-04-26-15-45,17,17,0,15,15,0,1,1,0,18,18,0
Safdarjung Hospital,275,275,0,Central Government,2021-04-26-17-10,,,,,,,65,65,0,65,65,0
"Samar Hospital, Dwarka",30,30,0,Private,2021-04-26-12-02,5,5,0,,,,1,1,0,6,6,0
Sanjay Gandhi Memorial Hospital,118,118,0,Delhi Government,2021-04-26-23-45,10,10,0,6,3,3,10,10,0,20,20,0
"Sanjeevan Medical Res. , Daryaganj",30,30,0,Private,2021-04-26-08-27,4,4,0,,,,,,,4,4,0
"Sant Parmanand Hospital, Civil Lines",78,77,1,Private,2021-04-26-16-38,15,15,0,6,0,6,,,,15,15,0
"Santom Hospital, Prashant Vihar",105,105,0,Private,2021-04-25-10-49,20,20,0,,,,8,8,0,28,28,0
Sardar Patel Covid Army  hospital,500,480,20,Central Government,2021-04-26-21-17,,,,,,,128,128,0,128,128,0
Saroj Super Speciality Hospital,140,114,26,Private,2021-04-26-07-50,41,41,0,,,,12,12,0,53,53,0
SATYA MULTISPECIALITY HOSPITAL,16,16,0,Private,2021-04-26-22-40,3,3,0,,,,,,,3,3,0
"Satyabhama Hospital, Nangloi",43,43,0,Private,2021-04-26-15-57,31,31,0,5,5,0,3,3,0,34,34,0
Satyawati Harishchand Hsopital,135,90,45,Delhi Government,2021-04-26-21-04,12,12,0,,,,3,3,0,15,15,0
Savitri Hospital,25,25,0,Private,2021-04-26-08-08,12,12,0,,,,1,1,0,13,13,0
SCI International Hospital,12,12,0,Private,2021-04-26-19-10,,,,,,,,,,,,
"Sehgal Neo Hospital, Paschim Vihar",130,130,0,Private,2021-04-26-19-18,13,13,0,,,,,,,13,13,0
"Shakuntala Nursing Home, West Sagarpur",30,30,0,Private,2021-04-26-09-19,5,5,0,,,,,,,5,5,0
"Shanti Mukand Hospital, Vikas Marg Extn.",120,120,0,Private,2021-04-26-07-30,19,19,0,19,14,5,5,5,0,24,24,0
"Shree Agarsain International Hospital, Rohini- 22",216,216,0,Private,2021-04-26-16-49,63,63,0,16,7,9,15,15,0,78,78,0
