name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,2,20,Private,2021-06-05-13-11,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,1,39,Private,2021-06-05-16-21,8,0,8,2,0,2,10,0,10,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-05-12-32,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,8,142,Delhi Government,2021-06-05-16-54,,,,30,5,25,30,5,25,2,12,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-05-15-22,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,110,290,Central Government,2021-06-05-09-50,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,99,74,25,Central Government,2021-06-05-15-41,14,11,3,43,37,6,57,48,9,2,12,87,61,26
"AIIMS, Trauma Delhi",294,150,144,Central Government,2021-06-05-13-02,,,,71,51,20,71,51,20,,,,,
"Akash Healthcare, Dwarka",133,50,83,Private,2021-06-05-17-33,14,4,10,40,40,0,54,44,10,0,12,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-05-08-33,,,,,,,,,,7,0,,,
Alshifa Hospital,50,11,39,Private,2021-06-05-16-05,15,5,10,4,2,2,19,7,12,1,10,,,
Ambedkar Nagar hospital,600,7,593,Delhi Government,2021-06-05-17-42,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-05-16-00,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-06-05-17-22,3,0,3,2,0,2,5,0,5,1,23,6,5,1
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-06-05-16-10,4,4,0,,,,4,4,0,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-05-09-31,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-05-17-33,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-05-06-41,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-05-13-29,6,0,6,,,,6,0,6,0,20,4,4,0
Arya Hospital,24,1,23,Private,2021-06-05-16-31,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-05-11-04,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-05-10-27,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-05-09-49,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,12,38,Private,2021-06-05-15-45,28,5,23,2,1,1,30,6,24,1,6,,,
"B.M. Gupta Hospital, Uttam Nagar",70,3,67,Private,2021-06-05-16-22,19,1,18,1,0,1,20,1,19,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-05-07-58,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-06-05-08-30,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,1,39,Private,2021-06-05-07-13,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,22,228,Central Government,2021-06-05-09-53,,,,10,3,7,10,3,7,7,14,,,
Base Hospital Delhi Cantt,500,183,317,Central Government,2021-05-27-06-42,,,,50,48,2,50,48,2,2,12,,,
Batra Hospital,300,9,291,Private,2021-06-05-11-26,18,0,18,15,2,13,33,2,31,0,23,12,12,0
"Bensups Hospital, Dwarka",30,2,28,Private,2021-06-05-17-21,12,1,11,3,0,3,15,1,14,1,10,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-06-05-16-21,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,10,71,Private,2021-06-05-16-09,23,3,20,5,3,2,28,6,22,1,14,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,9,31,Private,2021-06-05-17-02,10,9,1,1,0,1,11,9,2,0,10,,,
"Bhagwati Hospital, Rohini",130,3,127,Private,2021-06-05-17-27,13,1,12,2,0,2,15,1,14,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",33,3,30,Private,2021-06-05-14-35,3,3,0,,,,3,3,0,0,14,3,3,0
Bimla Devi Hospital,27,0,27,Private,2021-06-05-16-01,,,,,,,,,,4,0,,,
"BLK Hospital, Pusa Road",317,19,298,Private,2021-06-05-17-30,68,1,67,7,7,0,75,8,67,2,10,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,0,80,Private,2021-06-05-16-21,9,0,9,2,0,2,11,0,11,2,18,2,2,0
Burari Hospital,700,44,656,Delhi Government,2021-06-05-17-34,85,-7,92,30,30,0,115,23,92,1,14,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-06-05-15-04,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-05-10-29,,,,,,,,,,7,0,,,
CAREWELL MEDICAL CENTRE,8,0,8,Private,2021-06-05-08-55,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-06-05-08-31,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-06-05-17-35,4,0,4,1,0,1,5,0,5,1,10,3,0,3
Central Hospital,16,5,11,Private,2021-06-05-17-06,,,,4,2,2,4,2,2,0,3,4,0,4
Covid care and treatment centre Gurdwara Rakab ganj,400,100,300,Delhi Government,2021-06-05-17-18,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,14,786,Delhi Government,2021-05-29-11-02,,,,,,,,,,19,0,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,51,545,Delhi Government,2021-06-05-09-51,,,,,,,,,,2,6,,,
Covid Care Center -CWG AKSHARDHAM,460,9,451,Delhi Government,2021-06-05-08-59,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,10,0,10,Private,2021-06-05-06-46,5,0,5,,,,5,0,5,1,20,,,
"Cygnus MLS, Rama Vihar",60,8,52,Private,2021-06-05-17-08,19,5,14,5,1,4,24,6,18,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,5,63,Private,2021-06-05-17-25,26,-2,28,5,3,2,31,1,30,0,17,,,
Deen Dayal Upadhyay hospital,500,95,405,Delhi Government,2021-06-05-17-38,120,19,101,130,56,74,250,75,175,0,17,33,2,31
Deep Chand Bandhu,250,51,199,Delhi Government,2021-06-05-17-33,100,16,84,30,20,10,130,36,94,0,10,,,
Delhi global hospital,14,3,11,Private,2021-06-05-15-07,3,0,3,,,,3,0,3,1,16,3,1,2
Delhi Golden Hospital,15,0,15,Private,2021-06-05-16-27,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,35,38,Private,2021-06-05-17-12,22,15,7,5,2,3,27,17,10,1,18,12,12,0
Delhi multi speciality hospital,11,0,11,Private,2021-06-05-17-14,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,1,159,Private,2021-06-05-15-55,13,0,13,5,1,4,18,1,17,1,0,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,3,31,Private,2021-06-05-12-55,9,2,7,2,0,2,11,2,9,0,8,,,
Divine Multispeciality Hospital and Cancer Centre,35,9,26,Private,2021-06-05-12-53,17,7,10,9,2,7,26,9,17,0,20,9,4,5
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,1,19,Private,2021-06-05-16-07,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,400,109,291,Delhi Government,2021-06-05-16-57,58,11,47,142,41,101,200,52,148,0,11,,,
Dr Rakesh Multispeciality Hospital,15,1,14,Private,2021-06-05-09-55,5,0,5,1,0,1,6,0,6,1,0,,,
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",36,0,36,Private,2021-06-05-17-06,,,,,,,,,,2,0,,,
East Delhi Medical Centre Mansarover Park,30,0,30,Private,2021-06-05-17-36,6,0,6,,,,6,0,6,1,15,4,2,2
Eden Hospital,8,1,7,Private,2021-06-05-12-30,,,,,,,,,,0,23,,,
Ekansh Hospital,8,0,8,Private,2021-06-05-10-25,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,65,6,59,Central Government,2021-06-05-14-45,,,,5,3,2,5,3,2,5,0,,,
ESIC hospital Okhla,230,17,213,Central Government,2021-06-05-07-41,,,,15,7,8,15,7,8,4,4,,,
"Fortis Escorts Heart Institute, Okhla",112,6,106,Private,2021-06-05-16-22,55,4,51,5,0,5,60,4,56,2,2,16,12,4
"Fortis Hospital, Shalimar Bagh",200,23,177,Private,2021-06-05-15-07,30,12,18,20,8,12,50,20,30,2,23,18,18,0
"Fortis SS Hospital, Vasant Kunj",106,18,88,Private,2021-06-05-16-36,20,6,14,12,12,0,32,18,14,1,23,,,
Galaxy Hospital,8,1,7,Private,2021-06-05-10-55,2,0,2,,,,2,0,2,3,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",20,3,17,Private,2021-06-05-17-27,7,2,5,1,0,1,8,2,6,1,10,15,15,0
"Garg Hospital, Karkardooma",36,5,31,Private,2021-06-05-17-21,4,0,4,,,,4,0,4,0,12,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",70,9,61,Private,2021-06-05-17-30,12,3,9,5,0,5,17,3,14,1,23,8,5,3
"Goyal Hospital, Paschim Vihar",24,2,22,Private,2021-06-05-17-37,7,2,5,,,,7,2,5,0,12,,,
GTB Hospital,1800,265,1535,Delhi Government,2021-06-05-16-05,672,137,535,228,128,100,900,265,635,1,6,,,
Gupta Multispecialty Hospital,14,1,13,Private,2021-06-05-17-17,,,,,,,,,,1,0,,,
"Gupta Multispecialty Hospital, Vivek Vihar",40,1,39,Private,2021-06-05-10-25,6,0,6,,,,6,0,6,2,20,,,
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,0,198,Delhi Government,2021-06-05-09-23,,,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,10,366,Private,2021-06-05-17-08,9,1,8,16,4,12,25,5,20,1,4,6,0,6
HANDA NURSING HOME,12,0,12,Private,2021-06-05-15-37,,,,,,,,,,1,18,,,
Hardik Hospital,10,0,10,Private,2021-06-05-10-59,4,0,4,,,,4,0,4,1,20,6,0,6
Highland Care Multispeciality Hospital,30,2,28,Private,2021-06-05-17-37,5,0,5,,,,5,0,5,0,17,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-06-05-08-28,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",275,52,223,Private,2021-06-05-10-39,4,4,0,44,34,10,48,38,10,0,20,18,18,0
"IBS Hospital, Lajpat Nagar",39,0,39,Private,2021-06-05-17-30,9,0,9,4,0,4,13,0,13,0,6,3,3,0
"Indian spinal injury centre,Vasant Kunj",160,23,137,Private,2021-06-05-16-20,,,,19,10,9,19,10,9,0,12,10,9,1
"Indira Gandhi Hospital, Dwarka",320,5,315,Delhi Government,2021-06-05-17-07,,,,15,2,13,15,2,13,8,0,,,
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",470,120,350,Private,2021-06-05-17-20,88,88,0,12,12,0,100,100,0,3,0,65,65,0
"Irene Hospital, Kalkaji",34,0,34,Private,2021-06-05-17-00,3,0,3,2,0,2,5,0,5,3,6,,,
"Ishan Hospital, Rohini",13,1,12,Private,2021-06-05-17-29,5,0,5,,,,5,0,5,0,15,,,
"Jain Hospital, Vikas Marg Extn.",42,1,41,Private,2021-06-05-16-55,13,0,13,,,,13,0,13,0,20,2,2,0
"Jaipur Golden Hospital, Rohini",200,25,175,Private,2021-06-05-17-01,50,16,34,15,3,12,65,19,46,0,16,11,11,0
Janakpuri Super Speciality Hospital Society,100,3,97,Delhi Government,2021-06-05-14-42,50,2,48,,,,50,2,48,2,20,,,
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,4,56,Private,2021-06-05-14-50,8,1,7,2,1,1,10,2,8,0,21,,,
"Jeewan Mala Hospital, Rohtak Road",60,8,52,Private,2021-06-05-13-00,28,-1,29,8,2,6,36,1,35,0,12,6,6,0
"Jeewan Moti Khera Hospital, Nangloi",30,0,30,Private,2021-06-05-16-41,4,-1,5,1,1,0,5,0,5,1,23,,,
"Jeewan Nursing Home, Pusa Road",37,1,36,Private,2021-06-05-15-37,7,1,6,,,,7,1,6,0,18,7,7,0
Jivisha Advanced Medical Centre,22,0,22,Private,2021-06-05-17-40,,,,,,,,,,1,23,,,
Jivodaya Hospital,20,0,20,Private,2021-06-05-15-57,,,,,,,,,,1,23,20,0,20
Jyoti Nursing Home,22,3,19,Private,2021-06-05-10-38,,,,,,,,,,1,11,,,
K K Surgical & Maternity Centre,40,0,40,Private,2021-06-05-05-19,,,,,,,,,,,,,,
Kalawati Saran Children's Hospital (LHMC),60,45,15,Central Government,2021-06-05-10-37,,,,15,11,4,15,10,5,4,3,14,14,0
"Kalra Hospital, Dwarka",30,0,30,Private,2021-06-05-15-11,,,,,,,,,,5,0,6,5,1
"Kalra Hospital, Kirti Nagar",93,9,84,Private,2021-06-05-17-34,29,5,24,3,1,2,32,6,26,0,10,29,29,0
Kalyani Hospital,25,3,22,Private,2021-06-05-15-45,8,0,8,1,0,1,9,0,9,3,0,,,
"Kapil Multispecialty Hospital, Nathupura",40,0,40,Private,2021-06-05-13-49,4,0,4,1,0,1,5,0,5,5,0,,,
KAPOOR MEDICAL CENTRE,20,1,19,Private,2021-06-05-07-31,,,,,,,,,,0,22,,,
Khandelwal Hospital And Urology Center,30,0,30,Private,2021-06-05-15-56,6,0,6,,,,6,0,6,0,10,,,
khanna hospital,50,0,50,Private,2021-06-05-10-21,7,0,7,1,0,1,8,0,8,1,10,,,
"Konark Hospital, Nangloi",43,2,41,Private,2021-06-05-17-41,14,2,12,1,0,1,15,2,13,1,4,,,
"Kosmos Super Specialty Hospital, Vikas Marg Extn.",26,0,26,Private,2021-06-05-17-06,6,0,6,,,,6,0,6,0,18,3,3,0
"Kukreja Hospital and Heart Centre, Rajouri Garden",96,5,91,Private,2021-06-05-16-37,26,5,21,,,,26,5,21,0,23,10,10,0
"Kukreja Hospital, Mayur Vihar",20,0,20,Private,2021-06-05-07-19,4,0,4,,,,4,0,4,0,12,,,
"Lalita Hospital, Begumpur",40,2,38,Private,2021-06-05-17-05,3,2,1,1,0,1,4,2,2,,,,,
LHMC,309,74,235,Central Government,2021-06-05-16-28,28,1,27,16,9,7,44,10,34,1,11,27,26,1
Life RAYS HOSPITAL,12,0,12,Private,2021-06-05-12-34,,,,,,,,,,,,,,
Lifeline Hospital,19,1,18,Private,2021-06-05-10-06,2,1,1,2,0,2,4,1,3,2,0,3,1,2
Lok Nayak Hospital,2000,260,1740,Delhi Government,2021-06-05-17-00,700,76,624,300,90,210,1000,166,834,0,15,,,
Lotus Hospital,15,5,10,Private,2021-06-05-14-34,,,,,,,,,,1,20,,,
Maa Bharti Hospital,8,0,8,Private,2021-06-05-07-50,,,,,,,,,,2,4,,,
"Madhukar Rainbow Children Hosp., Malviya Nagar",71,0,71,Private,2021-06-05-09-04,24,0,24,2,0,2,26,0,26,0,12,20,19,1
Maha Durga Charitable Trust Hospital,96,13,83,Private,2021-06-05-16-25,14,2,12,6,2,4,20,4,16,4,11,10,2,8
"Maharaja Agarsain Multispecialty Hospital, Narela",35,2,33,Private,2021-06-05-09-22,4,2,2,,,,4,2,2,2,5,,,
"Maharaja Agrasen Hospital, Dwarka",47,6,41,Private,2021-06-05-16-49,,,,12,3,9,12,3,9,0,7,4,4,0
"Maharaja Agrasen Hospital, Punjabi Bagh",250,15,235,Private,2021-06-05-16-17,64,8,56,8,4,4,72,12,60,3,2,20,20,0
Makkar Multispeciality Hospital,12,0,12,Private,2021-06-05-09-24,4,0,4,,,,4,0,4,2,0,,,
Malik Radix Hospital,47,1,46,Private,2021-06-05-16-41,13,1,12,1,0,1,14,1,13,3,6,,,
