name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,3,19,Private,2021-05-30-11-33,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,2,38,Private,2021-06-04-16-17,8,1,7,2,0,2,10,1,9,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-04-12-12,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,9,141,Delhi Government,2021-06-04-15-48,,,,30,6,24,30,6,24,2,12,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-04-13-04,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,116,284,Central Government,2021-06-04-10-15,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,126,77,49,Central Government,2021-06-04-17-47,14,10,4,43,37,6,57,47,10,3,4,87,62,25
"AIIMS, Trauma Delhi",294,153,141,Central Government,2021-06-04-17-11,,,,71,55,16,71,55,16,,,,,
"Akash Healthcare, Dwarka",133,61,72,Private,2021-06-04-17-12,14,14,0,40,40,0,54,54,0,1,3,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-04-10-51,,,,,,,,,,7,0,,,
Alshifa Hospital,50,12,38,Private,2021-06-04-16-06,15,5,10,4,3,1,19,8,11,2,9,,,
Ambedkar Nagar hospital,600,12,588,Delhi Government,2021-06-04-16-41,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-04-17-32,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,3,37,Private,2021-06-04-15-18,3,1,2,2,2,0,5,3,2,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-06-04-13-34,4,4,0,,,,4,4,0,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-04-09-28,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-04-15-32,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-04-07-01,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-04-11-58,6,0,6,,,,6,0,6,0,21,4,3,1
Arya Hospital,24,2,22,Private,2021-06-04-16-08,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-04-14-11,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-04-10-24,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-04-09-57,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,15,35,Private,2021-06-04-15-50,28,6,22,2,1,1,30,7,23,0,23,,,
"B.M. Gupta Hospital, Uttam Nagar",70,3,67,Private,2021-06-04-16-54,19,1,18,1,0,1,20,1,19,0,16,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-04-08-04,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-06-04-10-29,9,0,9,1,0,1,10,0,10,0,7,1,0,1
